,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
2,AK,"Anchorage, AK",Chief Executives,detailed,"173,970"
3,AK,"Anchorage, AK",General and Operations Managers,detailed,"114,330"
4,AK,"Anchorage, AK",Advertising and Promotions Managers,detailed,"74,240"
5,AK,"Anchorage, AK",Marketing Managers,detailed,"107,060"
6,AK,"Anchorage, AK",Sales Managers,detailed,"100,490"
7,AK,"Anchorage, AK",Public Relations and Fundraising Managers,detailed,"112,500"
8,AK,"Anchorage, AK",Administrative Services Managers,detailed,"94,850"
9,AK,"Anchorage, AK",Computer and Information Systems Managers,detailed,"122,870"
10,AK,"Anchorage, AK",Financial Managers,detailed,"125,630"
11,AK,"Anchorage, AK",Industrial Production Managers,detailed,"114,370"
12,AK,"Anchorage, AK",Purchasing Managers,detailed,"121,900"
13,AK,"Anchorage, AK","Transportation, Storage, and Distribution Managers",detailed,"94,170"
14,AK,"Anchorage, AK",Human Resources Managers,detailed,"115,530"
15,AK,"Anchorage, AK",Training and Development Managers,detailed,"100,020"
16,AK,"Anchorage, AK",Construction Managers,detailed,"128,390"
17,AK,"Anchorage, AK","Education Administrators, Preschool and Childcare Center/Program",detailed,"58,090"
18,AK,"Anchorage, AK","Education Administrators, Elementary and Secondary School",detailed,"115,570"
19,AK,"Anchorage, AK","Education Administrators, Postsecondary",detailed,"121,130"
20,AK,"Anchorage, AK","Education Administrators, All Other",detailed,"90,390"
21,AK,"Anchorage, AK",Architectural and Engineering Managers,detailed,"166,330"
22,AK,"Anchorage, AK",Food Service Managers,detailed,"52,900"
23,AK,"Anchorage, AK",Lodging Managers,detailed,"67,040"
24,AK,"Anchorage, AK",Medical and Health Services Managers,detailed,"129,600"
25,AK,"Anchorage, AK",Natural Sciences Managers,detailed,"102,990"
26,AK,"Anchorage, AK","Property, Real Estate, and Community Association Managers",detailed,"69,200"
27,AK,"Anchorage, AK",Social and Community Service Managers,detailed,"79,800"
28,AK,"Anchorage, AK",Emergency Management Directors,detailed,"78,000"
29,AK,"Anchorage, AK","Managers, All Other",detailed,"111,280"
31,AK,"Anchorage, AK","Wholesale and Retail Buyers, Except Farm Products",detailed,"61,110"
32,AK,"Anchorage, AK","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"76,650"
