,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
695,AL,"Anniston-Oxford-Jacksonville, AL",General and Operations Managers,detailed,"99,270"
696,AL,"Anniston-Oxford-Jacksonville, AL",Financial Managers,detailed,"111,020"
697,AL,"Anniston-Oxford-Jacksonville, AL",Industrial Production Managers,detailed,"96,300"
698,AL,"Anniston-Oxford-Jacksonville, AL","Education Administrators, Elementary and Secondary School",detailed,"73,260"
699,AL,"Anniston-Oxford-Jacksonville, AL",Food Service Managers,detailed,"55,900"
700,AL,"Anniston-Oxford-Jacksonville, AL",Medical and Health Services Managers,detailed,"93,650"
701,AL,"Anniston-Oxford-Jacksonville, AL","Managers, All Other",detailed,*
703,AL,"Anniston-Oxford-Jacksonville, AL","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"63,420"
704,AL,"Anniston-Oxford-Jacksonville, AL","Claims Adjusters, Examiners, and Investigators",detailed,"61,340"
705,AL,"Anniston-Oxford-Jacksonville, AL",Human Resources Specialists,detailed,"60,460"
706,AL,"Anniston-Oxford-Jacksonville, AL",Logisticians,detailed,"68,190"
707,AL,"Anniston-Oxford-Jacksonville, AL",Management Analysts,detailed,"65,870"
708,AL,"Anniston-Oxford-Jacksonville, AL",Market Research Analysts and Marketing Specialists,detailed,"50,660"
709,AL,"Anniston-Oxford-Jacksonville, AL","Business Operations Specialists, All Other",detailed,"65,940"
710,AL,"Anniston-Oxford-Jacksonville, AL",Accountants and Auditors,detailed,"62,610"
711,AL,"Anniston-Oxford-Jacksonville, AL",Appraisers and Assessors of Real Estate,detailed,*
713,AL,"Anniston-Oxford-Jacksonville, AL",Computer Systems Analysts,detailed,"66,220"
714,AL,"Anniston-Oxford-Jacksonville, AL",Network and Computer Systems Administrators,detailed,"57,660"
715,AL,"Anniston-Oxford-Jacksonville, AL",Computer User Support Specialists,detailed,"33,640"
717,AL,"Anniston-Oxford-Jacksonville, AL",Civil Engineers,detailed,"82,170"
718,AL,"Anniston-Oxford-Jacksonville, AL",Industrial Engineers,detailed,"81,840"
719,AL,"Anniston-Oxford-Jacksonville, AL",Mechanical Engineers,detailed,"78,440"
720,AL,"Anniston-Oxford-Jacksonville, AL",Mechanical Drafters,detailed,"45,530"
721,AL,"Anniston-Oxford-Jacksonville, AL",Civil Engineering Technicians,detailed,"41,030"
723,AL,"Anniston-Oxford-Jacksonville, AL",Chemical Technicians,detailed,"46,480"
725,AL,"Anniston-Oxford-Jacksonville, AL","Educational, Guidance, School, and Vocational Counselors",detailed,"50,500"
726,AL,"Anniston-Oxford-Jacksonville, AL","Child, Family, and School Social Workers",detailed,"35,300"
727,AL,"Anniston-Oxford-Jacksonville, AL",Healthcare Social Workers,detailed,"47,800"
728,AL,"Anniston-Oxford-Jacksonville, AL",Mental Health and Substance Abuse Social Workers,detailed,"34,420"
730,AL,"Anniston-Oxford-Jacksonville, AL",Lawyers,detailed,*
731,AL,"Anniston-Oxford-Jacksonville, AL",Paralegals and Legal Assistants,detailed,"37,400"
733,AL,"Anniston-Oxford-Jacksonville, AL","Preschool Teachers, Except Special Education",detailed,"25,660"
734,AL,"Anniston-Oxford-Jacksonville, AL","Kindergarten Teachers, Except Special Education",detailed,"47,950"
735,AL,"Anniston-Oxford-Jacksonville, AL","Elementary School Teachers, Except Special Education",detailed,"47,590"
736,AL,"Anniston-Oxford-Jacksonville, AL","Middle School Teachers, Except Special and Career/Technical Education",detailed,"47,120"
737,AL,"Anniston-Oxford-Jacksonville, AL","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"47,250"
738,AL,"Anniston-Oxford-Jacksonville, AL","Special Education Teachers, Kindergarten and Elementary School",detailed,"48,350"
739,AL,"Anniston-Oxford-Jacksonville, AL",Self-Enrichment Education Teachers,detailed,"30,850"
740,AL,"Anniston-Oxford-Jacksonville, AL",Librarians,detailed,"53,770"
741,AL,"Anniston-Oxford-Jacksonville, AL",Library Technicians,detailed,"30,740"
742,AL,"Anniston-Oxford-Jacksonville, AL",Teacher Assistants,detailed,"17,460"
