,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
4485,AR,"Fayetteville-Springdale-Rogers, AR-MO",Chief Executives,detailed,"162,960"
4486,AR,"Fayetteville-Springdale-Rogers, AR-MO",General and Operations Managers,detailed,"99,060"
4487,AR,"Fayetteville-Springdale-Rogers, AR-MO",Legislators,detailed,"20,280"
4488,AR,"Fayetteville-Springdale-Rogers, AR-MO",Advertising and Promotions Managers,detailed,"84,620"
4489,AR,"Fayetteville-Springdale-Rogers, AR-MO",Marketing Managers,detailed,"146,960"
4490,AR,"Fayetteville-Springdale-Rogers, AR-MO",Sales Managers,detailed,"149,260"
4491,AR,"Fayetteville-Springdale-Rogers, AR-MO",Public Relations and Fundraising Managers,detailed,"140,380"
4492,AR,"Fayetteville-Springdale-Rogers, AR-MO",Administrative Services Managers,detailed,"117,220"
4493,AR,"Fayetteville-Springdale-Rogers, AR-MO",Computer and Information Systems Managers,detailed,"138,240"
4494,AR,"Fayetteville-Springdale-Rogers, AR-MO",Financial Managers,detailed,"142,980"
4495,AR,"Fayetteville-Springdale-Rogers, AR-MO",Industrial Production Managers,detailed,"80,460"
4496,AR,"Fayetteville-Springdale-Rogers, AR-MO",Purchasing Managers,detailed,*
4497,AR,"Fayetteville-Springdale-Rogers, AR-MO","Transportation, Storage, and Distribution Managers",detailed,"130,920"
4498,AR,"Fayetteville-Springdale-Rogers, AR-MO",Compensation and Benefits Managers,detailed,*
4499,AR,"Fayetteville-Springdale-Rogers, AR-MO",Human Resources Managers,detailed,"115,850"
4500,AR,"Fayetteville-Springdale-Rogers, AR-MO",Training and Development Managers,detailed,"123,110"
4501,AR,"Fayetteville-Springdale-Rogers, AR-MO",Construction Managers,detailed,"72,680"
4502,AR,"Fayetteville-Springdale-Rogers, AR-MO","Education Administrators, Preschool and Childcare Center/Program",detailed,"44,440"
4503,AR,"Fayetteville-Springdale-Rogers, AR-MO","Education Administrators, Elementary and Secondary School",detailed,"87,080"
4504,AR,"Fayetteville-Springdale-Rogers, AR-MO","Education Administrators, Postsecondary",detailed,"97,830"
4505,AR,"Fayetteville-Springdale-Rogers, AR-MO",Architectural and Engineering Managers,detailed,"108,300"
4506,AR,"Fayetteville-Springdale-Rogers, AR-MO",Food Service Managers,detailed,"52,980"
4507,AR,"Fayetteville-Springdale-Rogers, AR-MO",Lodging Managers,detailed,"51,990"
4508,AR,"Fayetteville-Springdale-Rogers, AR-MO",Medical and Health Services Managers,detailed,"76,890"
4509,AR,"Fayetteville-Springdale-Rogers, AR-MO",Natural Sciences Managers,detailed,"85,500"
4510,AR,"Fayetteville-Springdale-Rogers, AR-MO","Property, Real Estate, and Community Association Managers",detailed,"49,700"
4511,AR,"Fayetteville-Springdale-Rogers, AR-MO",Social and Community Service Managers,detailed,"54,620"
4512,AR,"Fayetteville-Springdale-Rogers, AR-MO","Managers, All Other",detailed,"142,210"
4514,AR,"Fayetteville-Springdale-Rogers, AR-MO","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"54,190"
4515,AR,"Fayetteville-Springdale-Rogers, AR-MO","Claims Adjusters, Examiners, and Investigators",detailed,"59,440"
4516,AR,"Fayetteville-Springdale-Rogers, AR-MO",Compliance Officers,detailed,"56,660"
4517,AR,"Fayetteville-Springdale-Rogers, AR-MO",Cost Estimators,detailed,"58,030"
4518,AR,"Fayetteville-Springdale-Rogers, AR-MO",Human Resources Specialists,detailed,"56,860"
4519,AR,"Fayetteville-Springdale-Rogers, AR-MO",Logisticians,detailed,"65,180"
4520,AR,"Fayetteville-Springdale-Rogers, AR-MO",Management Analysts,detailed,"64,260"
4521,AR,"Fayetteville-Springdale-Rogers, AR-MO","Meeting, Convention, and Event Planners",detailed,"39,890"
4522,AR,"Fayetteville-Springdale-Rogers, AR-MO",Fundraisers,detailed,"54,230"
4523,AR,"Fayetteville-Springdale-Rogers, AR-MO","Compensation, Benefits, and Job Analysis Specialists",detailed,"53,250"
4524,AR,"Fayetteville-Springdale-Rogers, AR-MO",Training and Development Specialists,detailed,"53,760"
4525,AR,"Fayetteville-Springdale-Rogers, AR-MO",Market Research Analysts and Marketing Specialists,detailed,"72,100"
4526,AR,"Fayetteville-Springdale-Rogers, AR-MO",Accountants and Auditors,detailed,"61,640"
4527,AR,"Fayetteville-Springdale-Rogers, AR-MO",Appraisers and Assessors of Real Estate,detailed,"46,250"
4528,AR,"Fayetteville-Springdale-Rogers, AR-MO",Credit Analysts,detailed,"49,630"
4529,AR,"Fayetteville-Springdale-Rogers, AR-MO",Financial Analysts,detailed,"82,780"
4530,AR,"Fayetteville-Springdale-Rogers, AR-MO",Personal Financial Advisors,detailed,"102,970"
4531,AR,"Fayetteville-Springdale-Rogers, AR-MO",Loan Officers,detailed,"65,750"
4532,AR,"Fayetteville-Springdale-Rogers, AR-MO","Tax Examiners and Collectors, and Revenue Agents",detailed,"60,060"
4533,AR,"Fayetteville-Springdale-Rogers, AR-MO","Financial Specialists, All Other",detailed,"43,460"
4535,AR,"Fayetteville-Springdale-Rogers, AR-MO",Computer Systems Analysts,detailed,"67,790"
4536,AR,"Fayetteville-Springdale-Rogers, AR-MO",Information Security Analysts,detailed,"72,970"
4537,AR,"Fayetteville-Springdale-Rogers, AR-MO","Software Developers, Applications",detailed,"86,050"
4538,AR,"Fayetteville-Springdale-Rogers, AR-MO","Software Developers, Systems Software",detailed,"64,040"
4539,AR,"Fayetteville-Springdale-Rogers, AR-MO",Web Developers,detailed,"71,620"
4540,AR,"Fayetteville-Springdale-Rogers, AR-MO",Database Administrators,detailed,"76,870"
4541,AR,"Fayetteville-Springdale-Rogers, AR-MO",Network and Computer Systems Administrators,detailed,"77,320"
4542,AR,"Fayetteville-Springdale-Rogers, AR-MO",Computer User Support Specialists,detailed,"39,500"
4543,AR,"Fayetteville-Springdale-Rogers, AR-MO",Computer Network Support Specialists,detailed,"54,950"
4544,AR,"Fayetteville-Springdale-Rogers, AR-MO","Computer Occupations, All Other",detailed,"67,050"
4545,AR,"Fayetteville-Springdale-Rogers, AR-MO",Operations Research Analysts,detailed,"77,630"
4547,AR,"Fayetteville-Springdale-Rogers, AR-MO","Architects, Except Landscape and Naval",detailed,"65,540"
4548,AR,"Fayetteville-Springdale-Rogers, AR-MO",Landscape Architects,detailed,"50,560"
4549,AR,"Fayetteville-Springdale-Rogers, AR-MO",Surveyors,detailed,"49,110"
4550,AR,"Fayetteville-Springdale-Rogers, AR-MO",Chemical Engineers,detailed,"73,740"
4551,AR,"Fayetteville-Springdale-Rogers, AR-MO",Civil Engineers,detailed,"70,250"
4552,AR,"Fayetteville-Springdale-Rogers, AR-MO",Computer Hardware Engineers,detailed,"47,230"
4553,AR,"Fayetteville-Springdale-Rogers, AR-MO",Electrical Engineers,detailed,"79,740"
