,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
6488,AZ,"Flagstaff, AZ",Chief Executives,detailed,"148,190"
6489,AZ,"Flagstaff, AZ",General and Operations Managers,detailed,"71,680"
6490,AZ,"Flagstaff, AZ",Legislators,detailed,"47,870"
6491,AZ,"Flagstaff, AZ",Marketing Managers,detailed,"48,730"
6492,AZ,"Flagstaff, AZ",Sales Managers,detailed,"77,950"
6493,AZ,"Flagstaff, AZ",Administrative Services Managers,detailed,"76,420"
6494,AZ,"Flagstaff, AZ",Computer and Information Systems Managers,detailed,"99,530"
6495,AZ,"Flagstaff, AZ",Financial Managers,detailed,"87,030"
6496,AZ,"Flagstaff, AZ","Transportation, Storage, and Distribution Managers",detailed,"79,360"
6497,AZ,"Flagstaff, AZ",Human Resources Managers,detailed,"102,110"
6498,AZ,"Flagstaff, AZ",Construction Managers,detailed,"68,760"
6499,AZ,"Flagstaff, AZ","Education Administrators, Elementary and Secondary School",detailed,"73,960"
6500,AZ,"Flagstaff, AZ","Education Administrators, Postsecondary",detailed,"114,600"
6501,AZ,"Flagstaff, AZ","Education Administrators, All Other",detailed,"68,180"
6502,AZ,"Flagstaff, AZ",Food Service Managers,detailed,"60,120"
6503,AZ,"Flagstaff, AZ",Natural Sciences Managers,detailed,"100,110"
6504,AZ,"Flagstaff, AZ","Property, Real Estate, and Community Association Managers",detailed,"38,860"
6505,AZ,"Flagstaff, AZ",Social and Community Service Managers,detailed,"64,190"
6506,AZ,"Flagstaff, AZ","Managers, All Other",detailed,"91,310"
6508,AZ,"Flagstaff, AZ","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,880"
6509,AZ,"Flagstaff, AZ",Compliance Officers,detailed,"65,920"
6510,AZ,"Flagstaff, AZ",Cost Estimators,detailed,"67,020"
6511,AZ,"Flagstaff, AZ",Human Resources Specialists,detailed,"56,910"
6512,AZ,"Flagstaff, AZ",Management Analysts,detailed,"69,840"
6513,AZ,"Flagstaff, AZ","Meeting, Convention, and Event Planners",detailed,"45,860"
6514,AZ,"Flagstaff, AZ",Fundraisers,detailed,"55,440"
6515,AZ,"Flagstaff, AZ",Training and Development Specialists,detailed,"57,440"
6516,AZ,"Flagstaff, AZ",Market Research Analysts and Marketing Specialists,detailed,"50,960"
6517,AZ,"Flagstaff, AZ","Business Operations Specialists, All Other",detailed,"65,640"
