,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
8982,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Chief Executives,detailed,"222,070"
8983,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",General and Operations Managers,detailed,"137,380"
8984,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Legislators,detailed,"74,260"
8985,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Advertising and Promotions Managers,detailed,"99,080"
8986,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Marketing Managers,detailed,"135,260"
8987,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Sales Managers,detailed,"129,010"
8988,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Public Relations and Fundraising Managers,detailed,"137,080"
8989,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Administrative Services Managers,detailed,"107,250"
8990,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Computer and Information Systems Managers,detailed,"138,710"
8991,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Financial Managers,detailed,"141,950"
8992,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Industrial Production Managers,detailed,"105,850"
8993,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Purchasing Managers,detailed,"115,800"
8994,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Transportation, Storage, and Distribution Managers",detailed,"90,480"
8995,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Compensation and Benefits Managers,detailed,"148,230"
8996,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Human Resources Managers,detailed,"141,120"
8997,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Training and Development Managers,detailed,"116,720"
8998,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Construction Managers,detailed,"116,720"
8999,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Education Administrators, Preschool and Childcare Center/Program",detailed,"72,310"
9000,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Education Administrators, Elementary and Secondary School",detailed,"121,480"
9001,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Education Administrators, Postsecondary",detailed,"108,200"
9002,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Education Administrators, All Other",detailed,"106,680"
9003,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Architectural and Engineering Managers,detailed,"152,640"
9004,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Food Service Managers,detailed,"54,440"
9005,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Lodging Managers,detailed,"62,230"
9006,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Medical and Health Services Managers,detailed,"104,140"
9007,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Natural Sciences Managers,detailed,"159,490"
9008,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Postmasters and Mail Superintendents,detailed,"87,340"
9009,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Property, Real Estate, and Community Association Managers",detailed,"76,480"
9010,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Social and Community Service Managers,detailed,"68,410"
9011,CA,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Emergency Management Directors,detailed,"113,640"
