,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
21716,CO,"Boulder, CO",Chief Executives,detailed,"204,080"
21717,CO,"Boulder, CO",General and Operations Managers,detailed,"134,830"
21718,CO,"Boulder, CO",Legislators,detailed,"111,530"
21719,CO,"Boulder, CO",Advertising and Promotions Managers,detailed,"205,190"
21720,CO,"Boulder, CO",Marketing Managers,detailed,"153,000"
21721,CO,"Boulder, CO",Sales Managers,detailed,"129,660"
21722,CO,"Boulder, CO",Public Relations and Fundraising Managers,detailed,"130,690"
21723,CO,"Boulder, CO",Administrative Services Managers,detailed,"93,020"
21724,CO,"Boulder, CO",Computer and Information Systems Managers,detailed,"151,500"
21725,CO,"Boulder, CO",Financial Managers,detailed,"145,320"
21726,CO,"Boulder, CO",Industrial Production Managers,detailed,"120,030"
21727,CO,"Boulder, CO",Purchasing Managers,detailed,"141,060"
21728,CO,"Boulder, CO","Transportation, Storage, and Distribution Managers",detailed,"107,570"
21729,CO,"Boulder, CO",Human Resources Managers,detailed,"122,040"
21730,CO,"Boulder, CO",Construction Managers,detailed,"74,560"
21731,CO,"Boulder, CO","Education Administrators, Elementary and Secondary School",detailed,"93,730"
21732,CO,"Boulder, CO","Education Administrators, Postsecondary",detailed,"95,690"
21733,CO,"Boulder, CO",Architectural and Engineering Managers,detailed,"162,870"
21734,CO,"Boulder, CO",Food Service Managers,detailed,"56,220"
21735,CO,"Boulder, CO",Medical and Health Services Managers,detailed,"116,680"
21736,CO,"Boulder, CO",Natural Sciences Managers,detailed,"149,670"
21737,CO,"Boulder, CO","Property, Real Estate, and Community Association Managers",detailed,"66,950"
21738,CO,"Boulder, CO",Social and Community Service Managers,detailed,"80,260"
21739,CO,"Boulder, CO","Managers, All Other",detailed,"130,960"
21741,CO,"Boulder, CO","Wholesale and Retail Buyers, Except Farm Products",detailed,"75,110"
21742,CO,"Boulder, CO","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"69,800"
21743,CO,"Boulder, CO","Claims Adjusters, Examiners, and Investigators",detailed,"73,880"
21744,CO,"Boulder, CO",Compliance Officers,detailed,"68,060"
21745,CO,"Boulder, CO",Cost Estimators,detailed,"59,590"
21746,CO,"Boulder, CO",Human Resources Specialists,detailed,"66,370"
21747,CO,"Boulder, CO",Logisticians,detailed,"67,700"
21748,CO,"Boulder, CO",Management Analysts,detailed,"113,980"
21749,CO,"Boulder, CO","Meeting, Convention, and Event Planners",detailed,"44,940"
21750,CO,"Boulder, CO",Fundraisers,detailed,"55,180"
21751,CO,"Boulder, CO","Compensation, Benefits, and Job Analysis Specialists",detailed,"73,560"
21752,CO,"Boulder, CO",Training and Development Specialists,detailed,"65,910"
21753,CO,"Boulder, CO",Market Research Analysts and Marketing Specialists,detailed,"80,170"
21754,CO,"Boulder, CO","Business Operations Specialists, All Other",detailed,"78,130"
21755,CO,"Boulder, CO",Accountants and Auditors,detailed,"78,890"
21756,CO,"Boulder, CO",Appraisers and Assessors of Real Estate,detailed,"66,970"
21757,CO,"Boulder, CO",Budget Analysts,detailed,"72,440"
21758,CO,"Boulder, CO",Credit Analysts,detailed,"75,640"
21759,CO,"Boulder, CO",Financial Analysts,detailed,"89,660"
21760,CO,"Boulder, CO",Personal Financial Advisors,detailed,"81,630"
21761,CO,"Boulder, CO",Loan Officers,detailed,"92,160"
21762,CO,"Boulder, CO",Tax Preparers,detailed,"59,200"
21763,CO,"Boulder, CO","Financial Specialists, All Other",detailed,"81,450"
21765,CO,"Boulder, CO",Computer and Information Research Scientists,detailed,"108,710"
21766,CO,"Boulder, CO",Computer Systems Analysts,detailed,"86,470"
21767,CO,"Boulder, CO",Information Security Analysts,detailed,"98,790"
21768,CO,"Boulder, CO",Computer Programmers,detailed,"97,720"
21769,CO,"Boulder, CO","Software Developers, Applications",detailed,"107,830"
21770,CO,"Boulder, CO","Software Developers, Systems Software",detailed,"117,110"
21771,CO,"Boulder, CO",Web Developers,detailed,"63,720"
21772,CO,"Boulder, CO",Database Administrators,detailed,"99,080"
21773,CO,"Boulder, CO",Network and Computer Systems Administrators,detailed,"79,190"
21774,CO,"Boulder, CO",Computer Network Architects,detailed,"110,130"
21775,CO,"Boulder, CO",Computer User Support Specialists,detailed,"56,440"
21776,CO,"Boulder, CO",Computer Network Support Specialists,detailed,"63,120"
21777,CO,"Boulder, CO","Computer Occupations, All Other",detailed,"90,490"
21778,CO,"Boulder, CO",Operations Research Analysts,detailed,"87,910"
21779,CO,"Boulder, CO",Statisticians,detailed,"102,530"
21781,CO,"Boulder, CO","Architects, Except Landscape and Naval",detailed,"62,020"
21782,CO,"Boulder, CO",Landscape Architects,detailed,"66,970"
21783,CO,"Boulder, CO",Cartographers and Photogrammetrists,detailed,"58,920"
21784,CO,"Boulder, CO",Surveyors,detailed,"56,750"
21785,CO,"Boulder, CO",Aerospace Engineers,detailed,"140,720"
21786,CO,"Boulder, CO",Chemical Engineers,detailed,"88,620"
21787,CO,"Boulder, CO",Civil Engineers,detailed,"77,440"
21788,CO,"Boulder, CO",Computer Hardware Engineers,detailed,"114,480"
21789,CO,"Boulder, CO",Electrical Engineers,detailed,"99,800"
21790,CO,"Boulder, CO","Electronics Engineers, Except Computer",detailed,"116,550"
21791,CO,"Boulder, CO",Environmental Engineers,detailed,"84,290"
21792,CO,"Boulder, CO",Industrial Engineers,detailed,"95,660"
21793,CO,"Boulder, CO",Materials Engineers,detailed,"134,400"
21794,CO,"Boulder, CO",Mechanical Engineers,detailed,"107,690"
21795,CO,"Boulder, CO","Engineers, All Other",detailed,"119,170"
21796,CO,"Boulder, CO",Architectural and Civil Drafters,detailed,"56,270"
21797,CO,"Boulder, CO",Electrical and Electronics Drafters,detailed,"56,590"
21798,CO,"Boulder, CO",Mechanical Drafters,detailed,"59,430"
21799,CO,"Boulder, CO",Aerospace Engineering and Operations Technicians,detailed,"78,130"
21800,CO,"Boulder, CO",Civil Engineering Technicians,detailed,"61,220"
21801,CO,"Boulder, CO",Electrical and Electronics Engineering Technicians,detailed,"56,370"
21802,CO,"Boulder, CO",Electro-Mechanical Technicians,detailed,"61,920"
21803,CO,"Boulder, CO",Industrial Engineering Technicians,detailed,"67,120"
21804,CO,"Boulder, CO",Mechanical Engineering Technicians,detailed,"74,880"
21805,CO,"Boulder, CO","Engineering Technicians, Except Drafters, All Other",detailed,"65,350"
21807,CO,"Boulder, CO",Biochemists and Biophysicists,detailed,"72,170"
21808,CO,"Boulder, CO",Microbiologists,detailed,"65,950"
21809,CO,"Boulder, CO",Zoologists and Wildlife Biologists,detailed,"65,510"
21810,CO,"Boulder, CO","Biological Scientists, All Other",detailed,"80,060"
21811,CO,"Boulder, CO",Conservation Scientists,detailed,"70,600"
21812,CO,"Boulder, CO","Medical Scientists, Except Epidemiologists",detailed,"86,270"
21813,CO,"Boulder, CO",Astronomers,detailed,"115,400"
21814,CO,"Boulder, CO",Physicists,detailed,"93,400"
21815,CO,"Boulder, CO",Atmospheric and Space Scientists,detailed,"97,260"
21816,CO,"Boulder, CO",Chemists,detailed,"83,710"
21817,CO,"Boulder, CO","Environmental Scientists and Specialists, Including Health",detailed,"86,330"
21818,CO,"Boulder, CO","Geoscientists, Except Hydrologists and Geographers",detailed,"87,520"
21819,CO,"Boulder, CO",Hydrologists,detailed,"113,310"
21820,CO,"Boulder, CO","Physical Scientists, All Other",detailed,"113,770"
21821,CO,"Boulder, CO",Survey Researchers,detailed,"65,900"
21822,CO,"Boulder, CO","Clinical, Counseling, and School Psychologists",detailed,"69,930"
21823,CO,"Boulder, CO",Urban and Regional Planners,detailed,"80,330"
21824,CO,"Boulder, CO","Social Scientists and Related Workers, All Other",detailed,"66,340"
21825,CO,"Boulder, CO",Biological Technicians,detailed,"47,250"
21826,CO,"Boulder, CO",Chemical Technicians,detailed,"50,160"
21827,CO,"Boulder, CO","Environmental Science and Protection Technicians, Including Health",detailed,"35,480"
21828,CO,"Boulder, CO",Forest and Conservation Technicians,detailed,"43,340"
21829,CO,"Boulder, CO","Life, Physical, and Social Science Technicians, All Other",detailed,"53,450"
21831,CO,"Boulder, CO","Educational, Guidance, School, and Vocational Counselors",detailed,"57,660"
21832,CO,"Boulder, CO",Mental Health Counselors,detailed,"43,210"
21833,CO,"Boulder, CO",Rehabilitation Counselors,detailed,"46,330"
21834,CO,"Boulder, CO","Counselors, All Other",detailed,"50,050"
21835,CO,"Boulder, CO","Child, Family, and School Social Workers",detailed,"50,270"
21836,CO,"Boulder, CO",Healthcare Social Workers,detailed,"68,890"
21837,CO,"Boulder, CO","Social Workers, All Other",detailed,"42,450"
21838,CO,"Boulder, CO",Probation Officers and Correctional Treatment Specialists,detailed,"63,040"
21839,CO,"Boulder, CO",Social and Human Service Assistants,detailed,"34,620"
21840,CO,"Boulder, CO","Community and Social Service Specialists, All Other",detailed,"41,430"
21841,CO,"Boulder, CO",Clergy,detailed,"55,480"
21843,CO,"Boulder, CO",Lawyers,detailed,"121,610"
21844,CO,"Boulder, CO",Paralegals and Legal Assistants,detailed,"50,580"
21845,CO,"Boulder, CO","Legal Support Workers, All Other",detailed,"61,400"
21847,CO,"Boulder, CO","Business Teachers, Postsecondary",detailed,"116,760"
21848,CO,"Boulder, CO","Psychology Teachers, Postsecondary",detailed,"63,890"
21849,CO,"Boulder, CO","Health Specialties Teachers, Postsecondary",detailed,"75,930"
21850,CO,"Boulder, CO","Education Teachers, Postsecondary",detailed,"67,880"
21851,CO,"Boulder, CO","Art, Drama, and Music Teachers, Postsecondary",detailed,"59,090"
21852,CO,"Boulder, CO","Communications Teachers, Postsecondary",detailed,"72,930"
21853,CO,"Boulder, CO","Vocational Education Teachers, Postsecondary",detailed,*
21854,CO,"Boulder, CO","Preschool Teachers, Except Special Education",detailed,"32,330"
21855,CO,"Boulder, CO","Kindergarten Teachers, Except Special Education",detailed,"54,050"
21856,CO,"Boulder, CO","Elementary School Teachers, Except Special Education",detailed,"58,600"
21857,CO,"Boulder, CO","Middle School Teachers, Except Special and Career/Technical Education",detailed,"59,810"
21858,CO,"Boulder, CO","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"58,240"
