,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
24612,CT,"Bridgeport-Stamford-Norwalk, CT",Chief Executives,detailed,"244,790"
24613,CT,"Bridgeport-Stamford-Norwalk, CT",General and Operations Managers,detailed,"168,520"
24614,CT,"Bridgeport-Stamford-Norwalk, CT",Legislators,detailed,"66,470"
24615,CT,"Bridgeport-Stamford-Norwalk, CT",Advertising and Promotions Managers,detailed,"135,790"
24616,CT,"Bridgeport-Stamford-Norwalk, CT",Marketing Managers,detailed,"166,620"
24617,CT,"Bridgeport-Stamford-Norwalk, CT",Sales Managers,detailed,"167,360"
24618,CT,"Bridgeport-Stamford-Norwalk, CT",Public Relations and Fundraising Managers,detailed,"126,550"
24619,CT,"Bridgeport-Stamford-Norwalk, CT",Administrative Services Managers,detailed,"114,540"
24620,CT,"Bridgeport-Stamford-Norwalk, CT",Computer and Information Systems Managers,detailed,"154,340"
24621,CT,"Bridgeport-Stamford-Norwalk, CT",Financial Managers,detailed,"157,530"
24622,CT,"Bridgeport-Stamford-Norwalk, CT",Industrial Production Managers,detailed,"117,850"
24623,CT,"Bridgeport-Stamford-Norwalk, CT",Purchasing Managers,detailed,"140,230"
24624,CT,"Bridgeport-Stamford-Norwalk, CT","Transportation, Storage, and Distribution Managers",detailed,"125,610"
24625,CT,"Bridgeport-Stamford-Norwalk, CT",Compensation and Benefits Managers,detailed,"134,880"
24626,CT,"Bridgeport-Stamford-Norwalk, CT",Human Resources Managers,detailed,"144,090"
24627,CT,"Bridgeport-Stamford-Norwalk, CT",Training and Development Managers,detailed,"129,920"
24628,CT,"Bridgeport-Stamford-Norwalk, CT",Construction Managers,detailed,"127,150"
24629,CT,"Bridgeport-Stamford-Norwalk, CT","Education Administrators, Preschool and Childcare Center/Program",detailed,"89,210"
24630,CT,"Bridgeport-Stamford-Norwalk, CT","Education Administrators, Elementary and Secondary School",detailed,"136,570"
24631,CT,"Bridgeport-Stamford-Norwalk, CT","Education Administrators, Postsecondary",detailed,"117,400"
24632,CT,"Bridgeport-Stamford-Norwalk, CT","Education Administrators, All Other",detailed,"91,580"
24633,CT,"Bridgeport-Stamford-Norwalk, CT",Architectural and Engineering Managers,detailed,"144,660"
