,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
27194,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Chief Executives,detailed,"207,090"
27195,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",General and Operations Managers,detailed,"146,890"
27196,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Legislators,detailed,"44,680"
27197,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Advertising and Promotions Managers,detailed,"112,410"
27198,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Marketing Managers,detailed,"156,540"
27199,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Sales Managers,detailed,"157,910"
27200,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Public Relations and Fundraising Managers,detailed,"153,730"
27201,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Administrative Services Managers,detailed,"107,220"
27202,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Computer and Information Systems Managers,detailed,"162,530"
27203,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Financial Managers,detailed,"154,680"
27204,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Industrial Production Managers,detailed,"134,250"
27205,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Purchasing Managers,detailed,"134,600"
27206,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Transportation, Storage, and Distribution Managers",detailed,"112,700"
27207,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Compensation and Benefits Managers,detailed,"141,680"
27208,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Human Resources Managers,detailed,"144,680"
27209,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Training and Development Managers,detailed,"134,260"
27210,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Construction Managers,detailed,"111,640"
27211,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Education Administrators, Preschool and Childcare Center/Program",detailed,"60,130"
27212,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Education Administrators, Elementary and Secondary School",detailed,"103,930"
27213,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Education Administrators, Postsecondary",detailed,"106,910"
27214,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Education Administrators, All Other",detailed,"98,350"
27215,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Architectural and Engineering Managers,detailed,"151,610"
27216,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Food Service Managers,detailed,"67,810"
27217,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Funeral Service Managers,detailed,"94,760"
27218,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Lodging Managers,detailed,"87,800"
27219,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Medical and Health Services Managers,detailed,"122,880"
27220,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Natural Sciences Managers,detailed,"135,390"
27221,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Postmasters and Mail Superintendents,detailed,"73,670"
27222,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Property, Real Estate, and Community Association Managers",detailed,"83,390"
27223,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Social and Community Service Managers,detailed,"97,650"
27224,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Emergency Management Directors,detailed,"110,850"
27225,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Managers, All Other",detailed,"132,310"
27227,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Agents and Business Managers of Artists, Performers, and Athletes",detailed,"96,620"
27228,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Buyers and Purchasing Agents, Farm Products",detailed,"61,620"
27229,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Wholesale and Retail Buyers, Except Farm Products",detailed,"62,040"
27230,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"87,160"
27231,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Claims Adjusters, Examiners, and Investigators",detailed,"73,580"
27232,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division","Insurance Appraisers, Auto Damage",detailed,"64,660"
27233,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Compliance Officers,detailed,"84,470"
27234,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Cost Estimators,detailed,"73,420"
27235,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Human Resources Specialists,detailed,"83,380"
27236,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Labor Relations Specialists,detailed,"69,660"
