,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
27913,DE,"Dover, DE",Chief Executives,detailed,*
27914,DE,"Dover, DE",General and Operations Managers,detailed,"141,790"
27915,DE,"Dover, DE",Legislators,detailed,*
27916,DE,"Dover, DE",Sales Managers,detailed,*
27917,DE,"Dover, DE",Administrative Services Managers,detailed,"97,460"
27918,DE,"Dover, DE",Computer and Information Systems Managers,detailed,"114,720"
27919,DE,"Dover, DE",Financial Managers,detailed,"138,930"
27920,DE,"Dover, DE",Industrial Production Managers,detailed,"120,000"
27921,DE,"Dover, DE","Transportation, Storage, and Distribution Managers",detailed,"111,520"
27922,DE,"Dover, DE",Human Resources Managers,detailed,"87,620"
27923,DE,"Dover, DE",Construction Managers,detailed,"93,630"
27924,DE,"Dover, DE","Education Administrators, Preschool and Childcare Center/Program",detailed,"53,860"
27925,DE,"Dover, DE",Architectural and Engineering Managers,detailed,"132,110"
27926,DE,"Dover, DE",Food Service Managers,detailed,"65,120"
27927,DE,"Dover, DE",Medical and Health Services Managers,detailed,"89,990"
27928,DE,"Dover, DE",Natural Sciences Managers,detailed,*
27929,DE,"Dover, DE",Social and Community Service Managers,detailed,"60,910"
27930,DE,"Dover, DE","Managers, All Other",detailed,"115,180"
27932,DE,"Dover, DE","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"59,260"
27933,DE,"Dover, DE","Claims Adjusters, Examiners, and Investigators",detailed,*
27934,DE,"Dover, DE",Compliance Officers,detailed,"54,540"
27935,DE,"Dover, DE",Cost Estimators,detailed,"64,730"
27936,DE,"Dover, DE",Human Resources Specialists,detailed,"53,070"
27937,DE,"Dover, DE",Labor Relations Specialists,detailed,*
27938,DE,"Dover, DE",Logisticians,detailed,"74,410"
27939,DE,"Dover, DE",Management Analysts,detailed,"60,770"
27940,DE,"Dover, DE","Meeting, Convention, and Event Planners",detailed,"46,530"
27941,DE,"Dover, DE",Fundraisers,detailed,"58,570"
27942,DE,"Dover, DE",Training and Development Specialists,detailed,"62,180"
27943,DE,"Dover, DE",Market Research Analysts and Marketing Specialists,detailed,"65,060"
27944,DE,"Dover, DE","Business Operations Specialists, All Other",detailed,"69,640"
27945,DE,"Dover, DE",Accountants and Auditors,detailed,"62,390"
27946,DE,"Dover, DE",Appraisers and Assessors of Real Estate,detailed,"47,820"
27947,DE,"Dover, DE",Budget Analysts,detailed,"60,000"
27948,DE,"Dover, DE",Financial Analysts,detailed,"73,350"
27949,DE,"Dover, DE",Personal Financial Advisors,detailed,"117,480"
27950,DE,"Dover, DE",Loan Officers,detailed,"72,010"
