,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
28724,FL,"Cape Coral-Fort Myers, FL",Chief Executives,detailed,"194,690"
28725,FL,"Cape Coral-Fort Myers, FL",General and Operations Managers,detailed,"118,460"
28726,FL,"Cape Coral-Fort Myers, FL",Legislators,detailed,"38,980"
28727,FL,"Cape Coral-Fort Myers, FL",Marketing Managers,detailed,"94,200"
28728,FL,"Cape Coral-Fort Myers, FL",Sales Managers,detailed,"129,870"
28729,FL,"Cape Coral-Fort Myers, FL",Administrative Services Managers,detailed,"100,990"
28730,FL,"Cape Coral-Fort Myers, FL",Computer and Information Systems Managers,detailed,"127,690"
28731,FL,"Cape Coral-Fort Myers, FL",Financial Managers,detailed,"116,250"
28732,FL,"Cape Coral-Fort Myers, FL",Industrial Production Managers,detailed,"98,590"
28733,FL,"Cape Coral-Fort Myers, FL","Transportation, Storage, and Distribution Managers",detailed,"89,250"
28734,FL,"Cape Coral-Fort Myers, FL",Human Resources Managers,detailed,"102,890"
28735,FL,"Cape Coral-Fort Myers, FL",Construction Managers,detailed,"79,690"
28736,FL,"Cape Coral-Fort Myers, FL","Education Administrators, Elementary and Secondary School",detailed,"99,850"
28737,FL,"Cape Coral-Fort Myers, FL",Architectural and Engineering Managers,detailed,"104,090"
28738,FL,"Cape Coral-Fort Myers, FL",Food Service Managers,detailed,"58,030"
28739,FL,"Cape Coral-Fort Myers, FL",Lodging Managers,detailed,"65,390"
28740,FL,"Cape Coral-Fort Myers, FL",Medical and Health Services Managers,detailed,"121,390"
28741,FL,"Cape Coral-Fort Myers, FL","Property, Real Estate, and Community Association Managers",detailed,"61,750"
28742,FL,"Cape Coral-Fort Myers, FL",Social and Community Service Managers,detailed,"66,550"
28743,FL,"Cape Coral-Fort Myers, FL","Managers, All Other",detailed,"79,410"
28745,FL,"Cape Coral-Fort Myers, FL","Wholesale and Retail Buyers, Except Farm Products",detailed,"58,210"
28746,FL,"Cape Coral-Fort Myers, FL","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"50,560"
28747,FL,"Cape Coral-Fort Myers, FL","Claims Adjusters, Examiners, and Investigators",detailed,"48,910"
28748,FL,"Cape Coral-Fort Myers, FL",Compliance Officers,detailed,"49,680"
28749,FL,"Cape Coral-Fort Myers, FL",Cost Estimators,detailed,"51,720"
28750,FL,"Cape Coral-Fort Myers, FL",Human Resources Specialists,detailed,"51,260"
28751,FL,"Cape Coral-Fort Myers, FL",Logisticians,detailed,"53,360"
28752,FL,"Cape Coral-Fort Myers, FL",Management Analysts,detailed,"97,740"
28753,FL,"Cape Coral-Fort Myers, FL","Meeting, Convention, and Event Planners",detailed,"45,120"
28754,FL,"Cape Coral-Fort Myers, FL",Fundraisers,detailed,"53,380"
28755,FL,"Cape Coral-Fort Myers, FL","Compensation, Benefits, and Job Analysis Specialists",detailed,"66,730"
28756,FL,"Cape Coral-Fort Myers, FL",Training and Development Specialists,detailed,"50,730"
28757,FL,"Cape Coral-Fort Myers, FL",Market Research Analysts and Marketing Specialists,detailed,"58,450"
28758,FL,"Cape Coral-Fort Myers, FL","Business Operations Specialists, All Other",detailed,"65,390"
28759,FL,"Cape Coral-Fort Myers, FL",Accountants and Auditors,detailed,"65,850"
28760,FL,"Cape Coral-Fort Myers, FL",Appraisers and Assessors of Real Estate,detailed,"46,080"
28761,FL,"Cape Coral-Fort Myers, FL",Budget Analysts,detailed,"64,880"
28762,FL,"Cape Coral-Fort Myers, FL",Financial Analysts,detailed,"84,760"
28763,FL,"Cape Coral-Fort Myers, FL",Personal Financial Advisors,detailed,"113,940"
28764,FL,"Cape Coral-Fort Myers, FL",Insurance Underwriters,detailed,"68,500"
28765,FL,"Cape Coral-Fort Myers, FL",Credit Counselors,detailed,"33,950"
28766,FL,"Cape Coral-Fort Myers, FL",Loan Officers,detailed,"78,750"
28767,FL,"Cape Coral-Fort Myers, FL","Tax Examiners and Collectors, and Revenue Agents",detailed,"51,910"
28768,FL,"Cape Coral-Fort Myers, FL",Tax Preparers,detailed,"23,240"
28769,FL,"Cape Coral-Fort Myers, FL","Financial Specialists, All Other",detailed,"61,810"
28771,FL,"Cape Coral-Fort Myers, FL",Computer Systems Analysts,detailed,"69,380"
28772,FL,"Cape Coral-Fort Myers, FL",Information Security Analysts,detailed,"78,430"
28773,FL,"Cape Coral-Fort Myers, FL",Computer Programmers,detailed,"71,530"
28774,FL,"Cape Coral-Fort Myers, FL","Software Developers, Applications",detailed,"74,600"
28775,FL,"Cape Coral-Fort Myers, FL","Software Developers, Systems Software",detailed,*
