,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
38408,GA,"Albany, GA",Chief Executives,detailed,"201,430"
38409,GA,"Albany, GA",General and Operations Managers,detailed,"95,330"
38410,GA,"Albany, GA",Legislators,detailed,"18,950"
38411,GA,"Albany, GA",Sales Managers,detailed,"100,470"
38412,GA,"Albany, GA",Administrative Services Managers,detailed,"80,150"
38413,GA,"Albany, GA",Financial Managers,detailed,"93,690"
38414,GA,"Albany, GA",Industrial Production Managers,detailed,"89,210"
38415,GA,"Albany, GA","Transportation, Storage, and Distribution Managers",detailed,"84,740"
38416,GA,"Albany, GA",Construction Managers,detailed,"89,970"
38417,GA,"Albany, GA","Education Administrators, Elementary and Secondary School",detailed,"92,770"
38418,GA,"Albany, GA","Education Administrators, Postsecondary",detailed,"119,680"
38419,GA,"Albany, GA",Food Service Managers,detailed,"46,640"
38420,GA,"Albany, GA",Medical and Health Services Managers,detailed,"93,680"
38421,GA,"Albany, GA","Managers, All Other",detailed,"92,300"
38423,GA,"Albany, GA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"65,190"
38424,GA,"Albany, GA","Claims Adjusters, Examiners, and Investigators",detailed,"64,480"
38425,GA,"Albany, GA",Compliance Officers,detailed,"54,580"
38426,GA,"Albany, GA",Cost Estimators,detailed,"43,720"
38427,GA,"Albany, GA",Human Resources Specialists,detailed,"49,810"
38428,GA,"Albany, GA",Logisticians,detailed,"80,340"
38429,GA,"Albany, GA",Management Analysts,detailed,"66,250"
38430,GA,"Albany, GA",Training and Development Specialists,detailed,"46,800"
38431,GA,"Albany, GA",Market Research Analysts and Marketing Specialists,detailed,"57,790"
38432,GA,"Albany, GA","Business Operations Specialists, All Other",detailed,"70,690"
38433,GA,"Albany, GA",Accountants and Auditors,detailed,"67,310"
38434,GA,"Albany, GA",Personal Financial Advisors,detailed,"138,810"
38435,GA,"Albany, GA",Loan Officers,detailed,"52,370"
38436,GA,"Albany, GA","Financial Specialists, All Other",detailed,"66,730"
38438,GA,"Albany, GA",Computer Systems Analysts,detailed,"68,610"
38439,GA,"Albany, GA","Software Developers, Applications",detailed,"88,700"
38440,GA,"Albany, GA","Software Developers, Systems Software",detailed,"95,900"
38441,GA,"Albany, GA",Network and Computer Systems Administrators,detailed,"58,830"
38442,GA,"Albany, GA",Computer User Support Specialists,detailed,"43,100"
38443,GA,"Albany, GA",Computer Network Support Specialists,detailed,"45,880"
38444,GA,"Albany, GA","Computer Occupations, All Other",detailed,"78,100"
38446,GA,"Albany, GA",Civil Engineers,detailed,"68,270"
38447,GA,"Albany, GA",Electrical Engineers,detailed,"93,370"
38448,GA,"Albany, GA",Industrial Engineers,detailed,"82,290"
38449,GA,"Albany, GA",Civil Engineering Technicians,detailed,"41,350"
38450,GA,"Albany, GA",Electrical and Electronics Engineering Technicians,detailed,"59,350"
38451,GA,"Albany, GA","Engineering Technicians, Except Drafters, All Other",detailed,"68,640"
38453,GA,"Albany, GA","Environmental Scientists and Specialists, Including Health",detailed,"54,620"
38455,GA,"Albany, GA","Educational, Guidance, School, and Vocational Counselors",detailed,"53,020"
38456,GA,"Albany, GA","Child, Family, and School Social Workers",detailed,"35,930"
38457,GA,"Albany, GA",Healthcare Social Workers,detailed,"37,050"
38458,GA,"Albany, GA",Social and Human Service Assistants,detailed,"23,690"
38460,GA,"Albany, GA",Lawyers,detailed,"80,310"
38462,GA,"Albany, GA","Business Teachers, Postsecondary",detailed,*
38463,GA,"Albany, GA","Computer Science Teachers, Postsecondary",detailed,"78,810"
38464,GA,"Albany, GA","Mathematical Science Teachers, Postsecondary",detailed,"53,030"
38465,GA,"Albany, GA","English Language and Literature Teachers, Postsecondary",detailed,"50,470"
38466,GA,"Albany, GA","Vocational Education Teachers, Postsecondary",detailed,"48,210"
38467,GA,"Albany, GA","Preschool Teachers, Except Special Education",detailed,"27,770"
38468,GA,"Albany, GA","Kindergarten Teachers, Except Special Education",detailed,"48,170"
38469,GA,"Albany, GA","Elementary School Teachers, Except Special Education",detailed,"52,610"
38470,GA,"Albany, GA","Middle School Teachers, Except Special and Career/Technical Education",detailed,"53,880"
38471,GA,"Albany, GA","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"53,670"
38472,GA,"Albany, GA","Career/Technical Education Teachers, Secondary School",detailed,"52,680"
38473,GA,"Albany, GA","Special Education Teachers, Kindergarten and Elementary School",detailed,"50,810"
38474,GA,"Albany, GA","Special Education Teachers, Middle School",detailed,"52,400"
38475,GA,"Albany, GA","Special Education Teachers, Secondary School",detailed,"53,440"
38476,GA,"Albany, GA",Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"37,950"
38477,GA,"Albany, GA",Self-Enrichment Education Teachers,detailed,"30,750"
38478,GA,"Albany, GA","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"50,410"
38479,GA,"Albany, GA",Substitute Teachers,detailed,"21,380"
38480,GA,"Albany, GA",Librarians,detailed,"63,720"
38481,GA,"Albany, GA",Instructional Coordinators,detailed,"67,550"
38482,GA,"Albany, GA",Teacher Assistants,detailed,"18,790"
38484,GA,"Albany, GA",Merchandise Displayers and Window Trimmers,detailed,"27,120"
38485,GA,"Albany, GA",Coaches and Scouts,detailed,"51,110"
38486,GA,"Albany, GA",Reporters and Correspondents,detailed,"41,460"
38487,GA,"Albany, GA",Public Relations Specialists,detailed,"53,510"
38489,GA,"Albany, GA","Dentists, General",detailed,"128,930"
38490,GA,"Albany, GA",Dietitians and Nutritionists,detailed,"53,230"
38491,GA,"Albany, GA",Pharmacists,detailed,"125,660"
38492,GA,"Albany, GA",Family and General Practitioners,detailed,*
38493,GA,"Albany, GA","Internists, General",detailed,"258,970"
38494,GA,"Albany, GA","Physicians and Surgeons, All Other",detailed,"250,230"
38495,GA,"Albany, GA",Registered Nurses,detailed,"58,800"
38496,GA,"Albany, GA",Nurse Practitioners,detailed,"108,490"
38497,GA,"Albany, GA",Medical and Clinical Laboratory Technicians,detailed,"29,700"
38498,GA,"Albany, GA",Dental Hygienists,detailed,"50,240"
38499,GA,"Albany, GA",Diagnostic Medical Sonographers,detailed,"52,680"
38500,GA,"Albany, GA",Emergency Medical Technicians and Paramedics,detailed,"30,490"
38501,GA,"Albany, GA",Pharmacy Technicians,detailed,"27,350"
38502,GA,"Albany, GA",Veterinary Technologists and Technicians,detailed,"26,690"
38503,GA,"Albany, GA",Licensed Practical and Licensed Vocational Nurses,detailed,"34,080"
38504,GA,"Albany, GA",Medical Records and Health Information Technicians,detailed,"32,100"
38505,GA,"Albany, GA",Occupational Health and Safety Specialists,detailed,"67,350"
38507,GA,"Albany, GA",Home Health Aides,detailed,"28,900"
38508,GA,"Albany, GA",Nursing Assistants,detailed,"20,480"
38509,GA,"Albany, GA",Dental Assistants,detailed,"30,900"
38510,GA,"Albany, GA",Medical Assistants,detailed,"27,940"
38511,GA,"Albany, GA",Phlebotomists,detailed,"26,530"
38513,GA,"Albany, GA",First-Line Supervisors of Police and Detectives,detailed,"55,080"
38514,GA,"Albany, GA",First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"49,740"
38515,GA,"Albany, GA","First-Line Supervisors of Protective Service Workers, All Other",detailed,"35,670"
38516,GA,"Albany, GA",Firefighters,detailed,"33,730"
38517,GA,"Albany, GA",Correctional Officers and Jailers,detailed,"27,340"
38518,GA,"Albany, GA",Detectives and Criminal Investigators,detailed,"51,540"
38519,GA,"Albany, GA",Police and Sheriff's Patrol Officers,detailed,"34,470"
38520,GA,"Albany, GA",Security Guards,detailed,"21,680"
38522,GA,"Albany, GA",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"25,860"
38523,GA,"Albany, GA","Cooks, Fast Food",detailed,"17,710"
38524,GA,"Albany, GA","Cooks, Institution and Cafeteria",detailed,"19,010"
38525,GA,"Albany, GA","Cooks, Restaurant",detailed,"20,500"
38526,GA,"Albany, GA","Cooks, Short Order",detailed,"17,940"
38527,GA,"Albany, GA",Food Preparation Workers,detailed,"17,440"
