,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
42709,HI,"Kahului-Wailuku-Lahaina, HI",Chief Executives,detailed,"142,240"
42710,HI,"Kahului-Wailuku-Lahaina, HI",General and Operations Managers,detailed,"88,540"
42711,HI,"Kahului-Wailuku-Lahaina, HI",Marketing Managers,detailed,"125,210"
42712,HI,"Kahului-Wailuku-Lahaina, HI",Sales Managers,detailed,"67,930"
42713,HI,"Kahului-Wailuku-Lahaina, HI",Administrative Services Managers,detailed,"55,720"
42714,HI,"Kahului-Wailuku-Lahaina, HI",Financial Managers,detailed,"87,010"
42715,HI,"Kahului-Wailuku-Lahaina, HI","Transportation, Storage, and Distribution Managers",detailed,"74,930"
42716,HI,"Kahului-Wailuku-Lahaina, HI",Human Resources Managers,detailed,"80,760"
42717,HI,"Kahului-Wailuku-Lahaina, HI",Construction Managers,detailed,"91,540"
42718,HI,"Kahului-Wailuku-Lahaina, HI","Education Administrators, Elementary and Secondary School",detailed,"88,510"
42719,HI,"Kahului-Wailuku-Lahaina, HI",Food Service Managers,detailed,"61,210"
42720,HI,"Kahului-Wailuku-Lahaina, HI",Lodging Managers,detailed,"71,800"
42721,HI,"Kahului-Wailuku-Lahaina, HI",Medical and Health Services Managers,detailed,"63,160"
42722,HI,"Kahului-Wailuku-Lahaina, HI","Property, Real Estate, and Community Association Managers",detailed,"64,070"
42723,HI,"Kahului-Wailuku-Lahaina, HI",Social and Community Service Managers,detailed,"70,770"
42724,HI,"Kahului-Wailuku-Lahaina, HI","Managers, All Other",detailed,"83,480"
42726,HI,"Kahului-Wailuku-Lahaina, HI","Wholesale and Retail Buyers, Except Farm Products",detailed,"39,130"
42727,HI,"Kahului-Wailuku-Lahaina, HI","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"53,660"
42728,HI,"Kahului-Wailuku-Lahaina, HI",Compliance Officers,detailed,"57,680"
42729,HI,"Kahului-Wailuku-Lahaina, HI",Cost Estimators,detailed,"62,770"
42730,HI,"Kahului-Wailuku-Lahaina, HI",Human Resources Specialists,detailed,"57,160"
42731,HI,"Kahului-Wailuku-Lahaina, HI",Labor Relations Specialists,detailed,"66,420"
42732,HI,"Kahului-Wailuku-Lahaina, HI",Management Analysts,detailed,"63,300"
42733,HI,"Kahului-Wailuku-Lahaina, HI","Meeting, Convention, and Event Planners",detailed,"55,020"
42734,HI,"Kahului-Wailuku-Lahaina, HI",Training and Development Specialists,detailed,"40,710"
42735,HI,"Kahului-Wailuku-Lahaina, HI",Market Research Analysts and Marketing Specialists,detailed,"50,100"
42736,HI,"Kahului-Wailuku-Lahaina, HI","Business Operations Specialists, All Other",detailed,"63,720"
42737,HI,"Kahului-Wailuku-Lahaina, HI",Accountants and Auditors,detailed,"54,540"
42738,HI,"Kahului-Wailuku-Lahaina, HI",Appraisers and Assessors of Real Estate,detailed,"55,850"
42739,HI,"Kahului-Wailuku-Lahaina, HI",Loan Officers,detailed,"71,870"
42741,HI,"Kahului-Wailuku-Lahaina, HI",Computer Systems Analysts,detailed,"64,480"
42742,HI,"Kahului-Wailuku-Lahaina, HI",Computer Programmers,detailed,"84,230"
42743,HI,"Kahului-Wailuku-Lahaina, HI","Software Developers, Applications",detailed,"118,390"
42744,HI,"Kahului-Wailuku-Lahaina, HI",Network and Computer Systems Administrators,detailed,"67,950"
42745,HI,"Kahului-Wailuku-Lahaina, HI",Computer User Support Specialists,detailed,"49,160"
42747,HI,"Kahului-Wailuku-Lahaina, HI",Civil Engineers,detailed,"77,330"
42748,HI,"Kahului-Wailuku-Lahaina, HI",Electrical Engineers,detailed,"75,270"
42750,HI,"Kahului-Wailuku-Lahaina, HI",Urban and Regional Planners,detailed,*
42751,HI,"Kahului-Wailuku-Lahaina, HI",Biological Technicians,detailed,"30,480"
42753,HI,"Kahului-Wailuku-Lahaina, HI",Substance Abuse and Behavioral Disorder Counselors,detailed,"44,320"
42754,HI,"Kahului-Wailuku-Lahaina, HI","Educational, Guidance, School, and Vocational Counselors",detailed,"53,350"
42755,HI,"Kahului-Wailuku-Lahaina, HI","Child, Family, and School Social Workers",detailed,"58,340"
42756,HI,"Kahului-Wailuku-Lahaina, HI",Health Educators,detailed,"53,690"
42757,HI,"Kahului-Wailuku-Lahaina, HI",Social and Human Service Assistants,detailed,"33,960"
42758,HI,"Kahului-Wailuku-Lahaina, HI",Community Health Workers,detailed,"35,440"
