,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
43522,IA,"Ames, IA",Chief Executives,detailed,"176,630"
43523,IA,"Ames, IA",General and Operations Managers,detailed,"91,280"
43524,IA,"Ames, IA",Marketing Managers,detailed,"104,410"
43525,IA,"Ames, IA",Sales Managers,detailed,"94,930"
43526,IA,"Ames, IA",Administrative Services Managers,detailed,"85,930"
43527,IA,"Ames, IA",Computer and Information Systems Managers,detailed,"109,890"
43528,IA,"Ames, IA",Financial Managers,detailed,"108,360"
43529,IA,"Ames, IA",Industrial Production Managers,detailed,"95,320"
43530,IA,"Ames, IA",Construction Managers,detailed,"54,170"
43531,IA,"Ames, IA","Education Administrators, Elementary and Secondary School",detailed,"87,100"
43532,IA,"Ames, IA",Architectural and Engineering Managers,detailed,"103,310"
43533,IA,"Ames, IA",Food Service Managers,detailed,"55,160"
43534,IA,"Ames, IA",Medical and Health Services Managers,detailed,"93,340"
43535,IA,"Ames, IA",Natural Sciences Managers,detailed,"113,680"
43536,IA,"Ames, IA","Property, Real Estate, and Community Association Managers",detailed,"52,550"
43537,IA,"Ames, IA",Social and Community Service Managers,detailed,"54,850"
43538,IA,"Ames, IA","Managers, All Other",detailed,"83,820"
43540,IA,"Ames, IA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,800"
43541,IA,"Ames, IA",Compliance Officers,detailed,"56,100"
43542,IA,"Ames, IA",Cost Estimators,detailed,"71,610"
43543,IA,"Ames, IA",Human Resources Specialists,detailed,"51,520"
43544,IA,"Ames, IA",Logisticians,detailed,"69,860"
43545,IA,"Ames, IA",Management Analysts,detailed,"73,780"
43546,IA,"Ames, IA",Fundraisers,detailed,"65,210"
43547,IA,"Ames, IA",Training and Development Specialists,detailed,"59,420"
43548,IA,"Ames, IA",Market Research Analysts and Marketing Specialists,detailed,"59,390"
43549,IA,"Ames, IA","Business Operations Specialists, All Other",detailed,"57,430"
43550,IA,"Ames, IA",Accountants and Auditors,detailed,"60,560"
43551,IA,"Ames, IA",Loan Officers,detailed,"65,340"
43553,IA,"Ames, IA",Computer Systems Analysts,detailed,"75,130"
43554,IA,"Ames, IA",Computer Programmers,detailed,"57,830"
43555,IA,"Ames, IA","Software Developers, Applications",detailed,"80,780"
43556,IA,"Ames, IA","Software Developers, Systems Software",detailed,"86,960"
43557,IA,"Ames, IA",Network and Computer Systems Administrators,detailed,"63,140"
43558,IA,"Ames, IA",Computer User Support Specialists,detailed,"45,780"
43559,IA,"Ames, IA",Computer Network Support Specialists,detailed,"54,240"
43560,IA,"Ames, IA","Computer Occupations, All Other",detailed,"80,860"
43562,IA,"Ames, IA","Architects, Except Landscape and Naval",detailed,"68,330"
43563,IA,"Ames, IA",Landscape Architects,detailed,"41,940"
43564,IA,"Ames, IA",Agricultural Engineers,detailed,"87,180"
43565,IA,"Ames, IA",Civil Engineers,detailed,"79,070"
43566,IA,"Ames, IA",Industrial Engineers,detailed,"84,030"
43567,IA,"Ames, IA",Mechanical Engineers,detailed,"81,110"
43568,IA,"Ames, IA","Engineers, All Other",detailed,"78,930"
43569,IA,"Ames, IA",Architectural and Civil Drafters,detailed,"63,140"
43570,IA,"Ames, IA",Mechanical Drafters,detailed,"45,430"
43571,IA,"Ames, IA",Civil Engineering Technicians,detailed,"62,870"
43572,IA,"Ames, IA","Engineering Technicians, Except Drafters, All Other",detailed,"49,490"
43574,IA,"Ames, IA",Animal Scientists,detailed,"64,300"
43575,IA,"Ames, IA",Soil and Plant Scientists,detailed,"65,140"
43576,IA,"Ames, IA",Biochemists and Biophysicists,detailed,"68,350"
43577,IA,"Ames, IA",Microbiologists,detailed,"88,410"
43578,IA,"Ames, IA",Agricultural and Food Science Technicians,detailed,"40,040"
43579,IA,"Ames, IA",Biological Technicians,detailed,"44,450"
43580,IA,"Ames, IA",Chemical Technicians,detailed,"42,620"
43582,IA,"Ames, IA","Educational, Guidance, School, and Vocational Counselors",detailed,"48,030"
43583,IA,"Ames, IA",Mental Health Counselors,detailed,"46,230"
43584,IA,"Ames, IA","Child, Family, and School Social Workers",detailed,"39,770"
43585,IA,"Ames, IA",Social and Human Service Assistants,detailed,"21,600"
43587,IA,"Ames, IA",Lawyers,detailed,"86,640"
43588,IA,"Ames, IA",Paralegals and Legal Assistants,detailed,"46,880"
43590,IA,"Ames, IA","Preschool Teachers, Except Special Education",detailed,"29,950"
43591,IA,"Ames, IA","Elementary School Teachers, Except Special Education",detailed,"50,540"
43592,IA,"Ames, IA","Middle School Teachers, Except Special and Career/Technical Education",detailed,"52,240"
43593,IA,"Ames, IA","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"58,940"
43594,IA,"Ames, IA","Special Education Teachers, Secondary School",detailed,"48,890"
43595,IA,"Ames, IA",Self-Enrichment Education Teachers,detailed,"69,100"
43596,IA,"Ames, IA",Substitute Teachers,detailed,"26,300"
43597,IA,"Ames, IA",Librarians,detailed,"45,220"
43598,IA,"Ames, IA",Library Technicians,detailed,"35,320"
43599,IA,"Ames, IA",Teacher Assistants,detailed,"22,070"
