,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
46361,ID,"Boise City, ID",Chief Executives,detailed,"131,090"
46362,ID,"Boise City, ID",General and Operations Managers,detailed,"80,700"
46363,ID,"Boise City, ID",Legislators,detailed,"21,380"
46364,ID,"Boise City, ID",Advertising and Promotions Managers,detailed,"63,570"
46365,ID,"Boise City, ID",Marketing Managers,detailed,"125,190"
46366,ID,"Boise City, ID",Sales Managers,detailed,"101,450"
46367,ID,"Boise City, ID",Public Relations and Fundraising Managers,detailed,"78,560"
46368,ID,"Boise City, ID",Administrative Services Managers,detailed,"63,520"
46369,ID,"Boise City, ID",Computer and Information Systems Managers,detailed,"110,350"
46370,ID,"Boise City, ID",Financial Managers,detailed,"96,850"
46371,ID,"Boise City, ID",Industrial Production Managers,detailed,"81,790"
46372,ID,"Boise City, ID",Purchasing Managers,detailed,"85,520"
46373,ID,"Boise City, ID","Transportation, Storage, and Distribution Managers",detailed,"65,020"
46374,ID,"Boise City, ID",Compensation and Benefits Managers,detailed,"85,700"
46375,ID,"Boise City, ID",Human Resources Managers,detailed,"92,780"
46376,ID,"Boise City, ID",Training and Development Managers,detailed,"74,680"
46377,ID,"Boise City, ID","Farmers, Ranchers, and Other Agricultural Managers",detailed,"106,600"
46378,ID,"Boise City, ID",Construction Managers,detailed,"89,890"
46379,ID,"Boise City, ID","Education Administrators, Preschool and Childcare Center/Program",detailed,"51,750"
46380,ID,"Boise City, ID","Education Administrators, Elementary and Secondary School",detailed,"81,100"
46381,ID,"Boise City, ID","Education Administrators, Postsecondary",detailed,"81,690"
46382,ID,"Boise City, ID",Architectural and Engineering Managers,detailed,"140,920"
46383,ID,"Boise City, ID",Food Service Managers,detailed,"35,600"
46384,ID,"Boise City, ID",Lodging Managers,detailed,"48,990"
46385,ID,"Boise City, ID",Medical and Health Services Managers,detailed,"85,220"
46386,ID,"Boise City, ID",Natural Sciences Managers,detailed,"97,160"
46387,ID,"Boise City, ID","Property, Real Estate, and Community Association Managers",detailed,"36,600"
46388,ID,"Boise City, ID",Social and Community Service Managers,detailed,"51,050"
46389,ID,"Boise City, ID","Managers, All Other",detailed,"86,920"
46391,ID,"Boise City, ID","Wholesale and Retail Buyers, Except Farm Products",detailed,"49,100"
46392,ID,"Boise City, ID","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"59,510"
46393,ID,"Boise City, ID","Claims Adjusters, Examiners, and Investigators",detailed,"57,250"
46394,ID,"Boise City, ID",Compliance Officers,detailed,"55,670"
46395,ID,"Boise City, ID",Cost Estimators,detailed,"53,950"
46396,ID,"Boise City, ID",Human Resources Specialists,detailed,"62,170"
46397,ID,"Boise City, ID",Labor Relations Specialists,detailed,"58,410"
46398,ID,"Boise City, ID",Logisticians,detailed,"73,750"
46399,ID,"Boise City, ID",Management Analysts,detailed,"81,940"
46400,ID,"Boise City, ID","Meeting, Convention, and Event Planners",detailed,"38,480"
46401,ID,"Boise City, ID",Fundraisers,detailed,"44,820"
46402,ID,"Boise City, ID","Compensation, Benefits, and Job Analysis Specialists",detailed,"59,410"
46403,ID,"Boise City, ID",Training and Development Specialists,detailed,"50,950"
46404,ID,"Boise City, ID",Market Research Analysts and Marketing Specialists,detailed,"59,090"
46405,ID,"Boise City, ID","Business Operations Specialists, All Other",detailed,"64,670"
46406,ID,"Boise City, ID",Accountants and Auditors,detailed,"66,870"
46407,ID,"Boise City, ID",Appraisers and Assessors of Real Estate,detailed,"61,800"
46408,ID,"Boise City, ID",Budget Analysts,detailed,"64,660"
46409,ID,"Boise City, ID",Credit Analysts,detailed,"53,380"
46410,ID,"Boise City, ID",Financial Analysts,detailed,"76,800"
46411,ID,"Boise City, ID",Personal Financial Advisors,detailed,"90,990"
46412,ID,"Boise City, ID",Insurance Underwriters,detailed,"58,910"
46413,ID,"Boise City, ID",Financial Examiners,detailed,"73,470"
46414,ID,"Boise City, ID",Credit Counselors,detailed,"52,390"
46415,ID,"Boise City, ID",Loan Officers,detailed,"65,270"
46416,ID,"Boise City, ID","Tax Examiners and Collectors, and Revenue Agents",detailed,"53,030"
46417,ID,"Boise City, ID",Tax Preparers,detailed,"42,980"
46418,ID,"Boise City, ID","Financial Specialists, All Other",detailed,"69,080"
46420,ID,"Boise City, ID",Computer Systems Analysts,detailed,"80,180"
46421,ID,"Boise City, ID",Information Security Analysts,detailed,"77,640"
46422,ID,"Boise City, ID",Computer Programmers,detailed,"66,650"
46423,ID,"Boise City, ID","Software Developers, Applications",detailed,"77,760"
46424,ID,"Boise City, ID",Web Developers,detailed,"40,530"
46425,ID,"Boise City, ID",Database Administrators,detailed,"60,100"
46426,ID,"Boise City, ID",Network and Computer Systems Administrators,detailed,"65,150"
46427,ID,"Boise City, ID",Computer Network Architects,detailed,"79,390"
46428,ID,"Boise City, ID",Computer User Support Specialists,detailed,"43,260"
46429,ID,"Boise City, ID","Computer Occupations, All Other",detailed,"80,670"
46430,ID,"Boise City, ID",Operations Research Analysts,detailed,"67,600"
46431,ID,"Boise City, ID",Statisticians,detailed,"77,460"
46433,ID,"Boise City, ID","Architects, Except Landscape and Naval",detailed,"60,920"
46434,ID,"Boise City, ID",Cartographers and Photogrammetrists,detailed,"55,940"
46435,ID,"Boise City, ID",Surveyors,detailed,"65,900"
46436,ID,"Boise City, ID",Civil Engineers,detailed,"71,710"
46437,ID,"Boise City, ID",Computer Hardware Engineers,detailed,"99,800"
46438,ID,"Boise City, ID",Electrical Engineers,detailed,"85,680"
46439,ID,"Boise City, ID",Environmental Engineers,detailed,"88,210"
46440,ID,"Boise City, ID",Industrial Engineers,detailed,"92,580"
46441,ID,"Boise City, ID",Mechanical Engineers,detailed,"77,910"
46442,ID,"Boise City, ID","Engineers, All Other",detailed,*
46443,ID,"Boise City, ID",Architectural and Civil Drafters,detailed,"47,570"
46444,ID,"Boise City, ID",Electrical and Electronics Drafters,detailed,"89,930"
46445,ID,"Boise City, ID",Mechanical Drafters,detailed,"47,650"
46446,ID,"Boise City, ID",Civil Engineering Technicians,detailed,"50,900"
46447,ID,"Boise City, ID",Industrial Engineering Technicians,detailed,"42,450"
46448,ID,"Boise City, ID",Mechanical Engineering Technicians,detailed,"50,900"
46449,ID,"Boise City, ID","Engineering Technicians, Except Drafters, All Other",detailed,"53,170"
46450,ID,"Boise City, ID",Surveying and Mapping Technicians,detailed,"45,590"
46452,ID,"Boise City, ID",Food Scientists and Technologists,detailed,"59,240"
