,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
47781,IL,"Bloomington, IL",Chief Executives,detailed,"176,730"
47782,IL,"Bloomington, IL",General and Operations Managers,detailed,"98,700"
47783,IL,"Bloomington, IL",Marketing Managers,detailed,"116,650"
47784,IL,"Bloomington, IL",Sales Managers,detailed,"80,200"
47785,IL,"Bloomington, IL",Public Relations and Fundraising Managers,detailed,"108,490"
47786,IL,"Bloomington, IL",Administrative Services Managers,detailed,"91,290"
47787,IL,"Bloomington, IL",Computer and Information Systems Managers,detailed,"105,100"
47788,IL,"Bloomington, IL",Financial Managers,detailed,"127,820"
47789,IL,"Bloomington, IL",Purchasing Managers,detailed,*
47790,IL,"Bloomington, IL","Transportation, Storage, and Distribution Managers",detailed,"93,830"
47791,IL,"Bloomington, IL",Training and Development Managers,detailed,"110,010"
47792,IL,"Bloomington, IL",Construction Managers,detailed,"83,190"
47793,IL,"Bloomington, IL","Education Administrators, Preschool and Childcare Center/Program",detailed,"47,030"
47794,IL,"Bloomington, IL","Education Administrators, Elementary and Secondary School",detailed,"87,550"
47795,IL,"Bloomington, IL","Education Administrators, Postsecondary",detailed,"115,020"
47796,IL,"Bloomington, IL",Food Service Managers,detailed,"40,180"
47797,IL,"Bloomington, IL",Medical and Health Services Managers,detailed,"102,960"
47798,IL,"Bloomington, IL",Social and Community Service Managers,detailed,"59,860"
47799,IL,"Bloomington, IL","Managers, All Other",detailed,"76,940"
47801,IL,"Bloomington, IL","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"64,100"
47802,IL,"Bloomington, IL","Claims Adjusters, Examiners, and Investigators",detailed,"60,400"
47803,IL,"Bloomington, IL",Compliance Officers,detailed,"74,580"
47804,IL,"Bloomington, IL",Cost Estimators,detailed,"68,000"
47805,IL,"Bloomington, IL",Human Resources Specialists,detailed,"60,270"
47806,IL,"Bloomington, IL",Logisticians,detailed,"70,560"
47807,IL,"Bloomington, IL",Management Analysts,detailed,"80,550"
47808,IL,"Bloomington, IL","Meeting, Convention, and Event Planners",detailed,"38,540"
47809,IL,"Bloomington, IL",Fundraisers,detailed,"64,370"
47810,IL,"Bloomington, IL","Compensation, Benefits, and Job Analysis Specialists",detailed,"72,180"
47811,IL,"Bloomington, IL",Training and Development Specialists,detailed,"72,700"
47812,IL,"Bloomington, IL",Market Research Analysts and Marketing Specialists,detailed,"62,160"
47813,IL,"Bloomington, IL","Business Operations Specialists, All Other",detailed,"59,470"
47814,IL,"Bloomington, IL",Accountants and Auditors,detailed,"68,560"
47815,IL,"Bloomington, IL",Appraisers and Assessors of Real Estate,detailed,*
47816,IL,"Bloomington, IL",Financial Analysts,detailed,"71,330"
47817,IL,"Bloomington, IL",Personal Financial Advisors,detailed,"113,170"
47818,IL,"Bloomington, IL",Insurance Underwriters,detailed,"64,820"
47819,IL,"Bloomington, IL",Loan Officers,detailed,"65,470"
47820,IL,"Bloomington, IL","Financial Specialists, All Other",detailed,"74,570"
47822,IL,"Bloomington, IL",Computer Systems Analysts,detailed,"90,580"
47823,IL,"Bloomington, IL",Information Security Analysts,detailed,"86,700"
47824,IL,"Bloomington, IL",Computer Programmers,detailed,"68,070"
47825,IL,"Bloomington, IL","Software Developers, Applications",detailed,"94,760"
47826,IL,"Bloomington, IL","Software Developers, Systems Software",detailed,"97,610"
47827,IL,"Bloomington, IL",Web Developers,detailed,"62,510"
47828,IL,"Bloomington, IL",Database Administrators,detailed,"81,830"
47829,IL,"Bloomington, IL",Network and Computer Systems Administrators,detailed,"78,550"
47830,IL,"Bloomington, IL",Computer Network Architects,detailed,"109,650"
47831,IL,"Bloomington, IL",Computer User Support Specialists,detailed,"54,990"
47832,IL,"Bloomington, IL",Computer Network Support Specialists,detailed,"76,790"
47833,IL,"Bloomington, IL","Computer Occupations, All Other",detailed,"80,110"
47834,IL,"Bloomington, IL",Actuaries,detailed,"96,600"
47835,IL,"Bloomington, IL",Operations Research Analysts,detailed,"89,600"
47837,IL,"Bloomington, IL",Civil Engineers,detailed,"94,890"
47838,IL,"Bloomington, IL",Industrial Engineers,detailed,"65,340"
47839,IL,"Bloomington, IL",Mechanical Engineers,detailed,"83,090"
47840,IL,"Bloomington, IL","Engineers, All Other",detailed,"82,270"
