,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
52051,IN,"Bloomington, IN",Chief Executives,detailed,"148,690"
52052,IN,"Bloomington, IN",General and Operations Managers,detailed,"92,770"
52053,IN,"Bloomington, IN",Marketing Managers,detailed,"112,250"
52054,IN,"Bloomington, IN",Sales Managers,detailed,"81,660"
52055,IN,"Bloomington, IN",Public Relations and Fundraising Managers,detailed,"115,640"
52056,IN,"Bloomington, IN",Administrative Services Managers,detailed,"70,130"
52057,IN,"Bloomington, IN",Computer and Information Systems Managers,detailed,"115,940"
52058,IN,"Bloomington, IN",Financial Managers,detailed,"100,450"
52059,IN,"Bloomington, IN",Industrial Production Managers,detailed,"120,410"
52060,IN,"Bloomington, IN",Human Resources Managers,detailed,"105,830"
52061,IN,"Bloomington, IN",Construction Managers,detailed,"88,930"
52062,IN,"Bloomington, IN","Education Administrators, Preschool and Childcare Center/Program",detailed,"35,610"
52063,IN,"Bloomington, IN","Education Administrators, Elementary and Secondary School",detailed,"74,020"
52064,IN,"Bloomington, IN",Architectural and Engineering Managers,detailed,"112,550"
52065,IN,"Bloomington, IN",Food Service Managers,detailed,"52,270"
52066,IN,"Bloomington, IN",Medical and Health Services Managers,detailed,"86,910"
52067,IN,"Bloomington, IN","Property, Real Estate, and Community Association Managers",detailed,"61,880"
52068,IN,"Bloomington, IN",Social and Community Service Managers,detailed,"53,590"
52069,IN,"Bloomington, IN","Managers, All Other",detailed,"70,360"
52071,IN,"Bloomington, IN","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,250"
52072,IN,"Bloomington, IN",Compliance Officers,detailed,"51,360"
52073,IN,"Bloomington, IN",Cost Estimators,detailed,"48,870"
52074,IN,"Bloomington, IN",Human Resources Specialists,detailed,"52,120"
52075,IN,"Bloomington, IN",Management Analysts,detailed,"67,940"
52076,IN,"Bloomington, IN","Meeting, Convention, and Event Planners",detailed,"33,160"
52077,IN,"Bloomington, IN",Training and Development Specialists,detailed,"55,570"
52078,IN,"Bloomington, IN",Market Research Analysts and Marketing Specialists,detailed,"38,480"
52079,IN,"Bloomington, IN","Business Operations Specialists, All Other",detailed,"56,150"
52080,IN,"Bloomington, IN",Accountants and Auditors,detailed,"67,270"
52081,IN,"Bloomington, IN",Appraisers and Assessors of Real Estate,detailed,"56,550"
52082,IN,"Bloomington, IN",Personal Financial Advisors,detailed,"109,770"
52083,IN,"Bloomington, IN",Loan Officers,detailed,"53,720"
52084,IN,"Bloomington, IN","Financial Specialists, All Other",detailed,"64,330"
52086,IN,"Bloomington, IN",Computer Systems Analysts,detailed,"63,400"
52087,IN,"Bloomington, IN",Computer Programmers,detailed,"69,310"
52088,IN,"Bloomington, IN","Software Developers, Applications",detailed,"73,970"
52089,IN,"Bloomington, IN",Database Administrators,detailed,"75,660"
52090,IN,"Bloomington, IN",Network and Computer Systems Administrators,detailed,"71,270"
