,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
56520,KS,"Lawrence, KS",Chief Executives,detailed,"156,960"
56521,KS,"Lawrence, KS",General and Operations Managers,detailed,"100,490"
56522,KS,"Lawrence, KS",Sales Managers,detailed,"89,010"
56523,KS,"Lawrence, KS",Administrative Services Managers,detailed,"88,600"
56524,KS,"Lawrence, KS",Computer and Information Systems Managers,detailed,*
56525,KS,"Lawrence, KS",Financial Managers,detailed,"100,390"
56526,KS,"Lawrence, KS",Industrial Production Managers,detailed,"83,570"
56527,KS,"Lawrence, KS",Construction Managers,detailed,"50,210"
56528,KS,"Lawrence, KS","Education Administrators, Elementary and Secondary School",detailed,"79,660"
56529,KS,"Lawrence, KS",Architectural and Engineering Managers,detailed,*
56530,KS,"Lawrence, KS",Food Service Managers,detailed,"49,940"
56531,KS,"Lawrence, KS",Medical and Health Services Managers,detailed,"84,110"
56532,KS,"Lawrence, KS","Property, Real Estate, and Community Association Managers",detailed,"52,370"
56533,KS,"Lawrence, KS",Social and Community Service Managers,detailed,"55,330"
56534,KS,"Lawrence, KS","Managers, All Other",detailed,"78,670"
56536,KS,"Lawrence, KS","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"59,500"
56537,KS,"Lawrence, KS",Compliance Officers,detailed,"57,790"
56538,KS,"Lawrence, KS",Cost Estimators,detailed,"59,930"
56539,KS,"Lawrence, KS",Human Resources Specialists,detailed,"54,770"
56540,KS,"Lawrence, KS",Management Analysts,detailed,"113,740"
56541,KS,"Lawrence, KS","Meeting, Convention, and Event Planners",detailed,"42,040"
56542,KS,"Lawrence, KS",Training and Development Specialists,detailed,"54,820"
56543,KS,"Lawrence, KS",Market Research Analysts and Marketing Specialists,detailed,"47,230"
56544,KS,"Lawrence, KS","Business Operations Specialists, All Other",detailed,"60,270"
56545,KS,"Lawrence, KS",Accountants and Auditors,detailed,"61,370"
56546,KS,"Lawrence, KS",Appraisers and Assessors of Real Estate,detailed,"58,780"
56547,KS,"Lawrence, KS",Personal Financial Advisors,detailed,"114,390"
56548,KS,"Lawrence, KS",Loan Officers,detailed,"57,000"
56550,KS,"Lawrence, KS",Computer Systems Analysts,detailed,"82,650"
56551,KS,"Lawrence, KS",Information Security Analysts,detailed,"68,170"
56552,KS,"Lawrence, KS",Computer Programmers,detailed,"58,700"
56553,KS,"Lawrence, KS","Software Developers, Systems Software",detailed,"95,890"
56554,KS,"Lawrence, KS",Web Developers,detailed,"40,470"
56555,KS,"Lawrence, KS",Database Administrators,detailed,"81,570"
56556,KS,"Lawrence, KS",Network and Computer Systems Administrators,detailed,"68,160"
56557,KS,"Lawrence, KS",Computer User Support Specialists,detailed,"35,100"
56558,KS,"Lawrence, KS","Computer Occupations, All Other",detailed,"77,010"
56560,KS,"Lawrence, KS","Architects, Except Landscape and Naval",detailed,"71,290"
56561,KS,"Lawrence, KS",Electrical Engineers,detailed,"84,390"
56562,KS,"Lawrence, KS",Industrial Engineers,detailed,"74,630"
56563,KS,"Lawrence, KS",Mechanical Engineers,detailed,"58,030"
56564,KS,"Lawrence, KS",Civil Engineering Technicians,detailed,"44,440"
56565,KS,"Lawrence, KS",Electrical and Electronics Engineering Technicians,detailed,"53,760"
56567,KS,"Lawrence, KS","Environmental Scientists and Specialists, Including Health",detailed,"56,180"
56568,KS,"Lawrence, KS","Clinical, Counseling, and School Psychologists",detailed,"70,660"
56569,KS,"Lawrence, KS","Life, Physical, and Social Science Technicians, All Other",detailed,"50,970"
56571,KS,"Lawrence, KS","Educational, Guidance, School, and Vocational Counselors",detailed,"44,160"
56572,KS,"Lawrence, KS","Child, Family, and School Social Workers",detailed,"47,190"
56573,KS,"Lawrence, KS",Healthcare Social Workers,detailed,"51,970"
56574,KS,"Lawrence, KS",Social and Human Service Assistants,detailed,"32,790"
56575,KS,"Lawrence, KS","Community and Social Service Specialists, All Other",detailed,"34,720"
56577,KS,"Lawrence, KS",Lawyers,detailed,*
56578,KS,"Lawrence, KS",Paralegals and Legal Assistants,detailed,"36,800"
56580,KS,"Lawrence, KS","Preschool Teachers, Except Special Education",detailed,"34,200"
56581,KS,"Lawrence, KS","Kindergarten Teachers, Except Special Education",detailed,"44,400"
56582,KS,"Lawrence, KS","Elementary School Teachers, Except Special Education",detailed,"43,840"
56583,KS,"Lawrence, KS","Middle School Teachers, Except Special and Career/Technical Education",detailed,"48,140"
56584,KS,"Lawrence, KS","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"45,870"
56585,KS,"Lawrence, KS","Career/Technical Education Teachers, Secondary School",detailed,"49,480"
56586,KS,"Lawrence, KS","Special Education Teachers, Kindergarten and Elementary School",detailed,"48,810"
56587,KS,"Lawrence, KS","Special Education Teachers, Middle School",detailed,"49,940"
56588,KS,"Lawrence, KS","Special Education Teachers, Secondary School",detailed,"48,890"
56589,KS,"Lawrence, KS",Self-Enrichment Education Teachers,detailed,"39,280"
56590,KS,"Lawrence, KS","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"48,630"
56591,KS,"Lawrence, KS",Substitute Teachers,detailed,"27,000"
56592,KS,"Lawrence, KS",Librarians,detailed,"53,160"
56593,KS,"Lawrence, KS",Library Technicians,detailed,"25,120"
56594,KS,"Lawrence, KS",Instructional Coordinators,detailed,"54,240"
56595,KS,"Lawrence, KS",Teacher Assistants,detailed,"22,910"
56597,KS,"Lawrence, KS",Floral Designers,detailed,"22,820"
56598,KS,"Lawrence, KS",Graphic Designers,detailed,"40,350"
56599,KS,"Lawrence, KS",Coaches and Scouts,detailed,"22,060"
56600,KS,"Lawrence, KS",Reporters and Correspondents,detailed,"31,290"
56601,KS,"Lawrence, KS",Public Relations Specialists,detailed,"49,200"
56602,KS,"Lawrence, KS",Editors,detailed,"45,890"
56604,KS,"Lawrence, KS",Chiropractors,detailed,"95,100"
56605,KS,"Lawrence, KS",Pharmacists,detailed,"109,970"
56606,KS,"Lawrence, KS",Family and General Practitioners,detailed,"211,100"
56607,KS,"Lawrence, KS","Physicians and Surgeons, All Other",detailed,"160,460"
56608,KS,"Lawrence, KS",Occupational Therapists,detailed,"67,970"
56609,KS,"Lawrence, KS",Physical Therapists,detailed,"69,370"
56610,KS,"Lawrence, KS",Speech-Language Pathologists,detailed,"58,560"
56611,KS,"Lawrence, KS",Veterinarians,detailed,"67,920"
56612,KS,"Lawrence, KS",Registered Nurses,detailed,"60,670"
56613,KS,"Lawrence, KS",Dental Hygienists,detailed,"76,830"
56614,KS,"Lawrence, KS",Radiologic Technologists,detailed,"50,600"
56615,KS,"Lawrence, KS",Emergency Medical Technicians and Paramedics,detailed,"45,600"
56616,KS,"Lawrence, KS",Pharmacy Technicians,detailed,"29,570"
56617,KS,"Lawrence, KS",Licensed Practical and Licensed Vocational Nurses,detailed,"38,400"
56618,KS,"Lawrence, KS",Medical Records and Health Information Technicians,detailed,"34,090"
56620,KS,"Lawrence, KS",Home Health Aides,detailed,"22,590"
56621,KS,"Lawrence, KS",Nursing Assistants,detailed,"24,550"
56622,KS,"Lawrence, KS",Dental Assistants,detailed,"32,990"
56623,KS,"Lawrence, KS",Medical Assistants,detailed,"29,820"
56624,KS,"Lawrence, KS",Pharmacy Aides,detailed,"23,220"
56625,KS,"Lawrence, KS",Veterinary Assistants and Laboratory Animal Caretakers,detailed,"26,130"
56627,KS,"Lawrence, KS",First-Line Supervisors of Police and Detectives,detailed,"77,200"
56628,KS,"Lawrence, KS",Firefighters,detailed,"40,200"
56629,KS,"Lawrence, KS",Police and Sheriff's Patrol Officers,detailed,"53,910"
56630,KS,"Lawrence, KS",Security Guards,detailed,"23,000"
56631,KS,"Lawrence, KS","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"17,310"
56632,KS,"Lawrence, KS","Protective Service Workers, All Other",detailed,"26,220"
56634,KS,"Lawrence, KS",Chefs and Head Cooks,detailed,"39,530"
56635,KS,"Lawrence, KS",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"26,590"
56636,KS,"Lawrence, KS","Cooks, Fast Food",detailed,"17,800"
56637,KS,"Lawrence, KS","Cooks, Institution and Cafeteria",detailed,"24,780"
56638,KS,"Lawrence, KS","Cooks, Restaurant",detailed,"20,580"
56639,KS,"Lawrence, KS","Cooks, Short Order",detailed,"20,290"
56640,KS,"Lawrence, KS",Food Preparation Workers,detailed,"19,720"
56641,KS,"Lawrence, KS",Bartenders,detailed,"18,660"
56642,KS,"Lawrence, KS","Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"18,710"
56643,KS,"Lawrence, KS","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"18,790"
56644,KS,"Lawrence, KS",Waiters and Waitresses,detailed,"19,890"
56645,KS,"Lawrence, KS","Food Servers, Nonrestaurant",detailed,"20,940"
56646,KS,"Lawrence, KS",Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"17,250"
56647,KS,"Lawrence, KS",Dishwashers,detailed,"17,690"
56648,KS,"Lawrence, KS","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"18,010"
56650,KS,"Lawrence, KS",First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"37,540"
56651,KS,"Lawrence, KS","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"42,670"
56652,KS,"Lawrence, KS","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"27,070"
56653,KS,"Lawrence, KS",Maids and Housekeeping Cleaners,detailed,"19,310"
56654,KS,"Lawrence, KS",Pest Control Workers,detailed,"29,930"
56655,KS,"Lawrence, KS",Landscaping and Groundskeeping Workers,detailed,"27,440"
56657,KS,"Lawrence, KS",First-Line Supervisors of Personal Service Workers,detailed,"33,060"
56658,KS,"Lawrence, KS",Nonfarm Animal Caretakers,detailed,"18,590"
