,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
57834,KY,"Bowling Green, KY",Chief Executives,detailed,"176,720"
57835,KY,"Bowling Green, KY",General and Operations Managers,detailed,"83,020"
57836,KY,"Bowling Green, KY",Marketing Managers,detailed,"93,420"
57837,KY,"Bowling Green, KY",Sales Managers,detailed,"99,950"
57838,KY,"Bowling Green, KY",Administrative Services Managers,detailed,"76,530"
57839,KY,"Bowling Green, KY",Computer and Information Systems Managers,detailed,"100,300"
57840,KY,"Bowling Green, KY",Financial Managers,detailed,"96,120"
57841,KY,"Bowling Green, KY",Industrial Production Managers,detailed,"88,430"
57842,KY,"Bowling Green, KY",Purchasing Managers,detailed,"91,330"
57843,KY,"Bowling Green, KY","Transportation, Storage, and Distribution Managers",detailed,"82,550"
57844,KY,"Bowling Green, KY",Human Resources Managers,detailed,"70,990"
57845,KY,"Bowling Green, KY",Construction Managers,detailed,"79,830"
57846,KY,"Bowling Green, KY","Education Administrators, Elementary and Secondary School",detailed,"75,620"
57847,KY,"Bowling Green, KY","Education Administrators, Postsecondary",detailed,"96,870"
57848,KY,"Bowling Green, KY",Architectural and Engineering Managers,detailed,"111,490"
57849,KY,"Bowling Green, KY",Food Service Managers,detailed,"42,180"
57850,KY,"Bowling Green, KY",Medical and Health Services Managers,detailed,"75,250"
57851,KY,"Bowling Green, KY","Property, Real Estate, and Community Association Managers",detailed,"42,940"
57852,KY,"Bowling Green, KY",Social and Community Service Managers,detailed,"59,760"
57853,KY,"Bowling Green, KY","Managers, All Other",detailed,"90,050"
57855,KY,"Bowling Green, KY","Wholesale and Retail Buyers, Except Farm Products",detailed,"57,560"
57856,KY,"Bowling Green, KY","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"51,680"
57857,KY,"Bowling Green, KY","Claims Adjusters, Examiners, and Investigators",detailed,"55,310"
57858,KY,"Bowling Green, KY",Compliance Officers,detailed,"47,760"
57859,KY,"Bowling Green, KY",Cost Estimators,detailed,"43,020"
57860,KY,"Bowling Green, KY",Human Resources Specialists,detailed,"45,880"
57861,KY,"Bowling Green, KY",Logisticians,detailed,"65,220"
57862,KY,"Bowling Green, KY",Management Analysts,detailed,"71,310"
57863,KY,"Bowling Green, KY","Meeting, Convention, and Event Planners",detailed,"33,680"
57864,KY,"Bowling Green, KY",Training and Development Specialists,detailed,"57,190"
57865,KY,"Bowling Green, KY",Market Research Analysts and Marketing Specialists,detailed,"52,280"
57866,KY,"Bowling Green, KY","Business Operations Specialists, All Other",detailed,"61,560"
57867,KY,"Bowling Green, KY",Accountants and Auditors,detailed,"57,920"
