,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
59725,LA,"Alexandria, LA",General and Operations Managers,detailed,"98,960"
59726,LA,"Alexandria, LA",Legislators,detailed,"19,270"
59727,LA,"Alexandria, LA",Marketing Managers,detailed,"108,460"
59728,LA,"Alexandria, LA",Sales Managers,detailed,"92,720"
59729,LA,"Alexandria, LA",Administrative Services Managers,detailed,"66,530"
59730,LA,"Alexandria, LA",Financial Managers,detailed,"93,510"
59731,LA,"Alexandria, LA",Industrial Production Managers,detailed,"90,880"
59732,LA,"Alexandria, LA",Human Resources Managers,detailed,"70,460"
59733,LA,"Alexandria, LA",Construction Managers,detailed,"76,200"
59734,LA,"Alexandria, LA","Education Administrators, Elementary and Secondary School",detailed,"66,980"
59735,LA,"Alexandria, LA","Education Administrators, Postsecondary",detailed,"81,910"
59736,LA,"Alexandria, LA",Food Service Managers,detailed,"56,970"
59737,LA,"Alexandria, LA",Medical and Health Services Managers,detailed,"85,380"
59738,LA,"Alexandria, LA","Property, Real Estate, and Community Association Managers",detailed,"42,280"
59739,LA,"Alexandria, LA",Social and Community Service Managers,detailed,"66,790"
59740,LA,"Alexandria, LA","Managers, All Other",detailed,"73,880"
59742,LA,"Alexandria, LA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,150"
59743,LA,"Alexandria, LA","Claims Adjusters, Examiners, and Investigators",detailed,"46,770"
59744,LA,"Alexandria, LA",Compliance Officers,detailed,"65,530"
59745,LA,"Alexandria, LA",Cost Estimators,detailed,"52,290"
59746,LA,"Alexandria, LA",Human Resources Specialists,detailed,"51,480"
59747,LA,"Alexandria, LA",Logisticians,detailed,"68,320"
59748,LA,"Alexandria, LA",Management Analysts,detailed,"76,160"
59749,LA,"Alexandria, LA","Compensation, Benefits, and Job Analysis Specialists",detailed,"48,760"
59750,LA,"Alexandria, LA",Training and Development Specialists,detailed,"41,460"
59751,LA,"Alexandria, LA",Market Research Analysts and Marketing Specialists,detailed,"44,600"
59752,LA,"Alexandria, LA","Business Operations Specialists, All Other",detailed,"52,590"
59753,LA,"Alexandria, LA",Accountants and Auditors,detailed,"59,650"
59754,LA,"Alexandria, LA",Appraisers and Assessors of Real Estate,detailed,"43,740"
59755,LA,"Alexandria, LA",Personal Financial Advisors,detailed,"79,740"
59756,LA,"Alexandria, LA",Loan Officers,detailed,"43,320"
59757,LA,"Alexandria, LA","Financial Specialists, All Other",detailed,"52,320"
59759,LA,"Alexandria, LA",Network and Computer Systems Administrators,detailed,"55,190"
59760,LA,"Alexandria, LA",Computer User Support Specialists,detailed,"49,500"
59761,LA,"Alexandria, LA",Computer Network Support Specialists,detailed,"51,580"
