,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
63059,MA,"Barnstable Town, MA",Chief Executives,detailed,"168,220"
63060,MA,"Barnstable Town, MA",General and Operations Managers,detailed,"89,140"
63061,MA,"Barnstable Town, MA",Legislators,detailed,*
63062,MA,"Barnstable Town, MA",Marketing Managers,detailed,"92,320"
63063,MA,"Barnstable Town, MA",Sales Managers,detailed,"109,200"
63064,MA,"Barnstable Town, MA",Public Relations and Fundraising Managers,detailed,"118,660"
63065,MA,"Barnstable Town, MA",Administrative Services Managers,detailed,"89,970"
63066,MA,"Barnstable Town, MA",Computer and Information Systems Managers,detailed,"112,610"
63067,MA,"Barnstable Town, MA",Financial Managers,detailed,"94,580"
63068,MA,"Barnstable Town, MA",Industrial Production Managers,detailed,"90,920"
63069,MA,"Barnstable Town, MA",Purchasing Managers,detailed,"94,160"
63070,MA,"Barnstable Town, MA","Transportation, Storage, and Distribution Managers",detailed,"88,980"
63071,MA,"Barnstable Town, MA",Human Resources Managers,detailed,"77,460"
63072,MA,"Barnstable Town, MA",Construction Managers,detailed,"85,520"
63073,MA,"Barnstable Town, MA","Education Administrators, Preschool and Childcare Center/Program",detailed,"66,670"
63074,MA,"Barnstable Town, MA","Education Administrators, Elementary and Secondary School",detailed,"98,840"
63075,MA,"Barnstable Town, MA",Architectural and Engineering Managers,detailed,"125,830"
63076,MA,"Barnstable Town, MA",Food Service Managers,detailed,"56,370"
63077,MA,"Barnstable Town, MA",Lodging Managers,detailed,"67,330"
63078,MA,"Barnstable Town, MA",Medical and Health Services Managers,detailed,"108,890"
63079,MA,"Barnstable Town, MA",Postmasters and Mail Superintendents,detailed,"73,200"
63080,MA,"Barnstable Town, MA","Property, Real Estate, and Community Association Managers",detailed,"64,190"
63081,MA,"Barnstable Town, MA",Social and Community Service Managers,detailed,"67,430"
63082,MA,"Barnstable Town, MA","Managers, All Other",detailed,"121,080"
63084,MA,"Barnstable Town, MA","Wholesale and Retail Buyers, Except Farm Products",detailed,"52,490"
63085,MA,"Barnstable Town, MA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"62,540"
63086,MA,"Barnstable Town, MA","Claims Adjusters, Examiners, and Investigators",detailed,"71,170"
63087,MA,"Barnstable Town, MA",Compliance Officers,detailed,"64,310"
63088,MA,"Barnstable Town, MA",Cost Estimators,detailed,"67,280"
63089,MA,"Barnstable Town, MA",Human Resources Specialists,detailed,"62,870"
63090,MA,"Barnstable Town, MA",Labor Relations Specialists,detailed,*
63091,MA,"Barnstable Town, MA",Management Analysts,detailed,"107,580"
63092,MA,"Barnstable Town, MA","Meeting, Convention, and Event Planners",detailed,"61,310"
63093,MA,"Barnstable Town, MA",Fundraisers,detailed,"69,070"
63094,MA,"Barnstable Town, MA",Training and Development Specialists,detailed,"53,750"
63095,MA,"Barnstable Town, MA",Market Research Analysts and Marketing Specialists,detailed,"65,870"
63096,MA,"Barnstable Town, MA","Business Operations Specialists, All Other",detailed,"73,210"
63097,MA,"Barnstable Town, MA",Accountants and Auditors,detailed,"75,530"
63098,MA,"Barnstable Town, MA",Appraisers and Assessors of Real Estate,detailed,*
63099,MA,"Barnstable Town, MA",Financial Analysts,detailed,"81,050"
63100,MA,"Barnstable Town, MA",Personal Financial Advisors,detailed,"134,530"
63101,MA,"Barnstable Town, MA",Loan Officers,detailed,"75,800"
63102,MA,"Barnstable Town, MA","Tax Examiners and Collectors, and Revenue Agents",detailed,"70,070"
63103,MA,"Barnstable Town, MA",Tax Preparers,detailed,"68,870"
63104,MA,"Barnstable Town, MA","Financial Specialists, All Other",detailed,"65,120"
63106,MA,"Barnstable Town, MA",Computer Systems Analysts,detailed,"84,170"
63107,MA,"Barnstable Town, MA",Computer Programmers,detailed,"93,040"
63108,MA,"Barnstable Town, MA","Software Developers, Applications",detailed,"99,180"
63109,MA,"Barnstable Town, MA","Software Developers, Systems Software",detailed,"93,680"
63110,MA,"Barnstable Town, MA",Web Developers,detailed,"67,890"
63111,MA,"Barnstable Town, MA",Network and Computer Systems Administrators,detailed,"83,960"
63112,MA,"Barnstable Town, MA",Computer Network Architects,detailed,"82,770"
