,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
68371,MD,"Baltimore-Columbia-Towson, MD",Chief Executives,detailed,"182,020"
68372,MD,"Baltimore-Columbia-Towson, MD",General and Operations Managers,detailed,"132,280"
68373,MD,"Baltimore-Columbia-Towson, MD",Legislators,detailed,"42,820"
68374,MD,"Baltimore-Columbia-Towson, MD",Advertising and Promotions Managers,detailed,"113,110"
68375,MD,"Baltimore-Columbia-Towson, MD",Marketing Managers,detailed,"136,160"
68376,MD,"Baltimore-Columbia-Towson, MD",Sales Managers,detailed,"141,920"
68377,MD,"Baltimore-Columbia-Towson, MD",Public Relations and Fundraising Managers,detailed,"112,670"
68378,MD,"Baltimore-Columbia-Towson, MD",Administrative Services Managers,detailed,"104,010"
68379,MD,"Baltimore-Columbia-Towson, MD",Computer and Information Systems Managers,detailed,"141,840"
68380,MD,"Baltimore-Columbia-Towson, MD",Financial Managers,detailed,"133,560"
68381,MD,"Baltimore-Columbia-Towson, MD",Industrial Production Managers,detailed,"120,040"
68382,MD,"Baltimore-Columbia-Towson, MD",Purchasing Managers,detailed,"126,730"
68383,MD,"Baltimore-Columbia-Towson, MD","Transportation, Storage, and Distribution Managers",detailed,"97,730"
68384,MD,"Baltimore-Columbia-Towson, MD",Compensation and Benefits Managers,detailed,"125,430"
68385,MD,"Baltimore-Columbia-Towson, MD",Human Resources Managers,detailed,"125,540"
68386,MD,"Baltimore-Columbia-Towson, MD",Training and Development Managers,detailed,"118,970"
68387,MD,"Baltimore-Columbia-Towson, MD",Construction Managers,detailed,"100,200"
68388,MD,"Baltimore-Columbia-Towson, MD","Education Administrators, Preschool and Childcare Center/Program",detailed,"59,910"
68389,MD,"Baltimore-Columbia-Towson, MD","Education Administrators, Elementary and Secondary School",detailed,"97,390"
68390,MD,"Baltimore-Columbia-Towson, MD","Education Administrators, Postsecondary",detailed,"132,530"
68391,MD,"Baltimore-Columbia-Towson, MD","Education Administrators, All Other",detailed,"94,180"
68392,MD,"Baltimore-Columbia-Towson, MD",Architectural and Engineering Managers,detailed,"140,760"
68393,MD,"Baltimore-Columbia-Towson, MD",Food Service Managers,detailed,"60,460"
68394,MD,"Baltimore-Columbia-Towson, MD",Funeral Service Managers,detailed,"120,120"
68395,MD,"Baltimore-Columbia-Towson, MD",Lodging Managers,detailed,"71,000"
68396,MD,"Baltimore-Columbia-Towson, MD",Medical and Health Services Managers,detailed,"110,170"
68397,MD,"Baltimore-Columbia-Towson, MD",Natural Sciences Managers,detailed,"128,960"
68398,MD,"Baltimore-Columbia-Towson, MD",Postmasters and Mail Superintendents,detailed,"72,690"
68399,MD,"Baltimore-Columbia-Towson, MD","Property, Real Estate, and Community Association Managers",detailed,"101,380"
68400,MD,"Baltimore-Columbia-Towson, MD",Social and Community Service Managers,detailed,"75,170"
68401,MD,"Baltimore-Columbia-Towson, MD",Emergency Management Directors,detailed,"92,340"
68402,MD,"Baltimore-Columbia-Towson, MD","Managers, All Other",detailed,"112,640"
68404,MD,"Baltimore-Columbia-Towson, MD","Agents and Business Managers of Artists, Performers, and Athletes",detailed,*
68405,MD,"Baltimore-Columbia-Towson, MD","Buyers and Purchasing Agents, Farm Products",detailed,"44,490"
68406,MD,"Baltimore-Columbia-Towson, MD","Wholesale and Retail Buyers, Except Farm Products",detailed,"53,200"
68407,MD,"Baltimore-Columbia-Towson, MD","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"72,770"
68408,MD,"Baltimore-Columbia-Towson, MD","Claims Adjusters, Examiners, and Investigators",detailed,"69,810"
68409,MD,"Baltimore-Columbia-Towson, MD","Insurance Appraisers, Auto Damage",detailed,"64,030"
68410,MD,"Baltimore-Columbia-Towson, MD",Compliance Officers,detailed,"69,830"
68411,MD,"Baltimore-Columbia-Towson, MD",Cost Estimators,detailed,"71,480"
68412,MD,"Baltimore-Columbia-Towson, MD",Human Resources Specialists,detailed,"68,630"
68413,MD,"Baltimore-Columbia-Towson, MD",Labor Relations Specialists,detailed,"48,820"
68414,MD,"Baltimore-Columbia-Towson, MD",Logisticians,detailed,"85,920"
68415,MD,"Baltimore-Columbia-Towson, MD",Management Analysts,detailed,"97,880"
68416,MD,"Baltimore-Columbia-Towson, MD","Meeting, Convention, and Event Planners",detailed,"54,490"
68417,MD,"Baltimore-Columbia-Towson, MD",Fundraisers,detailed,"54,110"
68418,MD,"Baltimore-Columbia-Towson, MD","Compensation, Benefits, and Job Analysis Specialists",detailed,"62,310"
68419,MD,"Baltimore-Columbia-Towson, MD",Training and Development Specialists,detailed,"62,880"
68420,MD,"Baltimore-Columbia-Towson, MD",Market Research Analysts and Marketing Specialists,detailed,"63,330"
68421,MD,"Baltimore-Columbia-Towson, MD","Business Operations Specialists, All Other",detailed,"82,300"
68422,MD,"Baltimore-Columbia-Towson, MD",Accountants and Auditors,detailed,"75,840"
68423,MD,"Baltimore-Columbia-Towson, MD",Appraisers and Assessors of Real Estate,detailed,"54,560"
68424,MD,"Baltimore-Columbia-Towson, MD",Budget Analysts,detailed,"78,080"
68425,MD,"Baltimore-Columbia-Towson, MD",Credit Analysts,detailed,"64,550"
68426,MD,"Baltimore-Columbia-Towson, MD",Financial Analysts,detailed,"97,160"
68427,MD,"Baltimore-Columbia-Towson, MD",Personal Financial Advisors,detailed,"97,910"
68428,MD,"Baltimore-Columbia-Towson, MD",Insurance Underwriters,detailed,"80,060"
68429,MD,"Baltimore-Columbia-Towson, MD",Financial Examiners,detailed,"77,430"
68430,MD,"Baltimore-Columbia-Towson, MD",Credit Counselors,detailed,"42,150"
68431,MD,"Baltimore-Columbia-Towson, MD",Loan Officers,detailed,"76,050"
68432,MD,"Baltimore-Columbia-Towson, MD","Tax Examiners and Collectors, and Revenue Agents",detailed,"58,880"
68433,MD,"Baltimore-Columbia-Towson, MD",Tax Preparers,detailed,"51,380"
68434,MD,"Baltimore-Columbia-Towson, MD","Financial Specialists, All Other",detailed,"66,200"
68436,MD,"Baltimore-Columbia-Towson, MD",Computer and Information Research Scientists,detailed,"114,950"
68437,MD,"Baltimore-Columbia-Towson, MD",Computer Systems Analysts,detailed,"92,920"
68438,MD,"Baltimore-Columbia-Towson, MD",Information Security Analysts,detailed,"106,110"
68439,MD,"Baltimore-Columbia-Towson, MD",Computer Programmers,detailed,"88,720"
68440,MD,"Baltimore-Columbia-Towson, MD","Software Developers, Applications",detailed,"108,270"
68441,MD,"Baltimore-Columbia-Towson, MD","Software Developers, Systems Software",detailed,"123,960"
68442,MD,"Baltimore-Columbia-Towson, MD",Web Developers,detailed,"74,380"
68443,MD,"Baltimore-Columbia-Towson, MD",Database Administrators,detailed,"93,110"
68444,MD,"Baltimore-Columbia-Towson, MD",Network and Computer Systems Administrators,detailed,"99,190"
68445,MD,"Baltimore-Columbia-Towson, MD",Computer Network Architects,detailed,"100,880"
68446,MD,"Baltimore-Columbia-Towson, MD",Computer User Support Specialists,detailed,"53,920"
68447,MD,"Baltimore-Columbia-Towson, MD",Computer Network Support Specialists,detailed,"73,480"
68448,MD,"Baltimore-Columbia-Towson, MD","Computer Occupations, All Other",detailed,"101,000"
68449,MD,"Baltimore-Columbia-Towson, MD",Actuaries,detailed,"122,520"
68450,MD,"Baltimore-Columbia-Towson, MD",Mathematicians,detailed,"100,170"
68451,MD,"Baltimore-Columbia-Towson, MD",Operations Research Analysts,detailed,"97,840"
68452,MD,"Baltimore-Columbia-Towson, MD",Statisticians,detailed,"92,130"
68454,MD,"Baltimore-Columbia-Towson, MD","Architects, Except Landscape and Naval",detailed,"83,400"
68455,MD,"Baltimore-Columbia-Towson, MD",Landscape Architects,detailed,"66,210"
68456,MD,"Baltimore-Columbia-Towson, MD",Cartographers and Photogrammetrists,detailed,"64,990"
68457,MD,"Baltimore-Columbia-Towson, MD",Surveyors,detailed,"60,440"
68458,MD,"Baltimore-Columbia-Towson, MD",Aerospace Engineers,detailed,"127,300"
68459,MD,"Baltimore-Columbia-Towson, MD",Biomedical Engineers,detailed,"87,310"
68460,MD,"Baltimore-Columbia-Towson, MD",Chemical Engineers,detailed,"109,420"
68461,MD,"Baltimore-Columbia-Towson, MD",Civil Engineers,detailed,"80,900"
68462,MD,"Baltimore-Columbia-Towson, MD",Computer Hardware Engineers,detailed,"124,690"
68463,MD,"Baltimore-Columbia-Towson, MD",Electrical Engineers,detailed,"96,690"
68464,MD,"Baltimore-Columbia-Towson, MD","Electronics Engineers, Except Computer",detailed,"121,230"
68465,MD,"Baltimore-Columbia-Towson, MD",Environmental Engineers,detailed,"87,250"
68466,MD,"Baltimore-Columbia-Towson, MD","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"95,760"
68467,MD,"Baltimore-Columbia-Towson, MD",Industrial Engineers,detailed,"93,170"
68468,MD,"Baltimore-Columbia-Towson, MD",Marine Engineers and Naval Architects,detailed,"88,980"
68469,MD,"Baltimore-Columbia-Towson, MD",Materials Engineers,detailed,"98,080"
68470,MD,"Baltimore-Columbia-Towson, MD",Mechanical Engineers,detailed,"93,530"
68471,MD,"Baltimore-Columbia-Towson, MD",Nuclear Engineers,detailed,"85,780"
68472,MD,"Baltimore-Columbia-Towson, MD","Engineers, All Other",detailed,"107,890"
68473,MD,"Baltimore-Columbia-Towson, MD",Architectural and Civil Drafters,detailed,"53,210"
68474,MD,"Baltimore-Columbia-Towson, MD",Electrical and Electronics Drafters,detailed,"59,370"
68475,MD,"Baltimore-Columbia-Towson, MD",Mechanical Drafters,detailed,"58,770"
68476,MD,"Baltimore-Columbia-Towson, MD","Drafters, All Other",detailed,"57,750"
68477,MD,"Baltimore-Columbia-Towson, MD",Aerospace Engineering and Operations Technicians,detailed,"73,710"
68478,MD,"Baltimore-Columbia-Towson, MD",Civil Engineering Technicians,detailed,"56,220"
68479,MD,"Baltimore-Columbia-Towson, MD",Electrical and Electronics Engineering Technicians,detailed,"67,330"
68480,MD,"Baltimore-Columbia-Towson, MD",Electro-Mechanical Technicians,detailed,*
68481,MD,"Baltimore-Columbia-Towson, MD",Environmental Engineering Technicians,detailed,"60,290"
68482,MD,"Baltimore-Columbia-Towson, MD",Industrial Engineering Technicians,detailed,"58,950"
68483,MD,"Baltimore-Columbia-Towson, MD",Mechanical Engineering Technicians,detailed,"57,590"
68484,MD,"Baltimore-Columbia-Towson, MD","Engineering Technicians, Except Drafters, All Other",detailed,"81,170"
68485,MD,"Baltimore-Columbia-Towson, MD",Surveying and Mapping Technicians,detailed,"49,750"
68487,MD,"Baltimore-Columbia-Towson, MD",Animal Scientists,detailed,"63,950"
68488,MD,"Baltimore-Columbia-Towson, MD",Food Scientists and Technologists,detailed,"73,260"
68489,MD,"Baltimore-Columbia-Towson, MD",Biochemists and Biophysicists,detailed,"79,920"
68490,MD,"Baltimore-Columbia-Towson, MD",Microbiologists,detailed,"89,070"
68491,MD,"Baltimore-Columbia-Towson, MD",Zoologists and Wildlife Biologists,detailed,"81,710"
68492,MD,"Baltimore-Columbia-Towson, MD","Biological Scientists, All Other",detailed,"86,020"
68493,MD,"Baltimore-Columbia-Towson, MD",Conservation Scientists,detailed,"65,620"
68494,MD,"Baltimore-Columbia-Towson, MD",Epidemiologists,detailed,"73,930"
68495,MD,"Baltimore-Columbia-Towson, MD","Medical Scientists, Except Epidemiologists",detailed,"97,330"
68496,MD,"Baltimore-Columbia-Towson, MD","Life Scientists, All Other",detailed,*
68497,MD,"Baltimore-Columbia-Towson, MD",Physicists,detailed,"119,370"
68498,MD,"Baltimore-Columbia-Towson, MD",Atmospheric and Space Scientists,detailed,"98,280"
68499,MD,"Baltimore-Columbia-Towson, MD",Chemists,detailed,"89,770"
68500,MD,"Baltimore-Columbia-Towson, MD",Materials Scientists,detailed,"87,770"
68501,MD,"Baltimore-Columbia-Towson, MD","Environmental Scientists and Specialists, Including Health",detailed,"78,000"
68502,MD,"Baltimore-Columbia-Towson, MD","Geoscientists, Except Hydrologists and Geographers",detailed,"70,350"
68503,MD,"Baltimore-Columbia-Towson, MD","Physical Scientists, All Other",detailed,"110,740"
68504,MD,"Baltimore-Columbia-Towson, MD",Economists,detailed,"103,580"
68505,MD,"Baltimore-Columbia-Towson, MD",Survey Researchers,detailed,"65,980"
68506,MD,"Baltimore-Columbia-Towson, MD","Clinical, Counseling, and School Psychologists",detailed,"70,900"
68507,MD,"Baltimore-Columbia-Towson, MD","Psychologists, All Other",detailed,"92,330"
68508,MD,"Baltimore-Columbia-Towson, MD",Urban and Regional Planners,detailed,"64,210"
68509,MD,"Baltimore-Columbia-Towson, MD","Social Scientists and Related Workers, All Other",detailed,"88,750"
68510,MD,"Baltimore-Columbia-Towson, MD",Agricultural and Food Science Technicians,detailed,"41,430"
68511,MD,"Baltimore-Columbia-Towson, MD",Chemical Technicians,detailed,"44,040"
68512,MD,"Baltimore-Columbia-Towson, MD",Social Science Research Assistants,detailed,"43,540"
68513,MD,"Baltimore-Columbia-Towson, MD","Environmental Science and Protection Technicians, Including Health",detailed,"54,310"
68514,MD,"Baltimore-Columbia-Towson, MD",Forensic Science Technicians,detailed,"59,230"
68515,MD,"Baltimore-Columbia-Towson, MD",Forest and Conservation Technicians,detailed,"39,660"
68516,MD,"Baltimore-Columbia-Towson, MD","Life, Physical, and Social Science Technicians, All Other",detailed,"54,080"
68518,MD,"Baltimore-Columbia-Towson, MD",Substance Abuse and Behavioral Disorder Counselors,detailed,"43,650"
68519,MD,"Baltimore-Columbia-Towson, MD","Educational, Guidance, School, and Vocational Counselors",detailed,"57,980"
68520,MD,"Baltimore-Columbia-Towson, MD",Marriage and Family Therapists,detailed,"55,390"
68521,MD,"Baltimore-Columbia-Towson, MD",Mental Health Counselors,detailed,"43,340"
68522,MD,"Baltimore-Columbia-Towson, MD",Rehabilitation Counselors,detailed,"33,170"
68523,MD,"Baltimore-Columbia-Towson, MD","Counselors, All Other",detailed,"35,790"
68524,MD,"Baltimore-Columbia-Towson, MD","Child, Family, and School Social Workers",detailed,"44,340"
68525,MD,"Baltimore-Columbia-Towson, MD",Healthcare Social Workers,detailed,"56,630"
68526,MD,"Baltimore-Columbia-Towson, MD",Mental Health and Substance Abuse Social Workers,detailed,"49,450"
68527,MD,"Baltimore-Columbia-Towson, MD","Social Workers, All Other",detailed,"63,640"
68528,MD,"Baltimore-Columbia-Towson, MD",Health Educators,detailed,"66,740"
68529,MD,"Baltimore-Columbia-Towson, MD",Probation Officers and Correctional Treatment Specialists,detailed,"55,760"
68530,MD,"Baltimore-Columbia-Towson, MD",Social and Human Service Assistants,detailed,"32,260"
68531,MD,"Baltimore-Columbia-Towson, MD",Community Health Workers,detailed,"44,310"
68532,MD,"Baltimore-Columbia-Towson, MD","Community and Social Service Specialists, All Other",detailed,"43,690"
68533,MD,"Baltimore-Columbia-Towson, MD",Clergy,detailed,"45,370"
68534,MD,"Baltimore-Columbia-Towson, MD","Directors, Religious Activities and Education",detailed,*
68535,MD,"Baltimore-Columbia-Towson, MD","Religious Workers, All Other",detailed,"34,830"
68537,MD,"Baltimore-Columbia-Towson, MD",Lawyers,detailed,"112,000"
68538,MD,"Baltimore-Columbia-Towson, MD",Judicial Law Clerks,detailed,"67,030"
68539,MD,"Baltimore-Columbia-Towson, MD","Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"103,350"
68540,MD,"Baltimore-Columbia-Towson, MD","Arbitrators, Mediators, and Conciliators",detailed,"53,100"
68541,MD,"Baltimore-Columbia-Towson, MD","Judges, Magistrate Judges, and Magistrates",detailed,"146,340"
68542,MD,"Baltimore-Columbia-Towson, MD",Paralegals and Legal Assistants,detailed,"53,980"
68543,MD,"Baltimore-Columbia-Towson, MD",Court Reporters,detailed,"42,900"
68544,MD,"Baltimore-Columbia-Towson, MD","Title Examiners, Abstractors, and Searchers",detailed,"43,180"
68545,MD,"Baltimore-Columbia-Towson, MD","Legal Support Workers, All Other",detailed,"64,120"
68547,MD,"Baltimore-Columbia-Towson, MD","Business Teachers, Postsecondary",detailed,"87,630"
68548,MD,"Baltimore-Columbia-Towson, MD","Computer Science Teachers, Postsecondary",detailed,"81,740"
68549,MD,"Baltimore-Columbia-Towson, MD","Mathematical Science Teachers, Postsecondary",detailed,"82,930"
68550,MD,"Baltimore-Columbia-Towson, MD","Engineering Teachers, Postsecondary",detailed,"81,620"
68551,MD,"Baltimore-Columbia-Towson, MD","Biological Science Teachers, Postsecondary",detailed,"86,350"
68552,MD,"Baltimore-Columbia-Towson, MD","Chemistry Teachers, Postsecondary",detailed,"71,570"
68553,MD,"Baltimore-Columbia-Towson, MD","Environmental Science Teachers, Postsecondary",detailed,"89,270"
68554,MD,"Baltimore-Columbia-Towson, MD","Physics Teachers, Postsecondary",detailed,"82,150"
68555,MD,"Baltimore-Columbia-Towson, MD","Economics Teachers, Postsecondary",detailed,"88,580"
68556,MD,"Baltimore-Columbia-Towson, MD","Geography Teachers, Postsecondary",detailed,"73,060"
68557,MD,"Baltimore-Columbia-Towson, MD","Political Science Teachers, Postsecondary",detailed,"85,240"
68558,MD,"Baltimore-Columbia-Towson, MD","Psychology Teachers, Postsecondary",detailed,"98,730"
68559,MD,"Baltimore-Columbia-Towson, MD","Sociology Teachers, Postsecondary",detailed,"77,850"
68560,MD,"Baltimore-Columbia-Towson, MD","Nursing Instructors and Teachers, Postsecondary",detailed,"82,100"
68561,MD,"Baltimore-Columbia-Towson, MD","Education Teachers, Postsecondary",detailed,"68,650"
68562,MD,"Baltimore-Columbia-Towson, MD","Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"66,800"
68563,MD,"Baltimore-Columbia-Towson, MD","Social Work Teachers, Postsecondary",detailed,"70,230"
68564,MD,"Baltimore-Columbia-Towson, MD","Art, Drama, and Music Teachers, Postsecondary",detailed,*
68565,MD,"Baltimore-Columbia-Towson, MD","Communications Teachers, Postsecondary",detailed,"69,770"
68566,MD,"Baltimore-Columbia-Towson, MD","English Language and Literature Teachers, Postsecondary",detailed,"73,680"
68567,MD,"Baltimore-Columbia-Towson, MD","Foreign Language and Literature Teachers, Postsecondary",detailed,"72,470"
68568,MD,"Baltimore-Columbia-Towson, MD","History Teachers, Postsecondary",detailed,"82,540"
68569,MD,"Baltimore-Columbia-Towson, MD","Philosophy and Religion Teachers, Postsecondary",detailed,"77,090"
68570,MD,"Baltimore-Columbia-Towson, MD",Graduate Teaching Assistants,detailed,"35,520"
68571,MD,"Baltimore-Columbia-Towson, MD","Vocational Education Teachers, Postsecondary",detailed,"50,550"
68572,MD,"Baltimore-Columbia-Towson, MD","Postsecondary Teachers, All Other",detailed,"76,830"
68573,MD,"Baltimore-Columbia-Towson, MD","Preschool Teachers, Except Special Education",detailed,"29,250"
68574,MD,"Baltimore-Columbia-Towson, MD","Kindergarten Teachers, Except Special Education",detailed,"58,080"
68575,MD,"Baltimore-Columbia-Towson, MD","Elementary School Teachers, Except Special Education",detailed,"61,910"
68576,MD,"Baltimore-Columbia-Towson, MD","Middle School Teachers, Except Special and Career/Technical Education",detailed,"59,410"
68577,MD,"Baltimore-Columbia-Towson, MD","Career/Technical Education Teachers, Middle School",detailed,"59,750"
68578,MD,"Baltimore-Columbia-Towson, MD","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"64,400"
68579,MD,"Baltimore-Columbia-Towson, MD","Career/Technical Education Teachers, Secondary School",detailed,"69,180"
68580,MD,"Baltimore-Columbia-Towson, MD","Special Education Teachers, Preschool",detailed,"51,360"
68581,MD,"Baltimore-Columbia-Towson, MD","Special Education Teachers, Kindergarten and Elementary School",detailed,"55,380"
68582,MD,"Baltimore-Columbia-Towson, MD","Special Education Teachers, Middle School",detailed,"65,140"
68583,MD,"Baltimore-Columbia-Towson, MD","Special Education Teachers, Secondary School",detailed,"66,660"
68584,MD,"Baltimore-Columbia-Towson, MD","Special Education Teachers, All Other",detailed,*
68585,MD,"Baltimore-Columbia-Towson, MD",Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"53,860"
68586,MD,"Baltimore-Columbia-Towson, MD",Self-Enrichment Education Teachers,detailed,"45,280"
68587,MD,"Baltimore-Columbia-Towson, MD","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"71,800"
68588,MD,"Baltimore-Columbia-Towson, MD",Substitute Teachers,detailed,"38,930"
68589,MD,"Baltimore-Columbia-Towson, MD",Archivists,detailed,"47,440"
68590,MD,"Baltimore-Columbia-Towson, MD",Curators,detailed,"49,180"
68591,MD,"Baltimore-Columbia-Towson, MD",Museum Technicians and Conservators,detailed,"40,900"
68592,MD,"Baltimore-Columbia-Towson, MD",Librarians,detailed,"62,980"
68593,MD,"Baltimore-Columbia-Towson, MD",Library Technicians,detailed,"39,060"
68594,MD,"Baltimore-Columbia-Towson, MD",Audio-Visual and Multimedia Collections Specialists,detailed,"55,340"
68595,MD,"Baltimore-Columbia-Towson, MD",Instructional Coordinators,detailed,"68,800"
