,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
70813,ME,"Bangor, ME",Chief Executives,detailed,"155,670"
70814,ME,"Bangor, ME",General and Operations Managers,detailed,"84,520"
70815,ME,"Bangor, ME",Marketing Managers,detailed,"102,720"
70816,ME,"Bangor, ME",Sales Managers,detailed,"100,240"
70817,ME,"Bangor, ME",Public Relations and Fundraising Managers,detailed,"89,380"
70818,ME,"Bangor, ME",Administrative Services Managers,detailed,"73,400"
70819,ME,"Bangor, ME",Computer and Information Systems Managers,detailed,*
70820,ME,"Bangor, ME",Financial Managers,detailed,"94,570"
70821,ME,"Bangor, ME",Industrial Production Managers,detailed,"80,480"
70822,ME,"Bangor, ME","Transportation, Storage, and Distribution Managers",detailed,"82,690"
70823,ME,"Bangor, ME",Human Resources Managers,detailed,"85,200"
70824,ME,"Bangor, ME",Construction Managers,detailed,"69,300"
70825,ME,"Bangor, ME","Education Administrators, Elementary and Secondary School",detailed,"75,760"
70826,ME,"Bangor, ME","Education Administrators, Postsecondary",detailed,"91,240"
70827,ME,"Bangor, ME",Architectural and Engineering Managers,detailed,"105,820"
70828,ME,"Bangor, ME",Food Service Managers,detailed,"47,900"
70829,ME,"Bangor, ME",Medical and Health Services Managers,detailed,"86,950"
70830,ME,"Bangor, ME",Natural Sciences Managers,detailed,"102,210"
70831,ME,"Bangor, ME","Property, Real Estate, and Community Association Managers",detailed,"50,760"
70832,ME,"Bangor, ME",Social and Community Service Managers,detailed,"51,920"
70833,ME,"Bangor, ME","Managers, All Other",detailed,"81,770"
70835,ME,"Bangor, ME","Wholesale and Retail Buyers, Except Farm Products",detailed,"52,290"
70836,ME,"Bangor, ME","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"51,010"
70837,ME,"Bangor, ME",Compliance Officers,detailed,"57,520"
70838,ME,"Bangor, ME",Cost Estimators,detailed,"51,690"
70839,ME,"Bangor, ME",Human Resources Specialists,detailed,"52,510"
70840,ME,"Bangor, ME",Fundraisers,detailed,"61,830"
70841,ME,"Bangor, ME",Training and Development Specialists,detailed,"44,330"
70842,ME,"Bangor, ME","Business Operations Specialists, All Other",detailed,"57,810"
70843,ME,"Bangor, ME",Accountants and Auditors,detailed,"60,330"
70844,ME,"Bangor, ME",Appraisers and Assessors of Real Estate,detailed,"40,080"
70845,ME,"Bangor, ME",Personal Financial Advisors,detailed,"65,180"
70846,ME,"Bangor, ME",Loan Officers,detailed,"68,400"
70847,ME,"Bangor, ME","Tax Examiners and Collectors, and Revenue Agents",detailed,"50,250"
70849,ME,"Bangor, ME",Computer Systems Analysts,detailed,"92,620"
70850,ME,"Bangor, ME",Computer Programmers,detailed,"65,320"
70851,ME,"Bangor, ME","Software Developers, Applications",detailed,"97,150"
70852,ME,"Bangor, ME",Web Developers,detailed,"54,720"
70853,ME,"Bangor, ME",Network and Computer Systems Administrators,detailed,"55,040"
70854,ME,"Bangor, ME",Computer Network Architects,detailed,"110,140"
70855,ME,"Bangor, ME",Computer User Support Specialists,detailed,"38,060"
70856,ME,"Bangor, ME",Computer Network Support Specialists,detailed,"41,820"
70858,ME,"Bangor, ME",Civil Engineers,detailed,"73,230"
70859,ME,"Bangor, ME",Electrical Engineers,detailed,"79,870"
70860,ME,"Bangor, ME",Architectural and Civil Drafters,detailed,"35,950"
70861,ME,"Bangor, ME",Civil Engineering Technicians,detailed,*
70862,ME,"Bangor, ME",Surveying and Mapping Technicians,detailed,"40,930"
70864,ME,"Bangor, ME",Zoologists and Wildlife Biologists,detailed,"57,690"
70865,ME,"Bangor, ME","Environmental Scientists and Specialists, Including Health",detailed,"47,570"
70866,ME,"Bangor, ME","Clinical, Counseling, and School Psychologists",detailed,"95,750"
70867,ME,"Bangor, ME",Biological Technicians,detailed,"36,990"
70869,ME,"Bangor, ME",Substance Abuse and Behavioral Disorder Counselors,detailed,"42,190"
70870,ME,"Bangor, ME","Educational, Guidance, School, and Vocational Counselors",detailed,"45,190"
70871,ME,"Bangor, ME",Mental Health Counselors,detailed,"59,430"
70872,ME,"Bangor, ME",Rehabilitation Counselors,detailed,"38,150"
70873,ME,"Bangor, ME","Child, Family, and School Social Workers",detailed,"44,180"
70874,ME,"Bangor, ME",Healthcare Social Workers,detailed,"50,380"
70875,ME,"Bangor, ME",Mental Health and Substance Abuse Social Workers,detailed,"58,070"
70876,ME,"Bangor, ME","Social Workers, All Other",detailed,"52,810"
70877,ME,"Bangor, ME",Health Educators,detailed,*
70878,ME,"Bangor, ME",Social and Human Service Assistants,detailed,"31,870"
70879,ME,"Bangor, ME",Community Health Workers,detailed,"30,720"
70881,ME,"Bangor, ME",Lawyers,detailed,"88,230"
70882,ME,"Bangor, ME",Paralegals and Legal Assistants,detailed,"39,160"
70884,ME,"Bangor, ME","Business Teachers, Postsecondary",detailed,"71,740"
70885,ME,"Bangor, ME","Mathematical Science Teachers, Postsecondary",detailed,"57,660"
70886,ME,"Bangor, ME","Health Specialties Teachers, Postsecondary",detailed,*
70887,ME,"Bangor, ME","Nursing Instructors and Teachers, Postsecondary",detailed,"62,800"
70888,ME,"Bangor, ME","Education Teachers, Postsecondary",detailed,*
70889,ME,"Bangor, ME","English Language and Literature Teachers, Postsecondary",detailed,"58,300"
70890,ME,"Bangor, ME","Vocational Education Teachers, Postsecondary",detailed,"42,000"
70891,ME,"Bangor, ME","Postsecondary Teachers, All Other",detailed,"55,590"
70892,ME,"Bangor, ME","Preschool Teachers, Except Special Education",detailed,"33,540"
70893,ME,"Bangor, ME","Kindergarten Teachers, Except Special Education",detailed,"48,890"
70894,ME,"Bangor, ME","Elementary School Teachers, Except Special Education",detailed,"47,260"
70895,ME,"Bangor, ME","Middle School Teachers, Except Special and Career/Technical Education",detailed,"59,350"
70896,ME,"Bangor, ME","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"51,410"
70897,ME,"Bangor, ME","Special Education Teachers, Kindergarten and Elementary School",detailed,"50,030"
70898,ME,"Bangor, ME","Special Education Teachers, Middle School",detailed,"58,090"
70899,ME,"Bangor, ME","Special Education Teachers, Secondary School",detailed,"51,520"
70900,ME,"Bangor, ME",Self-Enrichment Education Teachers,detailed,"40,190"
70901,ME,"Bangor, ME","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"54,920"
70902,ME,"Bangor, ME",Substitute Teachers,detailed,"18,790"
70903,ME,"Bangor, ME",Librarians,detailed,"44,280"
70904,ME,"Bangor, ME",Library Technicians,detailed,"30,840"
70905,ME,"Bangor, ME",Teacher Assistants,detailed,"31,510"
70906,ME,"Bangor, ME","Education, Training, and Library Workers, All Other",detailed,"34,490"
70908,ME,"Bangor, ME",Graphic Designers,detailed,"36,260"
70909,ME,"Bangor, ME",Merchandise Displayers and Window Trimmers,detailed,"25,720"
70910,ME,"Bangor, ME",Producers and Directors,detailed,"30,050"
70911,ME,"Bangor, ME",Coaches and Scouts,detailed,"24,870"
70912,ME,"Bangor, ME",Radio and Television Announcers,detailed,"35,560"
70913,ME,"Bangor, ME",Reporters and Correspondents,detailed,"30,620"
70914,ME,"Bangor, ME",Public Relations Specialists,detailed,"54,850"
70916,ME,"Bangor, ME","Dentists, General",detailed,"153,030"
70917,ME,"Bangor, ME",Dietitians and Nutritionists,detailed,"56,060"
70918,ME,"Bangor, ME",Pharmacists,detailed,"119,110"
70919,ME,"Bangor, ME",Family and General Practitioners,detailed,"152,250"
70920,ME,"Bangor, ME",Psychiatrists,detailed,*
70921,ME,"Bangor, ME",Surgeons,detailed,"253,160"
70922,ME,"Bangor, ME",Physician Assistants,detailed,"99,140"
70923,ME,"Bangor, ME",Occupational Therapists,detailed,"72,590"
70924,ME,"Bangor, ME",Physical Therapists,detailed,"79,990"
70925,ME,"Bangor, ME",Speech-Language Pathologists,detailed,"58,990"
70926,ME,"Bangor, ME",Veterinarians,detailed,"119,630"
70927,ME,"Bangor, ME",Registered Nurses,detailed,"67,350"
70928,ME,"Bangor, ME",Nurse Practitioners,detailed,"98,560"
70929,ME,"Bangor, ME",Medical and Clinical Laboratory Technologists,detailed,"54,520"
70930,ME,"Bangor, ME",Medical and Clinical Laboratory Technicians,detailed,"45,950"
70931,ME,"Bangor, ME",Dental Hygienists,detailed,"67,230"
70932,ME,"Bangor, ME",Emergency Medical Technicians and Paramedics,detailed,"30,760"
70933,ME,"Bangor, ME",Pharmacy Technicians,detailed,"28,740"
70934,ME,"Bangor, ME",Veterinary Technologists and Technicians,detailed,"32,220"
70935,ME,"Bangor, ME",Licensed Practical and Licensed Vocational Nurses,detailed,"43,950"
70936,ME,"Bangor, ME",Medical Records and Health Information Technicians,detailed,"33,200"
70937,ME,"Bangor, ME","Opticians, Dispensing",detailed,"36,980"
70938,ME,"Bangor, ME","Health Technologists and Technicians, All Other",detailed,"77,030"
70939,ME,"Bangor, ME",Occupational Health and Safety Specialists,detailed,"70,180"
70941,ME,"Bangor, ME",Home Health Aides,detailed,"23,560"
70942,ME,"Bangor, ME",Nursing Assistants,detailed,"25,140"
70943,ME,"Bangor, ME",Dental Assistants,detailed,"38,720"
70944,ME,"Bangor, ME",Medical Assistants,detailed,"30,650"
70945,ME,"Bangor, ME",Medical Transcriptionists,detailed,"26,380"
70946,ME,"Bangor, ME",Phlebotomists,detailed,"29,730"
70948,ME,"Bangor, ME",First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"52,330"
70949,ME,"Bangor, ME","First-Line Supervisors of Protective Service Workers, All Other",detailed,"41,100"
70950,ME,"Bangor, ME",Firefighters,detailed,"36,070"
70951,ME,"Bangor, ME",Detectives and Criminal Investigators,detailed,"58,770"
70952,ME,"Bangor, ME",Police and Sheriff's Patrol Officers,detailed,"41,530"
