,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
71828,MI,"Ann Arbor, MI",Chief Executives,detailed,"171,490"
71829,MI,"Ann Arbor, MI",General and Operations Managers,detailed,"129,700"
71830,MI,"Ann Arbor, MI",Legislators,detailed,"28,440"
71831,MI,"Ann Arbor, MI",Marketing Managers,detailed,"112,700"
71832,MI,"Ann Arbor, MI",Sales Managers,detailed,"128,970"
71833,MI,"Ann Arbor, MI",Public Relations and Fundraising Managers,detailed,"116,000"
71834,MI,"Ann Arbor, MI",Administrative Services Managers,detailed,"88,010"
71835,MI,"Ann Arbor, MI",Computer and Information Systems Managers,detailed,"125,590"
71836,MI,"Ann Arbor, MI",Financial Managers,detailed,"106,560"
71837,MI,"Ann Arbor, MI",Industrial Production Managers,detailed,"100,090"
71838,MI,"Ann Arbor, MI",Purchasing Managers,detailed,"103,920"
71839,MI,"Ann Arbor, MI","Transportation, Storage, and Distribution Managers",detailed,"99,010"
71840,MI,"Ann Arbor, MI",Human Resources Managers,detailed,"96,880"
71841,MI,"Ann Arbor, MI",Training and Development Managers,detailed,"92,260"
71842,MI,"Ann Arbor, MI",Construction Managers,detailed,"111,590"
71843,MI,"Ann Arbor, MI","Education Administrators, Preschool and Childcare Center/Program",detailed,"49,160"
71844,MI,"Ann Arbor, MI","Education Administrators, Elementary and Secondary School",detailed,"93,870"
71845,MI,"Ann Arbor, MI","Education Administrators, Postsecondary",detailed,"152,960"
71846,MI,"Ann Arbor, MI","Education Administrators, All Other",detailed,"104,840"
71847,MI,"Ann Arbor, MI",Architectural and Engineering Managers,detailed,"134,130"
71848,MI,"Ann Arbor, MI",Food Service Managers,detailed,"71,860"
71849,MI,"Ann Arbor, MI",Medical and Health Services Managers,detailed,"98,300"
71850,MI,"Ann Arbor, MI",Natural Sciences Managers,detailed,"117,270"
71851,MI,"Ann Arbor, MI","Property, Real Estate, and Community Association Managers",detailed,"58,430"
