,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
77133,MN,"Duluth, MN-WI",Chief Executives,detailed,"122,340"
77134,MN,"Duluth, MN-WI",General and Operations Managers,detailed,"87,990"
77135,MN,"Duluth, MN-WI",Legislators,detailed,"26,090"
77136,MN,"Duluth, MN-WI",Marketing Managers,detailed,"102,100"
77137,MN,"Duluth, MN-WI",Sales Managers,detailed,"94,910"
77138,MN,"Duluth, MN-WI",Public Relations and Fundraising Managers,detailed,"89,900"
77139,MN,"Duluth, MN-WI",Administrative Services Managers,detailed,"93,930"
77140,MN,"Duluth, MN-WI",Computer and Information Systems Managers,detailed,"108,380"
77141,MN,"Duluth, MN-WI",Financial Managers,detailed,"103,240"
77142,MN,"Duluth, MN-WI",Industrial Production Managers,detailed,"95,840"
77143,MN,"Duluth, MN-WI",Purchasing Managers,detailed,"103,400"
77144,MN,"Duluth, MN-WI","Transportation, Storage, and Distribution Managers",detailed,"86,840"
77145,MN,"Duluth, MN-WI",Human Resources Managers,detailed,"107,960"
77146,MN,"Duluth, MN-WI",Construction Managers,detailed,"93,360"
77147,MN,"Duluth, MN-WI","Education Administrators, Preschool and Childcare Center/Program",detailed,"56,400"
77148,MN,"Duluth, MN-WI","Education Administrators, Elementary and Secondary School",detailed,"89,930"
77149,MN,"Duluth, MN-WI","Education Administrators, All Other",detailed,"72,220"
77150,MN,"Duluth, MN-WI",Architectural and Engineering Managers,detailed,"117,450"
77151,MN,"Duluth, MN-WI",Food Service Managers,detailed,"47,800"
77152,MN,"Duluth, MN-WI",Lodging Managers,detailed,"49,010"
77153,MN,"Duluth, MN-WI",Medical and Health Services Managers,detailed,"84,040"
77154,MN,"Duluth, MN-WI",Natural Sciences Managers,detailed,"95,620"
77155,MN,"Duluth, MN-WI","Property, Real Estate, and Community Association Managers",detailed,"63,600"
77156,MN,"Duluth, MN-WI",Social and Community Service Managers,detailed,"67,470"
77157,MN,"Duluth, MN-WI","Managers, All Other",detailed,"87,880"
77159,MN,"Duluth, MN-WI","Wholesale and Retail Buyers, Except Farm Products",detailed,"37,510"
77160,MN,"Duluth, MN-WI","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,480"
77161,MN,"Duluth, MN-WI","Claims Adjusters, Examiners, and Investigators",detailed,"44,750"
77162,MN,"Duluth, MN-WI",Compliance Officers,detailed,"64,560"
77163,MN,"Duluth, MN-WI",Cost Estimators,detailed,"58,660"
77164,MN,"Duluth, MN-WI",Human Resources Specialists,detailed,"53,000"
77165,MN,"Duluth, MN-WI",Labor Relations Specialists,detailed,"61,490"
77166,MN,"Duluth, MN-WI",Logisticians,detailed,"79,790"
77167,MN,"Duluth, MN-WI",Management Analysts,detailed,"62,630"
77168,MN,"Duluth, MN-WI","Meeting, Convention, and Event Planners",detailed,"43,690"
77169,MN,"Duluth, MN-WI",Fundraisers,detailed,"51,220"
77170,MN,"Duluth, MN-WI","Compensation, Benefits, and Job Analysis Specialists",detailed,"58,860"
77171,MN,"Duluth, MN-WI",Training and Development Specialists,detailed,"52,980"
77172,MN,"Duluth, MN-WI",Market Research Analysts and Marketing Specialists,detailed,"53,490"
77173,MN,"Duluth, MN-WI","Business Operations Specialists, All Other",detailed,"54,770"
77174,MN,"Duluth, MN-WI",Accountants and Auditors,detailed,"70,160"
77175,MN,"Duluth, MN-WI",Appraisers and Assessors of Real Estate,detailed,"60,690"
77176,MN,"Duluth, MN-WI",Budget Analysts,detailed,"54,580"
77177,MN,"Duluth, MN-WI",Financial Analysts,detailed,"73,980"
77178,MN,"Duluth, MN-WI",Personal Financial Advisors,detailed,"94,860"
77179,MN,"Duluth, MN-WI",Loan Officers,detailed,"61,630"
77180,MN,"Duluth, MN-WI","Tax Examiners and Collectors, and Revenue Agents",detailed,"54,930"
77181,MN,"Duluth, MN-WI","Financial Specialists, All Other",detailed,"64,540"
77183,MN,"Duluth, MN-WI",Computer Systems Analysts,detailed,"76,450"
77184,MN,"Duluth, MN-WI",Computer Programmers,detailed,"75,730"
77185,MN,"Duluth, MN-WI","Software Developers, Applications",detailed,"78,910"
77186,MN,"Duluth, MN-WI","Software Developers, Systems Software",detailed,"101,920"
77187,MN,"Duluth, MN-WI",Web Developers,detailed,"62,190"
77188,MN,"Duluth, MN-WI",Database Administrators,detailed,"76,240"
77189,MN,"Duluth, MN-WI",Network and Computer Systems Administrators,detailed,"66,380"
77190,MN,"Duluth, MN-WI",Computer Network Architects,detailed,"89,880"
77191,MN,"Duluth, MN-WI",Computer User Support Specialists,detailed,"42,860"
77192,MN,"Duluth, MN-WI",Computer Network Support Specialists,detailed,"54,200"
77193,MN,"Duluth, MN-WI","Computer Occupations, All Other",detailed,"62,760"
77195,MN,"Duluth, MN-WI","Architects, Except Landscape and Naval",detailed,"77,350"
77196,MN,"Duluth, MN-WI",Surveyors,detailed,"56,820"
77197,MN,"Duluth, MN-WI",Civil Engineers,detailed,"79,210"
77198,MN,"Duluth, MN-WI",Electrical Engineers,detailed,"85,610"
77199,MN,"Duluth, MN-WI","Electronics Engineers, Except Computer",detailed,"103,060"
77200,MN,"Duluth, MN-WI",Environmental Engineers,detailed,"69,640"
77201,MN,"Duluth, MN-WI",Industrial Engineers,detailed,"79,890"
77202,MN,"Duluth, MN-WI",Mechanical Engineers,detailed,"75,190"
77203,MN,"Duluth, MN-WI","Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"91,520"
77204,MN,"Duluth, MN-WI",Architectural and Civil Drafters,detailed,"42,200"
77205,MN,"Duluth, MN-WI",Mechanical Drafters,detailed,"53,620"
77206,MN,"Duluth, MN-WI",Civil Engineering Technicians,detailed,"54,140"
77207,MN,"Duluth, MN-WI",Electrical and Electronics Engineering Technicians,detailed,"65,330"
77208,MN,"Duluth, MN-WI",Environmental Engineering Technicians,detailed,"43,060"
77209,MN,"Duluth, MN-WI","Engineering Technicians, Except Drafters, All Other",detailed,"61,590"
77211,MN,"Duluth, MN-WI",Soil and Plant Scientists,detailed,"64,930"
77212,MN,"Duluth, MN-WI",Zoologists and Wildlife Biologists,detailed,"56,490"
77213,MN,"Duluth, MN-WI","Biological Scientists, All Other",detailed,"69,160"
77214,MN,"Duluth, MN-WI",Conservation Scientists,detailed,"67,560"
77215,MN,"Duluth, MN-WI",Foresters,detailed,"56,170"
77216,MN,"Duluth, MN-WI","Medical Scientists, Except Epidemiologists",detailed,"66,030"
77217,MN,"Duluth, MN-WI",Chemists,detailed,"67,610"
77218,MN,"Duluth, MN-WI","Environmental Scientists and Specialists, Including Health",detailed,"59,960"
77219,MN,"Duluth, MN-WI","Clinical, Counseling, and School Psychologists",detailed,"77,420"
77220,MN,"Duluth, MN-WI",Urban and Regional Planners,detailed,"65,490"
77221,MN,"Duluth, MN-WI","Social Scientists and Related Workers, All Other",detailed,"70,130"
77222,MN,"Duluth, MN-WI",Biological Technicians,detailed,"41,670"
