,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
79233,MO,"Cape Girardeau, MO-IL",Chief Executives,detailed,"143,970"
79234,MO,"Cape Girardeau, MO-IL",General and Operations Managers,detailed,"83,610"
79235,MO,"Cape Girardeau, MO-IL",Sales Managers,detailed,*
79236,MO,"Cape Girardeau, MO-IL",Administrative Services Managers,detailed,"65,820"
79237,MO,"Cape Girardeau, MO-IL",Computer and Information Systems Managers,detailed,"90,200"
79238,MO,"Cape Girardeau, MO-IL",Financial Managers,detailed,"91,550"
79239,MO,"Cape Girardeau, MO-IL",Industrial Production Managers,detailed,"89,760"
79240,MO,"Cape Girardeau, MO-IL",Construction Managers,detailed,"73,710"
79241,MO,"Cape Girardeau, MO-IL","Education Administrators, Elementary and Secondary School",detailed,"84,370"
79242,MO,"Cape Girardeau, MO-IL","Education Administrators, Postsecondary",detailed,"103,900"
79243,MO,"Cape Girardeau, MO-IL",Food Service Managers,detailed,"53,010"
79244,MO,"Cape Girardeau, MO-IL",Medical and Health Services Managers,detailed,"123,470"
79245,MO,"Cape Girardeau, MO-IL","Property, Real Estate, and Community Association Managers",detailed,"28,510"
79246,MO,"Cape Girardeau, MO-IL",Social and Community Service Managers,detailed,"53,340"
79247,MO,"Cape Girardeau, MO-IL","Managers, All Other",detailed,"72,040"
79249,MO,"Cape Girardeau, MO-IL","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"42,580"
79250,MO,"Cape Girardeau, MO-IL",Human Resources Specialists,detailed,"49,430"
79251,MO,"Cape Girardeau, MO-IL",Management Analysts,detailed,"94,950"
79252,MO,"Cape Girardeau, MO-IL",Training and Development Specialists,detailed,"53,570"
79253,MO,"Cape Girardeau, MO-IL",Market Research Analysts and Marketing Specialists,detailed,"59,310"
79254,MO,"Cape Girardeau, MO-IL","Business Operations Specialists, All Other",detailed,"52,660"
79255,MO,"Cape Girardeau, MO-IL",Accountants and Auditors,detailed,"56,990"
79256,MO,"Cape Girardeau, MO-IL",Appraisers and Assessors of Real Estate,detailed,"35,080"
79257,MO,"Cape Girardeau, MO-IL",Loan Officers,detailed,"62,170"
79258,MO,"Cape Girardeau, MO-IL","Tax Examiners and Collectors, and Revenue Agents",detailed,"34,380"
79259,MO,"Cape Girardeau, MO-IL",Tax Preparers,detailed,"25,160"
79260,MO,"Cape Girardeau, MO-IL","Financial Specialists, All Other",detailed,"62,230"
79262,MO,"Cape Girardeau, MO-IL",Computer Programmers,detailed,"58,430"
79263,MO,"Cape Girardeau, MO-IL",Network and Computer Systems Administrators,detailed,"75,250"
79264,MO,"Cape Girardeau, MO-IL",Computer User Support Specialists,detailed,"39,340"
79265,MO,"Cape Girardeau, MO-IL",Computer Network Support Specialists,detailed,"37,610"
79269,MO,"Cape Girardeau, MO-IL",Substance Abuse and Behavioral Disorder Counselors,detailed,"31,450"
79270,MO,"Cape Girardeau, MO-IL","Educational, Guidance, School, and Vocational Counselors",detailed,"42,210"
79271,MO,"Cape Girardeau, MO-IL",Mental Health Counselors,detailed,"34,390"
79272,MO,"Cape Girardeau, MO-IL",Rehabilitation Counselors,detailed,"35,090"
79273,MO,"Cape Girardeau, MO-IL","Child, Family, and School Social Workers",detailed,"33,490"
79274,MO,"Cape Girardeau, MO-IL",Healthcare Social Workers,detailed,"55,040"
79275,MO,"Cape Girardeau, MO-IL",Mental Health and Substance Abuse Social Workers,detailed,"33,030"
79276,MO,"Cape Girardeau, MO-IL",Probation Officers and Correctional Treatment Specialists,detailed,"37,060"
79277,MO,"Cape Girardeau, MO-IL",Social and Human Service Assistants,detailed,"27,600"
79278,MO,"Cape Girardeau, MO-IL",Community Health Workers,detailed,"24,460"
79280,MO,"Cape Girardeau, MO-IL",Lawyers,detailed,"96,060"
79281,MO,"Cape Girardeau, MO-IL","Title Examiners, Abstractors, and Searchers",detailed,"34,780"
79283,MO,"Cape Girardeau, MO-IL","Preschool Teachers, Except Special Education",detailed,"29,630"
79284,MO,"Cape Girardeau, MO-IL","Elementary School Teachers, Except Special Education",detailed,"44,640"
79285,MO,"Cape Girardeau, MO-IL","Middle School Teachers, Except Special and Career/Technical Education",detailed,"53,270"
79286,MO,"Cape Girardeau, MO-IL","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"46,030"
79287,MO,"Cape Girardeau, MO-IL","Special Education Teachers, Secondary School",detailed,"43,410"
79288,MO,"Cape Girardeau, MO-IL",Self-Enrichment Education Teachers,detailed,"32,040"
79289,MO,"Cape Girardeau, MO-IL","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"36,050"
79290,MO,"Cape Girardeau, MO-IL",Librarians,detailed,"40,780"
79291,MO,"Cape Girardeau, MO-IL",Teacher Assistants,detailed,"21,350"
79293,MO,"Cape Girardeau, MO-IL",Graphic Designers,detailed,"39,730"
79294,MO,"Cape Girardeau, MO-IL",Coaches and Scouts,detailed,"49,310"
79295,MO,"Cape Girardeau, MO-IL",Radio and Television Announcers,detailed,"29,670"
79296,MO,"Cape Girardeau, MO-IL",Public Relations Specialists,detailed,"47,550"
79298,MO,"Cape Girardeau, MO-IL",Pharmacists,detailed,"135,920"
79299,MO,"Cape Girardeau, MO-IL",Family and General Practitioners,detailed,"255,340"
79300,MO,"Cape Girardeau, MO-IL","Physicians and Surgeons, All Other",detailed,"260,690"
79301,MO,"Cape Girardeau, MO-IL",Occupational Therapists,detailed,"74,940"
79302,MO,"Cape Girardeau, MO-IL",Physical Therapists,detailed,"80,020"
79303,MO,"Cape Girardeau, MO-IL",Speech-Language Pathologists,detailed,"65,270"
79304,MO,"Cape Girardeau, MO-IL",Registered Nurses,detailed,"55,660"
79305,MO,"Cape Girardeau, MO-IL",Nurse Anesthetists,detailed,"165,920"
79306,MO,"Cape Girardeau, MO-IL",Nurse Practitioners,detailed,"99,110"
79307,MO,"Cape Girardeau, MO-IL",Medical and Clinical Laboratory Technologists,detailed,"57,950"
79308,MO,"Cape Girardeau, MO-IL",Medical and Clinical Laboratory Technicians,detailed,"33,260"
79309,MO,"Cape Girardeau, MO-IL",Dental Hygienists,detailed,"69,190"
79310,MO,"Cape Girardeau, MO-IL",Diagnostic Medical Sonographers,detailed,"64,210"
79311,MO,"Cape Girardeau, MO-IL",Radiologic Technologists,detailed,"52,750"
79312,MO,"Cape Girardeau, MO-IL",Emergency Medical Technicians and Paramedics,detailed,"31,040"
79313,MO,"Cape Girardeau, MO-IL",Pharmacy Technicians,detailed,"28,820"
79314,MO,"Cape Girardeau, MO-IL",Surgical Technologists,detailed,"44,420"
79315,MO,"Cape Girardeau, MO-IL",Veterinary Technologists and Technicians,detailed,"20,770"
79316,MO,"Cape Girardeau, MO-IL",Ophthalmic Medical Technicians,detailed,"28,750"
79317,MO,"Cape Girardeau, MO-IL",Licensed Practical and Licensed Vocational Nurses,detailed,"35,970"
79318,MO,"Cape Girardeau, MO-IL",Medical Records and Health Information Technicians,detailed,"32,740"
79319,MO,"Cape Girardeau, MO-IL","Opticians, Dispensing",detailed,"32,290"
79320,MO,"Cape Girardeau, MO-IL","Health Technologists and Technicians, All Other",detailed,"45,420"
79321,MO,"Cape Girardeau, MO-IL",Occupational Health and Safety Specialists,detailed,"52,730"
79322,MO,"Cape Girardeau, MO-IL","Healthcare Practitioners and Technical Workers, All Other",detailed,"26,800"
79324,MO,"Cape Girardeau, MO-IL",Home Health Aides,detailed,"19,170"
79325,MO,"Cape Girardeau, MO-IL",Nursing Assistants,detailed,"23,870"
79326,MO,"Cape Girardeau, MO-IL",Orderlies,detailed,"21,930"
79327,MO,"Cape Girardeau, MO-IL",Occupational Therapy Assistants,detailed,"51,930"
79328,MO,"Cape Girardeau, MO-IL",Physical Therapist Assistants,detailed,"52,020"
79329,MO,"Cape Girardeau, MO-IL",Dental Assistants,detailed,"29,830"
79330,MO,"Cape Girardeau, MO-IL",Medical Assistants,detailed,"26,970"
79331,MO,"Cape Girardeau, MO-IL",Medical Equipment Preparers,detailed,*
79332,MO,"Cape Girardeau, MO-IL",Medical Transcriptionists,detailed,"34,080"
79333,MO,"Cape Girardeau, MO-IL",Phlebotomists,detailed,"27,170"
79335,MO,"Cape Girardeau, MO-IL",Police and Sheriff's Patrol Officers,detailed,"39,640"
79336,MO,"Cape Girardeau, MO-IL",Security Guards,detailed,"27,930"
79338,MO,"Cape Girardeau, MO-IL",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"28,620"
79339,MO,"Cape Girardeau, MO-IL","Cooks, Institution and Cafeteria",detailed,"20,140"
79340,MO,"Cape Girardeau, MO-IL","Cooks, Restaurant",detailed,"20,130"
79341,MO,"Cape Girardeau, MO-IL",Food Preparation Workers,detailed,"18,770"
79342,MO,"Cape Girardeau, MO-IL",Bartenders,detailed,"18,430"
79343,MO,"Cape Girardeau, MO-IL","Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"17,800"
79344,MO,"Cape Girardeau, MO-IL","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"18,110"
79345,MO,"Cape Girardeau, MO-IL",Waiters and Waitresses,detailed,"20,010"
79346,MO,"Cape Girardeau, MO-IL",Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"19,140"
