,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
82401,MS,"Gulfport-Biloxi-Pascagoula, MS",Chief Executives,detailed,"116,570"
82402,MS,"Gulfport-Biloxi-Pascagoula, MS",General and Operations Managers,detailed,"83,240"
82403,MS,"Gulfport-Biloxi-Pascagoula, MS",Legislators,detailed,"25,450"
82404,MS,"Gulfport-Biloxi-Pascagoula, MS",Advertising and Promotions Managers,detailed,"67,960"
82405,MS,"Gulfport-Biloxi-Pascagoula, MS",Marketing Managers,detailed,"88,700"
82406,MS,"Gulfport-Biloxi-Pascagoula, MS",Sales Managers,detailed,"114,150"
82407,MS,"Gulfport-Biloxi-Pascagoula, MS",Public Relations and Fundraising Managers,detailed,"82,950"
82408,MS,"Gulfport-Biloxi-Pascagoula, MS",Administrative Services Managers,detailed,"65,830"
82409,MS,"Gulfport-Biloxi-Pascagoula, MS",Computer and Information Systems Managers,detailed,"100,750"
82410,MS,"Gulfport-Biloxi-Pascagoula, MS",Financial Managers,detailed,"102,340"
82411,MS,"Gulfport-Biloxi-Pascagoula, MS",Industrial Production Managers,detailed,"96,140"
82412,MS,"Gulfport-Biloxi-Pascagoula, MS",Purchasing Managers,detailed,"98,110"
82413,MS,"Gulfport-Biloxi-Pascagoula, MS","Transportation, Storage, and Distribution Managers",detailed,"75,880"
82414,MS,"Gulfport-Biloxi-Pascagoula, MS",Human Resources Managers,detailed,"85,700"
82415,MS,"Gulfport-Biloxi-Pascagoula, MS",Construction Managers,detailed,"67,970"
82416,MS,"Gulfport-Biloxi-Pascagoula, MS","Education Administrators, Preschool and Childcare Center/Program",detailed,"43,070"
82417,MS,"Gulfport-Biloxi-Pascagoula, MS","Education Administrators, Elementary and Secondary School",detailed,"79,450"
82418,MS,"Gulfport-Biloxi-Pascagoula, MS","Education Administrators, Postsecondary",detailed,"59,550"
82419,MS,"Gulfport-Biloxi-Pascagoula, MS",Architectural and Engineering Managers,detailed,"120,030"
82420,MS,"Gulfport-Biloxi-Pascagoula, MS",Food Service Managers,detailed,"55,000"
82421,MS,"Gulfport-Biloxi-Pascagoula, MS",Gaming Managers,detailed,"72,790"
82422,MS,"Gulfport-Biloxi-Pascagoula, MS",Lodging Managers,detailed,"44,480"
82423,MS,"Gulfport-Biloxi-Pascagoula, MS",Medical and Health Services Managers,detailed,"84,320"
82424,MS,"Gulfport-Biloxi-Pascagoula, MS","Property, Real Estate, and Community Association Managers",detailed,"46,530"
82425,MS,"Gulfport-Biloxi-Pascagoula, MS",Social and Community Service Managers,detailed,"54,670"
82426,MS,"Gulfport-Biloxi-Pascagoula, MS",Emergency Management Directors,detailed,"59,430"
82427,MS,"Gulfport-Biloxi-Pascagoula, MS","Managers, All Other",detailed,"111,800"
82429,MS,"Gulfport-Biloxi-Pascagoula, MS","Wholesale and Retail Buyers, Except Farm Products",detailed,"55,290"
82430,MS,"Gulfport-Biloxi-Pascagoula, MS","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,420"
82431,MS,"Gulfport-Biloxi-Pascagoula, MS","Claims Adjusters, Examiners, and Investigators",detailed,"64,950"
82432,MS,"Gulfport-Biloxi-Pascagoula, MS",Compliance Officers,detailed,"62,330"
82433,MS,"Gulfport-Biloxi-Pascagoula, MS",Cost Estimators,detailed,"57,910"
82434,MS,"Gulfport-Biloxi-Pascagoula, MS",Human Resources Specialists,detailed,"58,420"
82435,MS,"Gulfport-Biloxi-Pascagoula, MS",Labor Relations Specialists,detailed,"61,650"
82436,MS,"Gulfport-Biloxi-Pascagoula, MS",Logisticians,detailed,"75,970"
82437,MS,"Gulfport-Biloxi-Pascagoula, MS",Management Analysts,detailed,"75,470"
82438,MS,"Gulfport-Biloxi-Pascagoula, MS","Meeting, Convention, and Event Planners",detailed,"41,530"
82439,MS,"Gulfport-Biloxi-Pascagoula, MS","Compensation, Benefits, and Job Analysis Specialists",detailed,"55,510"
82440,MS,"Gulfport-Biloxi-Pascagoula, MS",Training and Development Specialists,detailed,"58,330"
82441,MS,"Gulfport-Biloxi-Pascagoula, MS",Market Research Analysts and Marketing Specialists,detailed,"56,550"
82442,MS,"Gulfport-Biloxi-Pascagoula, MS","Business Operations Specialists, All Other",detailed,"68,440"
82443,MS,"Gulfport-Biloxi-Pascagoula, MS",Accountants and Auditors,detailed,"60,620"
82444,MS,"Gulfport-Biloxi-Pascagoula, MS",Appraisers and Assessors of Real Estate,detailed,"50,940"
82445,MS,"Gulfport-Biloxi-Pascagoula, MS",Credit Analysts,detailed,"50,510"
82446,MS,"Gulfport-Biloxi-Pascagoula, MS",Financial Analysts,detailed,"62,800"
82447,MS,"Gulfport-Biloxi-Pascagoula, MS",Personal Financial Advisors,detailed,*
82448,MS,"Gulfport-Biloxi-Pascagoula, MS",Credit Counselors,detailed,"40,860"
82449,MS,"Gulfport-Biloxi-Pascagoula, MS",Loan Officers,detailed,"47,070"
82450,MS,"Gulfport-Biloxi-Pascagoula, MS","Tax Examiners and Collectors, and Revenue Agents",detailed,"47,510"
82451,MS,"Gulfport-Biloxi-Pascagoula, MS","Financial Specialists, All Other",detailed,"58,150"
82453,MS,"Gulfport-Biloxi-Pascagoula, MS",Computer Systems Analysts,detailed,"79,220"
82454,MS,"Gulfport-Biloxi-Pascagoula, MS",Computer Programmers,detailed,"74,150"
82455,MS,"Gulfport-Biloxi-Pascagoula, MS","Software Developers, Applications",detailed,"83,640"
82456,MS,"Gulfport-Biloxi-Pascagoula, MS","Software Developers, Systems Software",detailed,"82,480"
82457,MS,"Gulfport-Biloxi-Pascagoula, MS",Web Developers,detailed,"44,980"
82458,MS,"Gulfport-Biloxi-Pascagoula, MS",Database Administrators,detailed,"68,610"
82459,MS,"Gulfport-Biloxi-Pascagoula, MS",Network and Computer Systems Administrators,detailed,"66,510"
82460,MS,"Gulfport-Biloxi-Pascagoula, MS",Computer User Support Specialists,detailed,"44,210"
82461,MS,"Gulfport-Biloxi-Pascagoula, MS",Computer Network Support Specialists,detailed,"45,750"
82462,MS,"Gulfport-Biloxi-Pascagoula, MS","Computer Occupations, All Other",detailed,"81,620"
82464,MS,"Gulfport-Biloxi-Pascagoula, MS","Architects, Except Landscape and Naval",detailed,"62,870"
82465,MS,"Gulfport-Biloxi-Pascagoula, MS",Surveyors,detailed,"42,670"
82466,MS,"Gulfport-Biloxi-Pascagoula, MS",Aerospace Engineers,detailed,"97,490"
82467,MS,"Gulfport-Biloxi-Pascagoula, MS",Chemical Engineers,detailed,"92,280"
82468,MS,"Gulfport-Biloxi-Pascagoula, MS",Civil Engineers,detailed,"81,920"
82469,MS,"Gulfport-Biloxi-Pascagoula, MS",Electrical Engineers,detailed,"95,070"
82470,MS,"Gulfport-Biloxi-Pascagoula, MS","Electronics Engineers, Except Computer",detailed,"87,900"
82471,MS,"Gulfport-Biloxi-Pascagoula, MS",Industrial Engineers,detailed,"83,220"
82472,MS,"Gulfport-Biloxi-Pascagoula, MS",Marine Engineers and Naval Architects,detailed,"83,860"
