,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
83556,MT,"Billings, MT",Chief Executives,detailed,"135,710"
83557,MT,"Billings, MT",General and Operations Managers,detailed,"103,180"
83558,MT,"Billings, MT",Legislators,detailed,"50,420"
83559,MT,"Billings, MT",Sales Managers,detailed,"106,130"
83560,MT,"Billings, MT",Public Relations and Fundraising Managers,detailed,"97,300"
83561,MT,"Billings, MT",Administrative Services Managers,detailed,"74,550"
83562,MT,"Billings, MT",Computer and Information Systems Managers,detailed,"112,750"
83563,MT,"Billings, MT",Financial Managers,detailed,"116,160"
83564,MT,"Billings, MT","Transportation, Storage, and Distribution Managers",detailed,"90,650"
83565,MT,"Billings, MT",Human Resources Managers,detailed,"89,460"
83566,MT,"Billings, MT",Construction Managers,detailed,"90,500"
83567,MT,"Billings, MT","Education Administrators, Elementary and Secondary School",detailed,"76,340"
83568,MT,"Billings, MT",Architectural and Engineering Managers,detailed,"120,870"
83569,MT,"Billings, MT",Food Service Managers,detailed,"55,970"
83570,MT,"Billings, MT",Medical and Health Services Managers,detailed,"94,120"
83571,MT,"Billings, MT","Property, Real Estate, and Community Association Managers",detailed,"38,680"
83572,MT,"Billings, MT",Social and Community Service Managers,detailed,"63,120"
83573,MT,"Billings, MT","Managers, All Other",detailed,"85,810"
83575,MT,"Billings, MT","Wholesale and Retail Buyers, Except Farm Products",detailed,"37,660"
83576,MT,"Billings, MT","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"56,780"
83577,MT,"Billings, MT","Claims Adjusters, Examiners, and Investigators",detailed,"46,350"
83578,MT,"Billings, MT",Compliance Officers,detailed,"58,230"
83579,MT,"Billings, MT",Cost Estimators,detailed,"52,480"
83580,MT,"Billings, MT",Human Resources Specialists,detailed,"61,700"
83581,MT,"Billings, MT",Labor Relations Specialists,detailed,*
83582,MT,"Billings, MT",Management Analysts,detailed,"107,120"
83583,MT,"Billings, MT","Meeting, Convention, and Event Planners",detailed,"59,010"
83584,MT,"Billings, MT",Fundraisers,detailed,"45,010"
83585,MT,"Billings, MT","Compensation, Benefits, and Job Analysis Specialists",detailed,"59,500"
83586,MT,"Billings, MT",Training and Development Specialists,detailed,"60,540"
83587,MT,"Billings, MT",Market Research Analysts and Marketing Specialists,detailed,"62,150"
83588,MT,"Billings, MT","Business Operations Specialists, All Other",detailed,"61,970"
83589,MT,"Billings, MT",Accountants and Auditors,detailed,"63,810"
83590,MT,"Billings, MT",Credit Analysts,detailed,"57,110"
83591,MT,"Billings, MT",Financial Analysts,detailed,"98,230"
83592,MT,"Billings, MT",Personal Financial Advisors,detailed,*
83593,MT,"Billings, MT",Financial Examiners,detailed,"77,030"
83594,MT,"Billings, MT",Loan Officers,detailed,"65,520"
83595,MT,"Billings, MT",Tax Preparers,detailed,"44,690"
83596,MT,"Billings, MT","Financial Specialists, All Other",detailed,"64,270"
