,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
84400,NC,"Asheville, NC",Chief Executives,detailed,"210,130"
84401,NC,"Asheville, NC",General and Operations Managers,detailed,"111,750"
84402,NC,"Asheville, NC",Marketing Managers,detailed,"87,860"
84403,NC,"Asheville, NC",Sales Managers,detailed,"100,620"
84404,NC,"Asheville, NC",Administrative Services Managers,detailed,"85,770"
84405,NC,"Asheville, NC",Computer and Information Systems Managers,detailed,"109,130"
84406,NC,"Asheville, NC",Financial Managers,detailed,"114,610"
84407,NC,"Asheville, NC",Industrial Production Managers,detailed,"92,190"
84408,NC,"Asheville, NC",Purchasing Managers,detailed,"97,950"
84409,NC,"Asheville, NC","Transportation, Storage, and Distribution Managers",detailed,"97,920"
84410,NC,"Asheville, NC",Human Resources Managers,detailed,"87,020"
84411,NC,"Asheville, NC",Construction Managers,detailed,"85,640"
84412,NC,"Asheville, NC","Education Administrators, Preschool and Childcare Center/Program",detailed,"46,070"
84413,NC,"Asheville, NC","Education Administrators, Elementary and Secondary School",detailed,"69,030"
84414,NC,"Asheville, NC","Education Administrators, Postsecondary",detailed,"84,050"
84415,NC,"Asheville, NC",Architectural and Engineering Managers,detailed,"114,730"
84416,NC,"Asheville, NC",Food Service Managers,detailed,"59,020"
84417,NC,"Asheville, NC",Lodging Managers,detailed,"49,510"
84418,NC,"Asheville, NC",Medical and Health Services Managers,detailed,"100,160"
84419,NC,"Asheville, NC",Postmasters and Mail Superintendents,detailed,"72,340"
84420,NC,"Asheville, NC","Property, Real Estate, and Community Association Managers",detailed,"78,110"
84421,NC,"Asheville, NC",Social and Community Service Managers,detailed,"66,510"
84422,NC,"Asheville, NC","Managers, All Other",detailed,"91,310"
84424,NC,"Asheville, NC","Wholesale and Retail Buyers, Except Farm Products",detailed,"55,900"
84425,NC,"Asheville, NC","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"53,400"
84426,NC,"Asheville, NC","Claims Adjusters, Examiners, and Investigators",detailed,"59,200"
84427,NC,"Asheville, NC",Compliance Officers,detailed,"54,960"
84428,NC,"Asheville, NC",Cost Estimators,detailed,"54,370"
84429,NC,"Asheville, NC",Human Resources Specialists,detailed,"70,680"
