,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
90066,ND,"Bismarck, ND",Chief Executives,detailed,"155,780"
90067,ND,"Bismarck, ND",General and Operations Managers,detailed,"96,660"
90068,ND,"Bismarck, ND",Legislators,detailed,*
90069,ND,"Bismarck, ND",Marketing Managers,detailed,"127,520"
90070,ND,"Bismarck, ND",Sales Managers,detailed,"122,320"
90071,ND,"Bismarck, ND",Public Relations and Fundraising Managers,detailed,"78,160"
90072,ND,"Bismarck, ND",Administrative Services Managers,detailed,"87,880"
90073,ND,"Bismarck, ND",Computer and Information Systems Managers,detailed,"97,880"
90074,ND,"Bismarck, ND",Financial Managers,detailed,"118,180"
90075,ND,"Bismarck, ND","Transportation, Storage, and Distribution Managers",detailed,"92,590"
90076,ND,"Bismarck, ND",Human Resources Managers,detailed,"101,700"
90077,ND,"Bismarck, ND",Construction Managers,detailed,"77,320"
90078,ND,"Bismarck, ND","Education Administrators, Elementary and Secondary School",detailed,"92,900"
90079,ND,"Bismarck, ND","Education Administrators, All Other",detailed,"63,640"
90080,ND,"Bismarck, ND",Architectural and Engineering Managers,detailed,"119,590"
90081,ND,"Bismarck, ND",Food Service Managers,detailed,"50,320"
90082,ND,"Bismarck, ND",Lodging Managers,detailed,"49,800"
90083,ND,"Bismarck, ND",Medical and Health Services Managers,detailed,"77,320"
90084,ND,"Bismarck, ND",Natural Sciences Managers,detailed,"96,890"
90085,ND,"Bismarck, ND","Property, Real Estate, and Community Association Managers",detailed,"54,800"
90086,ND,"Bismarck, ND",Social and Community Service Managers,detailed,"66,130"
90087,ND,"Bismarck, ND",Emergency Management Directors,detailed,"57,510"
90088,ND,"Bismarck, ND","Managers, All Other",detailed,"100,960"
90090,ND,"Bismarck, ND","Wholesale and Retail Buyers, Except Farm Products",detailed,"50,010"
90091,ND,"Bismarck, ND","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"64,600"
90092,ND,"Bismarck, ND","Claims Adjusters, Examiners, and Investigators",detailed,"55,120"
90093,ND,"Bismarck, ND",Compliance Officers,detailed,"56,110"
90094,ND,"Bismarck, ND",Cost Estimators,detailed,"64,080"
90095,ND,"Bismarck, ND",Human Resources Specialists,detailed,"55,610"
90096,ND,"Bismarck, ND",Management Analysts,detailed,"69,390"
90097,ND,"Bismarck, ND","Meeting, Convention, and Event Planners",detailed,"45,140"
90098,ND,"Bismarck, ND",Training and Development Specialists,detailed,"59,050"
90099,ND,"Bismarck, ND",Market Research Analysts and Marketing Specialists,detailed,"65,330"
90100,ND,"Bismarck, ND","Business Operations Specialists, All Other",detailed,"66,240"
90101,ND,"Bismarck, ND",Accountants and Auditors,detailed,"54,680"
90102,ND,"Bismarck, ND",Financial Analysts,detailed,"82,620"
90103,ND,"Bismarck, ND",Personal Financial Advisors,detailed,"83,840"
90104,ND,"Bismarck, ND",Insurance Underwriters,detailed,"59,580"
90105,ND,"Bismarck, ND",Loan Officers,detailed,"65,580"
90106,ND,"Bismarck, ND","Financial Specialists, All Other",detailed,"62,610"
90108,ND,"Bismarck, ND",Computer Systems Analysts,detailed,"65,930"
90109,ND,"Bismarck, ND",Information Security Analysts,detailed,"71,520"
90110,ND,"Bismarck, ND",Computer Programmers,detailed,"63,060"
90111,ND,"Bismarck, ND","Software Developers, Applications",detailed,"86,830"
90112,ND,"Bismarck, ND","Software Developers, Systems Software",detailed,"79,510"
90113,ND,"Bismarck, ND",Database Administrators,detailed,"88,430"
90114,ND,"Bismarck, ND",Network and Computer Systems Administrators,detailed,"69,370"
90115,ND,"Bismarck, ND",Computer User Support Specialists,detailed,"47,110"
90116,ND,"Bismarck, ND",Computer Network Support Specialists,detailed,"48,110"
90117,ND,"Bismarck, ND","Computer Occupations, All Other",detailed,"67,060"
90118,ND,"Bismarck, ND",Statisticians,detailed,"61,400"
90120,ND,"Bismarck, ND","Architects, Except Landscape and Naval",detailed,"60,640"
90121,ND,"Bismarck, ND",Surveyors,detailed,"61,810"
90122,ND,"Bismarck, ND",Civil Engineers,detailed,"78,500"
90123,ND,"Bismarck, ND",Electrical Engineers,detailed,"88,760"
90124,ND,"Bismarck, ND",Environmental Engineers,detailed,"67,990"
90125,ND,"Bismarck, ND",Mechanical Engineers,detailed,"89,730"
90126,ND,"Bismarck, ND",Architectural and Civil Drafters,detailed,"47,990"
90127,ND,"Bismarck, ND",Civil Engineering Technicians,detailed,"51,340"
90128,ND,"Bismarck, ND",Surveying and Mapping Technicians,detailed,"46,900"
90130,ND,"Bismarck, ND",Zoologists and Wildlife Biologists,detailed,*
90131,ND,"Bismarck, ND","Biological Scientists, All Other",detailed,"65,140"
90132,ND,"Bismarck, ND",Conservation Scientists,detailed,"65,180"
90133,ND,"Bismarck, ND",Atmospheric and Space Scientists,detailed,"87,430"
90134,ND,"Bismarck, ND","Environmental Scientists and Specialists, Including Health",detailed,"59,900"
90135,ND,"Bismarck, ND",Urban and Regional Planners,detailed,"68,800"
90136,ND,"Bismarck, ND",Anthropologists and Archeologists,detailed,"38,300"
90137,ND,"Bismarck, ND",Biological Technicians,detailed,"33,530"
90138,ND,"Bismarck, ND","Environmental Science and Protection Technicians, Including Health",detailed,"45,030"
90139,ND,"Bismarck, ND","Life, Physical, and Social Science Technicians, All Other",detailed,"46,450"
90141,ND,"Bismarck, ND",Substance Abuse and Behavioral Disorder Counselors,detailed,"52,220"
90142,ND,"Bismarck, ND","Educational, Guidance, School, and Vocational Counselors",detailed,"56,810"
90143,ND,"Bismarck, ND",Marriage and Family Therapists,detailed,"41,740"
90144,ND,"Bismarck, ND","Child, Family, and School Social Workers",detailed,"52,860"
90145,ND,"Bismarck, ND",Healthcare Social Workers,detailed,"49,050"
90146,ND,"Bismarck, ND",Mental Health and Substance Abuse Social Workers,detailed,"44,620"
90147,ND,"Bismarck, ND",Health Educators,detailed,"54,190"
90148,ND,"Bismarck, ND",Social and Human Service Assistants,detailed,"34,650"
90149,ND,"Bismarck, ND",Community Health Workers,detailed,"33,690"
90151,ND,"Bismarck, ND",Lawyers,detailed,"100,320"
90152,ND,"Bismarck, ND",Paralegals and Legal Assistants,detailed,"47,350"
90154,ND,"Bismarck, ND","Preschool Teachers, Except Special Education",detailed,"43,090"
90155,ND,"Bismarck, ND","Kindergarten Teachers, Except Special Education",detailed,"46,710"
90156,ND,"Bismarck, ND","Elementary School Teachers, Except Special Education",detailed,"50,950"
90157,ND,"Bismarck, ND","Middle School Teachers, Except Special and Career/Technical Education",detailed,"52,600"
90158,ND,"Bismarck, ND","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"51,200"
90159,ND,"Bismarck, ND","Career/Technical Education Teachers, Secondary School",detailed,"52,930"
90160,ND,"Bismarck, ND","Special Education Teachers, Kindergarten and Elementary School",detailed,"53,620"
90161,ND,"Bismarck, ND","Special Education Teachers, Middle School",detailed,"57,020"
90162,ND,"Bismarck, ND","Special Education Teachers, Secondary School",detailed,"53,890"
90163,ND,"Bismarck, ND",Self-Enrichment Education Teachers,detailed,"21,790"
90164,ND,"Bismarck, ND",Librarians,detailed,"51,000"
90165,ND,"Bismarck, ND",Instructional Coordinators,detailed,"59,550"
90166,ND,"Bismarck, ND",Teacher Assistants,detailed,"30,970"
90168,ND,"Bismarck, ND",Graphic Designers,detailed,"33,580"
90169,ND,"Bismarck, ND",Interior Designers,detailed,"43,050"
90170,ND,"Bismarck, ND",Merchandise Displayers and Window Trimmers,detailed,"34,630"
90171,ND,"Bismarck, ND",Producers and Directors,detailed,"38,690"
90172,ND,"Bismarck, ND",Coaches and Scouts,detailed,"26,310"
90173,ND,"Bismarck, ND",Radio and Television Announcers,detailed,"37,760"
90174,ND,"Bismarck, ND",Reporters and Correspondents,detailed,"29,330"
90175,ND,"Bismarck, ND",Public Relations Specialists,detailed,"57,200"
90176,ND,"Bismarck, ND",Editors,detailed,"36,730"
90177,ND,"Bismarck, ND",Writers and Authors,detailed,"40,500"
90179,ND,"Bismarck, ND",Chiropractors,detailed,"56,630"
90180,ND,"Bismarck, ND","Dentists, General",detailed,"219,230"
90181,ND,"Bismarck, ND",Dietitians and Nutritionists,detailed,"53,340"
90182,ND,"Bismarck, ND",Optometrists,detailed,"134,130"
90183,ND,"Bismarck, ND",Pharmacists,detailed,"118,500"
90184,ND,"Bismarck, ND",Family and General Practitioners,detailed,"271,820"
90185,ND,"Bismarck, ND","Physicians and Surgeons, All Other",detailed,"274,010"
90186,ND,"Bismarck, ND",Physician Assistants,detailed,"91,100"
90187,ND,"Bismarck, ND",Occupational Therapists,detailed,"57,350"
90188,ND,"Bismarck, ND",Physical Therapists,detailed,"69,330"
90189,ND,"Bismarck, ND",Speech-Language Pathologists,detailed,"86,060"
90190,ND,"Bismarck, ND",Veterinarians,detailed,"82,450"
90191,ND,"Bismarck, ND",Registered Nurses,detailed,"57,310"
90192,ND,"Bismarck, ND",Nurse Practitioners,detailed,"86,410"
90193,ND,"Bismarck, ND",Medical and Clinical Laboratory Technologists,detailed,"57,910"
90194,ND,"Bismarck, ND",Dental Hygienists,detailed,"67,930"
90195,ND,"Bismarck, ND",Diagnostic Medical Sonographers,detailed,"63,790"
90196,ND,"Bismarck, ND",Radiologic Technologists,detailed,"50,720"
90197,ND,"Bismarck, ND",Emergency Medical Technicians and Paramedics,detailed,"25,660"
90198,ND,"Bismarck, ND",Dietetic Technicians,detailed,"31,500"
90199,ND,"Bismarck, ND",Pharmacy Technicians,detailed,"38,460"
90200,ND,"Bismarck, ND",Surgical Technologists,detailed,"38,670"
90201,ND,"Bismarck, ND",Licensed Practical and Licensed Vocational Nurses,detailed,"43,410"
90202,ND,"Bismarck, ND",Medical Records and Health Information Technicians,detailed,"35,250"
90203,ND,"Bismarck, ND","Opticians, Dispensing",detailed,"28,120"
90204,ND,"Bismarck, ND",Occupational Health and Safety Specialists,detailed,"70,120"
90206,ND,"Bismarck, ND",Home Health Aides,detailed,"29,880"
90207,ND,"Bismarck, ND",Nursing Assistants,detailed,"29,580"
90208,ND,"Bismarck, ND",Physical Therapist Aides,detailed,"25,230"
90209,ND,"Bismarck, ND",Dental Assistants,detailed,"43,990"
90210,ND,"Bismarck, ND",Medical Assistants,detailed,"33,120"
90211,ND,"Bismarck, ND",Medical Transcriptionists,detailed,"37,900"
90212,ND,"Bismarck, ND",Pharmacy Aides,detailed,"24,430"
90213,ND,"Bismarck, ND",Phlebotomists,detailed,"28,870"
90215,ND,"Bismarck, ND",First-Line Supervisors of Correctional Officers,detailed,"52,820"
90216,ND,"Bismarck, ND",First-Line Supervisors of Police and Detectives,detailed,"73,670"
90217,ND,"Bismarck, ND",First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"63,720"
90218,ND,"Bismarck, ND",Firefighters,detailed,"45,530"
90219,ND,"Bismarck, ND",Correctional Officers and Jailers,detailed,"39,530"
90220,ND,"Bismarck, ND",Detectives and Criminal Investigators,detailed,"64,800"
90221,ND,"Bismarck, ND",Police and Sheriff's Patrol Officers,detailed,"52,020"
90222,ND,"Bismarck, ND",Security Guards,detailed,"32,210"
90223,ND,"Bismarck, ND","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"18,770"
90225,ND,"Bismarck, ND",Chefs and Head Cooks,detailed,"43,480"
90226,ND,"Bismarck, ND",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"33,850"
90227,ND,"Bismarck, ND","Cooks, Institution and Cafeteria",detailed,"28,950"
