,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
91037,NE,"Grand Island, NE",General and Operations Managers,detailed,"87,130"
91038,NE,"Grand Island, NE",Legislators,detailed,"18,540"
91039,NE,"Grand Island, NE",Sales Managers,detailed,"108,160"
91040,NE,"Grand Island, NE",Public Relations and Fundraising Managers,detailed,"112,540"
91041,NE,"Grand Island, NE",Financial Managers,detailed,"131,540"
91042,NE,"Grand Island, NE",Industrial Production Managers,detailed,"71,950"
91043,NE,"Grand Island, NE",Construction Managers,detailed,"65,540"
91044,NE,"Grand Island, NE","Education Administrators, Elementary and Secondary School",detailed,"95,430"
91045,NE,"Grand Island, NE",Food Service Managers,detailed,"52,940"
91046,NE,"Grand Island, NE",Medical and Health Services Managers,detailed,"84,490"
91048,NE,"Grand Island, NE","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"45,580"
91049,NE,"Grand Island, NE",Compliance Officers,detailed,"59,140"
91050,NE,"Grand Island, NE",Cost Estimators,detailed,"45,140"
91051,NE,"Grand Island, NE",Human Resources Specialists,detailed,"42,670"
91052,NE,"Grand Island, NE",Training and Development Specialists,detailed,"49,850"
91053,NE,"Grand Island, NE",Market Research Analysts and Marketing Specialists,detailed,"41,940"
91054,NE,"Grand Island, NE","Business Operations Specialists, All Other",detailed,"61,430"
91055,NE,"Grand Island, NE",Accountants and Auditors,detailed,"55,710"
91056,NE,"Grand Island, NE",Financial Examiners,detailed,"83,880"
91057,NE,"Grand Island, NE",Loan Officers,detailed,"76,290"
91059,NE,"Grand Island, NE",Computer Systems Analysts,detailed,"87,600"
91060,NE,"Grand Island, NE",Network and Computer Systems Administrators,detailed,"56,770"
91061,NE,"Grand Island, NE",Computer User Support Specialists,detailed,"39,360"
91063,NE,"Grand Island, NE",Industrial Engineers,detailed,"64,150"
91064,NE,"Grand Island, NE",Mechanical Engineers,detailed,"66,320"
91067,NE,"Grand Island, NE","Educational, Guidance, School, and Vocational Counselors",detailed,"58,660"
91068,NE,"Grand Island, NE",Mental Health Counselors,detailed,*
91069,NE,"Grand Island, NE","Child, Family, and School Social Workers",detailed,"41,040"
91070,NE,"Grand Island, NE",Healthcare Social Workers,detailed,"44,330"
91071,NE,"Grand Island, NE",Social and Human Service Assistants,detailed,"24,100"
91072,NE,"Grand Island, NE",Lawyers,detailed,*
91074,NE,"Grand Island, NE","Preschool Teachers, Except Special Education",detailed,"50,820"
91075,NE,"Grand Island, NE","Kindergarten Teachers, Except Special Education",detailed,"53,960"
91076,NE,"Grand Island, NE","Elementary School Teachers, Except Special Education",detailed,"52,940"
91077,NE,"Grand Island, NE","Middle School Teachers, Except Special and Career/Technical Education",detailed,"53,130"
91078,NE,"Grand Island, NE","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"55,130"
91079,NE,"Grand Island, NE","Career/Technical Education Teachers, Secondary School",detailed,"58,960"
91080,NE,"Grand Island, NE","Special Education Teachers, Kindergarten and Elementary School",detailed,"51,920"
91081,NE,"Grand Island, NE","Special Education Teachers, Secondary School",detailed,"49,090"
91082,NE,"Grand Island, NE",Self-Enrichment Education Teachers,detailed,"33,520"
91083,NE,"Grand Island, NE","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"58,480"
91084,NE,"Grand Island, NE",Substitute Teachers,detailed,"38,750"
91085,NE,"Grand Island, NE",Library Technicians,detailed,"31,390"
91086,NE,"Grand Island, NE",Teacher Assistants,detailed,"25,240"
91088,NE,"Grand Island, NE",Public Relations Specialists,detailed,*
91089,NE,"Grand Island, NE",Chiropractors,detailed,*
91090,NE,"Grand Island, NE",Family and General Practitioners,detailed,"251,330"
91091,NE,"Grand Island, NE","Physicians and Surgeons, All Other",detailed,"242,350"
91092,NE,"Grand Island, NE",Physical Therapists,detailed,"73,050"
91093,NE,"Grand Island, NE",Respiratory Therapists,detailed,"49,760"
91094,NE,"Grand Island, NE",Veterinarians,detailed,"115,790"
91095,NE,"Grand Island, NE",Registered Nurses,detailed,"57,170"
91096,NE,"Grand Island, NE",Nurse Practitioners,detailed,"74,020"
91097,NE,"Grand Island, NE",Medical and Clinical Laboratory Technologists,detailed,"54,110"
91098,NE,"Grand Island, NE",Medical and Clinical Laboratory Technicians,detailed,"34,530"
91099,NE,"Grand Island, NE",Dental Hygienists,detailed,"60,780"
91100,NE,"Grand Island, NE",Radiologic Technologists,detailed,"48,180"
91101,NE,"Grand Island, NE",Pharmacy Technicians,detailed,"30,790"
91102,NE,"Grand Island, NE",Licensed Practical and Licensed Vocational Nurses,detailed,"38,190"
91103,NE,"Grand Island, NE",Medical Records and Health Information Technicians,detailed,"34,410"
91104,NE,"Grand Island, NE","Opticians, Dispensing",detailed,"27,470"
91106,NE,"Grand Island, NE",Home Health Aides,detailed,"23,000"
91107,NE,"Grand Island, NE",Nursing Assistants,detailed,"24,620"
91108,NE,"Grand Island, NE",Physical Therapist Assistants,detailed,"49,820"
91109,NE,"Grand Island, NE",Physical Therapist Aides,detailed,"21,490"
91110,NE,"Grand Island, NE",Dental Assistants,detailed,"33,090"
91111,NE,"Grand Island, NE",Medical Assistants,detailed,"27,580"
91112,NE,"Grand Island, NE",Veterinary Assistants and Laboratory Animal Caretakers,detailed,"27,020"
91114,NE,"Grand Island, NE",Police and Sheriff's Patrol Officers,detailed,"51,140"
91115,NE,"Grand Island, NE",Security Guards,detailed,"22,700"
91117,NE,"Grand Island, NE",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"29,480"
91118,NE,"Grand Island, NE","Cooks, Fast Food",detailed,"19,460"
91119,NE,"Grand Island, NE","Cooks, Institution and Cafeteria",detailed,"24,010"
91120,NE,"Grand Island, NE","Cooks, Restaurant",detailed,"22,720"
91121,NE,"Grand Island, NE","Cooks, Short Order",detailed,"28,830"
91122,NE,"Grand Island, NE",Food Preparation Workers,detailed,"20,240"
91123,NE,"Grand Island, NE",Bartenders,detailed,"18,400"
91124,NE,"Grand Island, NE","Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"18,840"
91125,NE,"Grand Island, NE","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"19,880"
91126,NE,"Grand Island, NE",Waiters and Waitresses,detailed,"18,790"
91127,NE,"Grand Island, NE","Food Servers, Nonrestaurant",detailed,"22,440"
91128,NE,"Grand Island, NE",Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"18,560"
91129,NE,"Grand Island, NE",Dishwashers,detailed,"19,910"
91130,NE,"Grand Island, NE","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"20,240"
91132,NE,"Grand Island, NE",First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"29,030"
91133,NE,"Grand Island, NE","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"23,970"
91134,NE,"Grand Island, NE",Maids and Housekeeping Cleaners,detailed,"19,220"
91135,NE,"Grand Island, NE",Landscaping and Groundskeeping Workers,detailed,"26,600"
91137,NE,"Grand Island, NE",First-Line Supervisors of Personal Service Workers,detailed,"27,320"
91138,NE,"Grand Island, NE",Nonfarm Animal Caretakers,detailed,"19,280"
91139,NE,"Grand Island, NE","Hairdressers, Hairstylists, and Cosmetologists",detailed,"23,370"
91140,NE,"Grand Island, NE",Childcare Workers,detailed,"18,360"
91141,NE,"Grand Island, NE",Personal Care Aides,detailed,"22,250"
91142,NE,"Grand Island, NE",Recreation Workers,detailed,"23,320"
91144,NE,"Grand Island, NE",First-Line Supervisors of Retail Sales Workers,detailed,"39,140"
91145,NE,"Grand Island, NE",First-Line Supervisors of Non-Retail Sales Workers,detailed,"81,660"
91146,NE,"Grand Island, NE",Cashiers,detailed,"19,780"
91147,NE,"Grand Island, NE",Counter and Rental Clerks,detailed,"24,240"
91148,NE,"Grand Island, NE",Parts Salespersons,detailed,"37,610"
91149,NE,"Grand Island, NE",Retail Salespersons,detailed,"25,530"
91150,NE,"Grand Island, NE",Advertising Sales Agents,detailed,"39,530"
91151,NE,"Grand Island, NE",Insurance Sales Agents,detailed,"58,270"
91152,NE,"Grand Island, NE","Securities, Commodities, and Financial Services Sales Agents",detailed,"61,020"
91153,NE,"Grand Island, NE","Sales Representatives, Services, All Other",detailed,"45,910"
91154,NE,"Grand Island, NE","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"38,380"
91155,NE,"Grand Island, NE","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"58,760"
91157,NE,"Grand Island, NE",First-Line Supervisors of Office and Administrative Support Workers,detailed,"43,740"
91158,NE,"Grand Island, NE",Billing and Posting Clerks,detailed,"32,920"
91159,NE,"Grand Island, NE","Bookkeeping, Accounting, and Auditing Clerks",detailed,"31,600"
91160,NE,"Grand Island, NE",Tellers,detailed,"23,530"
91161,NE,"Grand Island, NE","Court, Municipal, and License Clerks",detailed,"28,700"
91162,NE,"Grand Island, NE",Customer Service Representatives,detailed,"25,340"
91163,NE,"Grand Island, NE",File Clerks,detailed,"26,830"
91164,NE,"Grand Island, NE","Hotel, Motel, and Resort Desk Clerks",detailed,"21,220"
91165,NE,"Grand Island, NE","Interviewers, Except Eligibility and Loan",detailed,"29,720"
91166,NE,"Grand Island, NE",Loan Interviewers and Clerks,detailed,"35,280"
91167,NE,"Grand Island, NE",New Accounts Clerks,detailed,"35,390"
91168,NE,"Grand Island, NE","Human Resources Assistants, Except Payroll and Timekeeping",detailed,"32,220"
91169,NE,"Grand Island, NE",Receptionists and Information Clerks,detailed,"26,100"
91170,NE,"Grand Island, NE",Couriers and Messengers,detailed,"24,980"
91171,NE,"Grand Island, NE","Dispatchers, Except Police, Fire, and Ambulance",detailed,"38,060"
91172,NE,"Grand Island, NE",Postal Service Mail Carriers,detailed,"48,010"
91173,NE,"Grand Island, NE","Production, Planning, and Expediting Clerks",detailed,"36,510"
91174,NE,"Grand Island, NE","Shipping, Receiving, and Traffic Clerks",detailed,"32,780"
91175,NE,"Grand Island, NE",Stock Clerks and Order Fillers,detailed,"22,330"
91176,NE,"Grand Island, NE",Executive Secretaries and Executive Administrative Assistants,detailed,"41,190"
91177,NE,"Grand Island, NE","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"30,700"
91178,NE,"Grand Island, NE",Computer Operators,detailed,"27,820"
91179,NE,"Grand Island, NE",Data Entry Keyers,detailed,"24,240"
91180,NE,"Grand Island, NE","Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"18,750"
91181,NE,"Grand Island, NE","Office Clerks, General",detailed,"25,080"
91183,NE,"Grand Island, NE",Agricultural Inspectors,detailed,"42,600"
91184,NE,"Grand Island, NE",Agricultural Equipment Operators,detailed,"29,590"
91185,NE,"Grand Island, NE","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"42,630"
91187,NE,"Grand Island, NE",First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"48,960"
91188,NE,"Grand Island, NE",Carpenters,detailed,"31,490"
91189,NE,"Grand Island, NE",Cement Masons and Concrete Finishers,detailed,"33,440"
91190,NE,"Grand Island, NE",Construction Laborers,detailed,"27,150"
91191,NE,"Grand Island, NE","Paving, Surfacing, and Tamping Equipment Operators",detailed,"37,280"
91192,NE,"Grand Island, NE",Operating Engineers and Other Construction Equipment Operators,detailed,"36,740"
91193,NE,"Grand Island, NE",Drywall and Ceiling Tile Installers,detailed,"32,360"
91194,NE,"Grand Island, NE",Electricians,detailed,"30,600"
91195,NE,"Grand Island, NE","Painters, Construction and Maintenance",detailed,"31,340"
91196,NE,"Grand Island, NE","Plumbers, Pipefitters, and Steamfitters",detailed,"37,910"
91197,NE,"Grand Island, NE",Roofers,detailed,"27,100"
91198,NE,"Grand Island, NE",Structural Iron and Steel Workers,detailed,"36,230"
91199,NE,"Grand Island, NE",Highway Maintenance Workers,detailed,"33,470"
91201,NE,"Grand Island, NE","First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"56,620"
91202,NE,"Grand Island, NE",Automotive Body and Related Repairers,detailed,"43,610"
91203,NE,"Grand Island, NE",Automotive Service Technicians and Mechanics,detailed,"40,390"
91204,NE,"Grand Island, NE",Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"36,880"
91205,NE,"Grand Island, NE",Farm Equipment Mechanics and Service Technicians,detailed,"37,590"
91206,NE,"Grand Island, NE","Mobile Heavy Equipment Mechanics, Except Engines",detailed,"42,740"
91207,NE,"Grand Island, NE",Tire Repairers and Changers,detailed,"25,190"
91208,NE,"Grand Island, NE","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,"44,460"
91209,NE,"Grand Island, NE",Industrial Machinery Mechanics,detailed,"50,130"
91210,NE,"Grand Island, NE","Maintenance and Repair Workers, General",detailed,"36,400"
91212,NE,"Grand Island, NE",First-Line Supervisors of Production and Operating Workers,detailed,"47,230"
91213,NE,"Grand Island, NE","Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,"35,590"
91214,NE,"Grand Island, NE","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"31,870"
91215,NE,"Grand Island, NE",Tool and Die Makers,detailed,"42,370"
91216,NE,"Grand Island, NE","Welders, Cutters, Solderers, and Brazers",detailed,"35,080"
91217,NE,"Grand Island, NE",Laundry and Dry-Cleaning Workers,detailed,"26,660"
91218,NE,"Grand Island, NE",Cabinetmakers and Bench Carpenters,detailed,"33,590"
91219,NE,"Grand Island, NE",Water and Wastewater Treatment Plant and System Operators,detailed,"41,910"
91220,NE,"Grand Island, NE",Chemical Equipment Operators and Tenders,detailed,"41,130"
91221,NE,"Grand Island, NE","Mixing and Blending Machine Setters, Operators, and Tenders",detailed,"34,800"
91222,NE,"Grand Island, NE","Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,"34,120"
91223,NE,"Grand Island, NE",Packaging and Filling Machine Operators and Tenders,detailed,"31,560"
91224,NE,"Grand Island, NE","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,"42,160"
91225,NE,"Grand Island, NE",Helpers--Production Workers,detailed,"24,650"
