,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
92249,NH,"Dover-Durham, NH-ME",Chief Executives,detailed,"195,630"
92250,NH,"Dover-Durham, NH-ME",General and Operations Managers,detailed,"111,370"
92251,NH,"Dover-Durham, NH-ME",Marketing Managers,detailed,"136,680"
92252,NH,"Dover-Durham, NH-ME",Sales Managers,detailed,"130,330"
92253,NH,"Dover-Durham, NH-ME",Administrative Services Managers,detailed,"93,870"
92254,NH,"Dover-Durham, NH-ME",Computer and Information Systems Managers,detailed,"134,230"
92255,NH,"Dover-Durham, NH-ME",Financial Managers,detailed,"106,170"
92256,NH,"Dover-Durham, NH-ME",Industrial Production Managers,detailed,"91,170"
92257,NH,"Dover-Durham, NH-ME","Education Administrators, Preschool and Childcare Center/Program",detailed,"45,430"
92258,NH,"Dover-Durham, NH-ME","Education Administrators, Elementary and Secondary School",detailed,"86,540"
92259,NH,"Dover-Durham, NH-ME","Education Administrators, Postsecondary",detailed,*
92260,NH,"Dover-Durham, NH-ME",Architectural and Engineering Managers,detailed,"115,560"
92261,NH,"Dover-Durham, NH-ME",Food Service Managers,detailed,"45,860"
92262,NH,"Dover-Durham, NH-ME",Lodging Managers,detailed,"66,670"
92263,NH,"Dover-Durham, NH-ME",Medical and Health Services Managers,detailed,"96,080"
92264,NH,"Dover-Durham, NH-ME","Property, Real Estate, and Community Association Managers",detailed,"50,130"
92265,NH,"Dover-Durham, NH-ME",Social and Community Service Managers,detailed,"51,700"
92266,NH,"Dover-Durham, NH-ME","Managers, All Other",detailed,"101,290"
92268,NH,"Dover-Durham, NH-ME","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,140"
92269,NH,"Dover-Durham, NH-ME","Claims Adjusters, Examiners, and Investigators",detailed,"69,720"
92270,NH,"Dover-Durham, NH-ME",Compliance Officers,detailed,"62,360"
92271,NH,"Dover-Durham, NH-ME",Cost Estimators,detailed,"80,890"
