,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
93617,NJ,"Atlantic City-Hammonton, NJ",General and Operations Managers,detailed,"123,700"
93618,NJ,"Atlantic City-Hammonton, NJ",Legislators,detailed,"40,560"
93619,NJ,"Atlantic City-Hammonton, NJ",Advertising and Promotions Managers,detailed,"136,600"
93620,NJ,"Atlantic City-Hammonton, NJ",Marketing Managers,detailed,"130,070"
93621,NJ,"Atlantic City-Hammonton, NJ",Sales Managers,detailed,"128,400"
93622,NJ,"Atlantic City-Hammonton, NJ",Administrative Services Managers,detailed,"103,620"
93623,NJ,"Atlantic City-Hammonton, NJ",Computer and Information Systems Managers,detailed,"132,490"
93624,NJ,"Atlantic City-Hammonton, NJ",Financial Managers,detailed,"123,040"
93625,NJ,"Atlantic City-Hammonton, NJ",Purchasing Managers,detailed,"105,570"
93626,NJ,"Atlantic City-Hammonton, NJ","Transportation, Storage, and Distribution Managers",detailed,*
93627,NJ,"Atlantic City-Hammonton, NJ",Human Resources Managers,detailed,"108,210"
93628,NJ,"Atlantic City-Hammonton, NJ",Construction Managers,detailed,"162,280"
93629,NJ,"Atlantic City-Hammonton, NJ","Education Administrators, Elementary and Secondary School",detailed,"118,200"
93630,NJ,"Atlantic City-Hammonton, NJ",Architectural and Engineering Managers,detailed,"135,760"
93631,NJ,"Atlantic City-Hammonton, NJ",Food Service Managers,detailed,"80,930"
93632,NJ,"Atlantic City-Hammonton, NJ",Gaming Managers,detailed,"82,830"
93633,NJ,"Atlantic City-Hammonton, NJ",Medical and Health Services Managers,detailed,"105,500"
93634,NJ,"Atlantic City-Hammonton, NJ","Property, Real Estate, and Community Association Managers",detailed,"91,860"
93635,NJ,"Atlantic City-Hammonton, NJ",Social and Community Service Managers,detailed,"83,110"
93636,NJ,"Atlantic City-Hammonton, NJ","Managers, All Other",detailed,"113,300"
93638,NJ,"Atlantic City-Hammonton, NJ","Wholesale and Retail Buyers, Except Farm Products",detailed,"73,000"
93639,NJ,"Atlantic City-Hammonton, NJ","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"67,990"
93640,NJ,"Atlantic City-Hammonton, NJ","Claims Adjusters, Examiners, and Investigators",detailed,"48,900"
93641,NJ,"Atlantic City-Hammonton, NJ",Compliance Officers,detailed,"58,290"
93642,NJ,"Atlantic City-Hammonton, NJ",Cost Estimators,detailed,"69,530"
93643,NJ,"Atlantic City-Hammonton, NJ",Human Resources Specialists,detailed,"61,030"
93644,NJ,"Atlantic City-Hammonton, NJ",Labor Relations Specialists,detailed,*
93645,NJ,"Atlantic City-Hammonton, NJ",Logisticians,detailed,"80,890"
93646,NJ,"Atlantic City-Hammonton, NJ",Management Analysts,detailed,"79,340"
93647,NJ,"Atlantic City-Hammonton, NJ","Meeting, Convention, and Event Planners",detailed,"39,650"
93648,NJ,"Atlantic City-Hammonton, NJ",Fundraisers,detailed,"61,490"
93649,NJ,"Atlantic City-Hammonton, NJ","Compensation, Benefits, and Job Analysis Specialists",detailed,"53,370"
93650,NJ,"Atlantic City-Hammonton, NJ",Training and Development Specialists,detailed,"77,130"
93651,NJ,"Atlantic City-Hammonton, NJ",Market Research Analysts and Marketing Specialists,detailed,"56,540"
93652,NJ,"Atlantic City-Hammonton, NJ","Business Operations Specialists, All Other",detailed,"71,550"
93653,NJ,"Atlantic City-Hammonton, NJ",Accountants and Auditors,detailed,"66,730"
93654,NJ,"Atlantic City-Hammonton, NJ",Appraisers and Assessors of Real Estate,detailed,"76,030"
93655,NJ,"Atlantic City-Hammonton, NJ",Budget Analysts,detailed,"66,990"
93656,NJ,"Atlantic City-Hammonton, NJ",Financial Analysts,detailed,"87,960"
93657,NJ,"Atlantic City-Hammonton, NJ",Personal Financial Advisors,detailed,"140,730"
93658,NJ,"Atlantic City-Hammonton, NJ",Loan Officers,detailed,"79,140"
93659,NJ,"Atlantic City-Hammonton, NJ","Tax Examiners and Collectors, and Revenue Agents",detailed,"76,700"
93660,NJ,"Atlantic City-Hammonton, NJ","Financial Specialists, All Other",detailed,"56,760"
93662,NJ,"Atlantic City-Hammonton, NJ",Computer and Information Research Scientists,detailed,"116,690"
93663,NJ,"Atlantic City-Hammonton, NJ",Computer Systems Analysts,detailed,"87,080"
93664,NJ,"Atlantic City-Hammonton, NJ",Computer Programmers,detailed,"69,230"
93665,NJ,"Atlantic City-Hammonton, NJ","Software Developers, Applications",detailed,"92,450"
93666,NJ,"Atlantic City-Hammonton, NJ","Software Developers, Systems Software",detailed,"99,050"
