,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
96138,NM,"Albuquerque, NM",General and Operations Managers,detailed,"101,070"
96139,NM,"Albuquerque, NM",Legislators,detailed,"21,010"
96140,NM,"Albuquerque, NM",Advertising and Promotions Managers,detailed,"60,220"
96141,NM,"Albuquerque, NM",Marketing Managers,detailed,"82,590"
96142,NM,"Albuquerque, NM",Sales Managers,detailed,"100,310"
96143,NM,"Albuquerque, NM",Public Relations and Fundraising Managers,detailed,"87,850"
96144,NM,"Albuquerque, NM",Administrative Services Managers,detailed,"82,030"
96145,NM,"Albuquerque, NM",Computer and Information Systems Managers,detailed,"109,270"
96146,NM,"Albuquerque, NM",Financial Managers,detailed,"103,230"
96147,NM,"Albuquerque, NM",Industrial Production Managers,detailed,"90,640"
96148,NM,"Albuquerque, NM",Purchasing Managers,detailed,"88,520"
96149,NM,"Albuquerque, NM","Transportation, Storage, and Distribution Managers",detailed,"87,680"
96150,NM,"Albuquerque, NM",Compensation and Benefits Managers,detailed,"98,210"
96151,NM,"Albuquerque, NM",Human Resources Managers,detailed,"91,850"
96152,NM,"Albuquerque, NM",Training and Development Managers,detailed,"91,750"
96153,NM,"Albuquerque, NM",Construction Managers,detailed,"77,810"
96154,NM,"Albuquerque, NM","Education Administrators, Preschool and Childcare Center/Program",detailed,"46,810"
96155,NM,"Albuquerque, NM","Education Administrators, Elementary and Secondary School",detailed,"76,880"
96156,NM,"Albuquerque, NM","Education Administrators, Postsecondary",detailed,"104,820"
96157,NM,"Albuquerque, NM","Education Administrators, All Other",detailed,"76,540"
96158,NM,"Albuquerque, NM",Architectural and Engineering Managers,detailed,"140,130"
96159,NM,"Albuquerque, NM",Food Service Managers,detailed,"47,760"
96160,NM,"Albuquerque, NM",Funeral Service Managers,detailed,"56,420"
96161,NM,"Albuquerque, NM",Gaming Managers,detailed,"62,830"
96162,NM,"Albuquerque, NM",Medical and Health Services Managers,detailed,"100,380"
96163,NM,"Albuquerque, NM",Natural Sciences Managers,detailed,"106,760"
96164,NM,"Albuquerque, NM","Property, Real Estate, and Community Association Managers",detailed,"53,860"
96165,NM,"Albuquerque, NM",Social and Community Service Managers,detailed,"60,890"
96166,NM,"Albuquerque, NM","Managers, All Other",detailed,"87,360"
96168,NM,"Albuquerque, NM","Agents and Business Managers of Artists, Performers, and Athletes",detailed,"68,740"
96169,NM,"Albuquerque, NM","Buyers and Purchasing Agents, Farm Products",detailed,"43,550"
96170,NM,"Albuquerque, NM","Wholesale and Retail Buyers, Except Farm Products",detailed,"54,890"
96171,NM,"Albuquerque, NM","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"66,050"
96172,NM,"Albuquerque, NM","Claims Adjusters, Examiners, and Investigators",detailed,"57,270"
96173,NM,"Albuquerque, NM","Insurance Appraisers, Auto Damage",detailed,"49,430"
96174,NM,"Albuquerque, NM",Compliance Officers,detailed,"64,550"
96175,NM,"Albuquerque, NM",Cost Estimators,detailed,"57,300"
96176,NM,"Albuquerque, NM",Human Resources Specialists,detailed,"60,420"
96177,NM,"Albuquerque, NM",Labor Relations Specialists,detailed,"39,840"
96178,NM,"Albuquerque, NM",Logisticians,detailed,"68,290"
96179,NM,"Albuquerque, NM",Management Analysts,detailed,"74,930"
96180,NM,"Albuquerque, NM","Meeting, Convention, and Event Planners",detailed,"44,860"
96181,NM,"Albuquerque, NM",Fundraisers,detailed,"53,650"
96182,NM,"Albuquerque, NM","Compensation, Benefits, and Job Analysis Specialists",detailed,"52,600"
96183,NM,"Albuquerque, NM",Training and Development Specialists,detailed,"59,350"
96184,NM,"Albuquerque, NM",Market Research Analysts and Marketing Specialists,detailed,"52,330"
96185,NM,"Albuquerque, NM","Business Operations Specialists, All Other",detailed,"68,880"
96186,NM,"Albuquerque, NM",Accountants and Auditors,detailed,"67,090"
96187,NM,"Albuquerque, NM",Appraisers and Assessors of Real Estate,detailed,"48,450"
96188,NM,"Albuquerque, NM",Budget Analysts,detailed,"72,820"
96189,NM,"Albuquerque, NM",Credit Analysts,detailed,"77,290"
96190,NM,"Albuquerque, NM",Financial Analysts,detailed,"79,490"
96191,NM,"Albuquerque, NM",Personal Financial Advisors,detailed,"128,110"
96192,NM,"Albuquerque, NM",Insurance Underwriters,detailed,"60,820"
96193,NM,"Albuquerque, NM",Financial Examiners,detailed,"70,860"
96194,NM,"Albuquerque, NM",Credit Counselors,detailed,"44,640"
96195,NM,"Albuquerque, NM",Loan Officers,detailed,"53,590"
96196,NM,"Albuquerque, NM","Tax Examiners and Collectors, and Revenue Agents",detailed,"46,620"
96197,NM,"Albuquerque, NM",Tax Preparers,detailed,"42,680"
96198,NM,"Albuquerque, NM","Financial Specialists, All Other",detailed,"59,400"
96200,NM,"Albuquerque, NM",Computer and Information Research Scientists,detailed,"86,680"
96201,NM,"Albuquerque, NM",Computer Systems Analysts,detailed,"74,450"
96202,NM,"Albuquerque, NM",Information Security Analysts,detailed,"104,230"
96203,NM,"Albuquerque, NM",Computer Programmers,detailed,"106,060"
96204,NM,"Albuquerque, NM","Software Developers, Applications",detailed,"82,160"
96205,NM,"Albuquerque, NM","Software Developers, Systems Software",detailed,"96,130"
96206,NM,"Albuquerque, NM",Web Developers,detailed,"52,340"
96207,NM,"Albuquerque, NM",Database Administrators,detailed,"74,450"
96208,NM,"Albuquerque, NM",Network and Computer Systems Administrators,detailed,"71,730"
96209,NM,"Albuquerque, NM",Computer Network Architects,detailed,"104,410"
96210,NM,"Albuquerque, NM",Computer User Support Specialists,detailed,"44,440"
