,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
97490,NV,"Carson City, NV",Chief Executives,detailed,"153,820"
97491,NV,"Carson City, NV",General and Operations Managers,detailed,"91,110"
97492,NV,"Carson City, NV",Sales Managers,detailed,"121,920"
97493,NV,"Carson City, NV",Administrative Services Managers,detailed,"78,120"
97494,NV,"Carson City, NV",Computer and Information Systems Managers,detailed,"88,240"
97495,NV,"Carson City, NV",Financial Managers,detailed,"79,800"
97496,NV,"Carson City, NV",Construction Managers,detailed,"86,200"
97497,NV,"Carson City, NV","Education Administrators, Elementary and Secondary School",detailed,"88,600"
97498,NV,"Carson City, NV",Architectural and Engineering Managers,detailed,"95,830"
97499,NV,"Carson City, NV",Medical and Health Services Managers,detailed,"96,980"
97500,NV,"Carson City, NV","Property, Real Estate, and Community Association Managers",detailed,"40,710"
97501,NV,"Carson City, NV",Social and Community Service Managers,detailed,"71,650"
97502,NV,"Carson City, NV","Managers, All Other",detailed,"94,130"
97504,NV,"Carson City, NV","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"59,320"
97505,NV,"Carson City, NV",Compliance Officers,detailed,"64,960"
97506,NV,"Carson City, NV",Cost Estimators,detailed,"45,450"
97507,NV,"Carson City, NV",Human Resources Specialists,detailed,"53,250"
97508,NV,"Carson City, NV",Management Analysts,detailed,"59,580"
97509,NV,"Carson City, NV",Training and Development Specialists,detailed,"63,660"
97510,NV,"Carson City, NV",Market Research Analysts and Marketing Specialists,detailed,"47,410"
97511,NV,"Carson City, NV","Business Operations Specialists, All Other",detailed,"63,610"
97512,NV,"Carson City, NV",Accountants and Auditors,detailed,"64,800"
97513,NV,"Carson City, NV",Budget Analysts,detailed,"65,570"
97514,NV,"Carson City, NV",Loan Officers,detailed,"60,870"
97515,NV,"Carson City, NV","Financial Specialists, All Other",detailed,"65,120"
97517,NV,"Carson City, NV","Software Developers, Applications",detailed,"72,880"
97518,NV,"Carson City, NV",Network and Computer Systems Administrators,detailed,"65,540"
97519,NV,"Carson City, NV",Computer User Support Specialists,detailed,"43,150"
97520,NV,"Carson City, NV",Computer Network Support Specialists,detailed,"39,720"
97522,NV,"Carson City, NV",Civil Engineers,detailed,"70,370"
97523,NV,"Carson City, NV",Mechanical Engineers,detailed,"78,170"
97524,NV,"Carson City, NV",Civil Engineering Technicians,detailed,"47,170"
97526,NV,"Carson City, NV","Environmental Scientists and Specialists, Including Health",detailed,"61,160"
97528,NV,"Carson City, NV",Social and Human Service Assistants,detailed,"32,950"
97529,NV,"Carson City, NV","Community and Social Service Specialists, All Other",detailed,*
97531,NV,"Carson City, NV",Lawyers,detailed,"99,970"
97532,NV,"Carson City, NV",Paralegals and Legal Assistants,detailed,"52,070"
97534,NV,"Carson City, NV",Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"43,790"
97535,NV,"Carson City, NV",Self-Enrichment Education Teachers,detailed,"43,100"
97536,NV,"Carson City, NV","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"35,820"
97537,NV,"Carson City, NV","Education, Training, and Library Workers, All Other",detailed,"58,470"
97539,NV,"Carson City, NV",Public Relations Specialists,detailed,"64,630"
97541,NV,"Carson City, NV",Pharmacists,detailed,"131,710"
97542,NV,"Carson City, NV",Physical Therapists,detailed,"88,720"
97543,NV,"Carson City, NV",Respiratory Therapists,detailed,"75,230"
97544,NV,"Carson City, NV",Registered Nurses,detailed,"79,720"
97545,NV,"Carson City, NV",Dental Hygienists,detailed,"85,060"
97546,NV,"Carson City, NV",Pharmacy Technicians,detailed,"34,920"
97547,NV,"Carson City, NV",Licensed Practical and Licensed Vocational Nurses,detailed,"54,320"
97548,NV,"Carson City, NV",Medical Records and Health Information Technicians,detailed,"41,930"
97550,NV,"Carson City, NV",Nursing Assistants,detailed,"31,700"
97551,NV,"Carson City, NV",Dental Assistants,detailed,"39,020"
97552,NV,"Carson City, NV",Medical Assistants,detailed,"33,990"
97554,NV,"Carson City, NV",First-Line Supervisors of Police and Detectives,detailed,"80,230"
97555,NV,"Carson City, NV",Correctional Officers and Jailers,detailed,"45,580"
97556,NV,"Carson City, NV",Detectives and Criminal Investigators,detailed,"68,560"
97557,NV,"Carson City, NV",Security Guards,detailed,"26,910"
97558,NV,"Carson City, NV","Protective Service Workers, All Other",detailed,"41,260"
97560,NV,"Carson City, NV",Chefs and Head Cooks,detailed,"50,390"
97561,NV,"Carson City, NV",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"36,110"
97562,NV,"Carson City, NV","Cooks, Fast Food",detailed,"18,120"
97563,NV,"Carson City, NV","Cooks, Institution and Cafeteria",detailed,"29,570"
