,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
98721,NY,"Albany-Schenectady-Troy, NY",Chief Executives,detailed,"146,820"
98722,NY,"Albany-Schenectady-Troy, NY",General and Operations Managers,detailed,"115,800"
98723,NY,"Albany-Schenectady-Troy, NY",Legislators,detailed,"87,950"
98724,NY,"Albany-Schenectady-Troy, NY",Advertising and Promotions Managers,detailed,"92,820"
98725,NY,"Albany-Schenectady-Troy, NY",Marketing Managers,detailed,"158,390"
98726,NY,"Albany-Schenectady-Troy, NY",Sales Managers,detailed,"137,150"
98727,NY,"Albany-Schenectady-Troy, NY",Public Relations and Fundraising Managers,detailed,"97,810"
98728,NY,"Albany-Schenectady-Troy, NY",Administrative Services Managers,detailed,"96,250"
98729,NY,"Albany-Schenectady-Troy, NY",Computer and Information Systems Managers,detailed,"123,560"
98730,NY,"Albany-Schenectady-Troy, NY",Financial Managers,detailed,"127,260"
98731,NY,"Albany-Schenectady-Troy, NY",Industrial Production Managers,detailed,"147,830"
98732,NY,"Albany-Schenectady-Troy, NY",Purchasing Managers,detailed,"94,840"
98733,NY,"Albany-Schenectady-Troy, NY","Transportation, Storage, and Distribution Managers",detailed,"84,210"
98734,NY,"Albany-Schenectady-Troy, NY",Compensation and Benefits Managers,detailed,"107,520"
98735,NY,"Albany-Schenectady-Troy, NY",Human Resources Managers,detailed,"97,490"
98736,NY,"Albany-Schenectady-Troy, NY",Training and Development Managers,detailed,"101,980"
98737,NY,"Albany-Schenectady-Troy, NY",Construction Managers,detailed,"79,640"
98738,NY,"Albany-Schenectady-Troy, NY","Education Administrators, Preschool and Childcare Center/Program",detailed,"43,790"
98739,NY,"Albany-Schenectady-Troy, NY","Education Administrators, Elementary and Secondary School",detailed,"104,170"
98740,NY,"Albany-Schenectady-Troy, NY","Education Administrators, Postsecondary",detailed,"107,130"
98741,NY,"Albany-Schenectady-Troy, NY","Education Administrators, All Other",detailed,"88,060"
98742,NY,"Albany-Schenectady-Troy, NY",Architectural and Engineering Managers,detailed,"147,260"
98743,NY,"Albany-Schenectady-Troy, NY",Food Service Managers,detailed,"56,750"
