,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
104743,OH,"Akron, OH",Chief Executives,detailed,"215,490"
104744,OH,"Akron, OH",General and Operations Managers,detailed,"111,060"
104745,OH,"Akron, OH",Legislators,detailed,"28,440"
104746,OH,"Akron, OH",Advertising and Promotions Managers,detailed,"63,900"
104747,OH,"Akron, OH",Marketing Managers,detailed,"121,250"
104748,OH,"Akron, OH",Sales Managers,detailed,"126,600"
104749,OH,"Akron, OH",Public Relations and Fundraising Managers,detailed,"101,570"
104750,OH,"Akron, OH",Administrative Services Managers,detailed,"88,700"
104751,OH,"Akron, OH",Computer and Information Systems Managers,detailed,"127,870"
104752,OH,"Akron, OH",Financial Managers,detailed,"116,320"
104753,OH,"Akron, OH",Industrial Production Managers,detailed,"94,620"
104754,OH,"Akron, OH",Purchasing Managers,detailed,"117,640"
104755,OH,"Akron, OH","Transportation, Storage, and Distribution Managers",detailed,"97,440"
104756,OH,"Akron, OH",Compensation and Benefits Managers,detailed,"109,400"
104757,OH,"Akron, OH",Human Resources Managers,detailed,"115,900"
104758,OH,"Akron, OH",Training and Development Managers,detailed,"89,500"
104759,OH,"Akron, OH",Construction Managers,detailed,"86,440"
104760,OH,"Akron, OH","Education Administrators, Preschool and Childcare Center/Program",detailed,"41,800"
104761,OH,"Akron, OH","Education Administrators, Elementary and Secondary School",detailed,"87,060"
104762,OH,"Akron, OH","Education Administrators, Postsecondary",detailed,"102,010"
104763,OH,"Akron, OH","Education Administrators, All Other",detailed,"49,770"
104764,OH,"Akron, OH",Architectural and Engineering Managers,detailed,"123,610"
104765,OH,"Akron, OH",Food Service Managers,detailed,"53,720"
104766,OH,"Akron, OH",Funeral Service Managers,detailed,"106,320"
104767,OH,"Akron, OH",Lodging Managers,detailed,"46,770"
104768,OH,"Akron, OH",Medical and Health Services Managers,detailed,"103,690"
104769,OH,"Akron, OH",Natural Sciences Managers,detailed,"110,600"
104770,OH,"Akron, OH","Property, Real Estate, and Community Association Managers",detailed,"68,540"
104771,OH,"Akron, OH",Social and Community Service Managers,detailed,"70,120"
104772,OH,"Akron, OH","Managers, All Other",detailed,"121,850"
104774,OH,"Akron, OH","Wholesale and Retail Buyers, Except Farm Products",detailed,"52,320"
104775,OH,"Akron, OH","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"64,720"
104776,OH,"Akron, OH","Claims Adjusters, Examiners, and Investigators",detailed,"59,060"
104777,OH,"Akron, OH",Compliance Officers,detailed,"60,180"
104778,OH,"Akron, OH",Cost Estimators,detailed,"59,750"
104779,OH,"Akron, OH",Human Resources Specialists,detailed,"56,900"
104780,OH,"Akron, OH",Labor Relations Specialists,detailed,"41,510"
104781,OH,"Akron, OH",Logisticians,detailed,"68,280"
104782,OH,"Akron, OH",Management Analysts,detailed,"76,320"
104783,OH,"Akron, OH","Meeting, Convention, and Event Planners",detailed,"39,490"
104784,OH,"Akron, OH",Fundraisers,detailed,"49,150"
104785,OH,"Akron, OH","Compensation, Benefits, and Job Analysis Specialists",detailed,"52,950"
104786,OH,"Akron, OH",Training and Development Specialists,detailed,"60,200"
104787,OH,"Akron, OH",Market Research Analysts and Marketing Specialists,detailed,"63,050"
104788,OH,"Akron, OH","Business Operations Specialists, All Other",detailed,"62,550"
104789,OH,"Akron, OH",Accountants and Auditors,detailed,"68,940"
104790,OH,"Akron, OH",Appraisers and Assessors of Real Estate,detailed,"44,770"
104791,OH,"Akron, OH",Budget Analysts,detailed,"68,500"
104792,OH,"Akron, OH",Credit Analysts,detailed,"68,940"
104793,OH,"Akron, OH",Financial Analysts,detailed,"72,300"
104794,OH,"Akron, OH",Personal Financial Advisors,detailed,"114,470"
104795,OH,"Akron, OH",Insurance Underwriters,detailed,"62,540"
104796,OH,"Akron, OH",Financial Examiners,detailed,"104,490"
104797,OH,"Akron, OH",Credit Counselors,detailed,"45,530"
104798,OH,"Akron, OH",Loan Officers,detailed,"61,690"
104799,OH,"Akron, OH","Tax Examiners and Collectors, and Revenue Agents",detailed,"58,290"
104800,OH,"Akron, OH",Tax Preparers,detailed,"37,360"
104801,OH,"Akron, OH","Financial Specialists, All Other",detailed,"61,980"
104803,OH,"Akron, OH",Computer Systems Analysts,detailed,"85,640"
104804,OH,"Akron, OH",Information Security Analysts,detailed,"83,520"
104805,OH,"Akron, OH",Computer Programmers,detailed,"66,810"
104806,OH,"Akron, OH","Software Developers, Applications",detailed,"85,800"
104807,OH,"Akron, OH","Software Developers, Systems Software",detailed,"91,890"
104808,OH,"Akron, OH",Web Developers,detailed,"56,770"
104809,OH,"Akron, OH",Database Administrators,detailed,"79,040"
104810,OH,"Akron, OH",Network and Computer Systems Administrators,detailed,"75,570"
104811,OH,"Akron, OH",Computer Network Architects,detailed,"95,690"
104812,OH,"Akron, OH",Computer User Support Specialists,detailed,"45,400"
104813,OH,"Akron, OH",Computer Network Support Specialists,detailed,"57,780"
104814,OH,"Akron, OH","Computer Occupations, All Other",detailed,"75,560"
104815,OH,"Akron, OH",Actuaries,detailed,"90,910"
