,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
109932,OK,"Lawton, OK",Chief Executives,detailed,"116,590"
109933,OK,"Lawton, OK",General and Operations Managers,detailed,"75,820"
109934,OK,"Lawton, OK",Sales Managers,detailed,"82,730"
109935,OK,"Lawton, OK",Administrative Services Managers,detailed,"62,360"
109936,OK,"Lawton, OK",Computer and Information Systems Managers,detailed,"101,890"
109937,OK,"Lawton, OK",Financial Managers,detailed,"64,520"
109938,OK,"Lawton, OK",Industrial Production Managers,detailed,"72,120"
109939,OK,"Lawton, OK",Human Resources Managers,detailed,"77,630"
109940,OK,"Lawton, OK",Construction Managers,detailed,"69,950"
109941,OK,"Lawton, OK","Education Administrators, Elementary and Secondary School",detailed,"71,420"
109942,OK,"Lawton, OK","Education Administrators, Postsecondary",detailed,"66,850"
109943,OK,"Lawton, OK",Food Service Managers,detailed,"42,690"
109944,OK,"Lawton, OK",Medical and Health Services Managers,detailed,"81,310"
109945,OK,"Lawton, OK","Property, Real Estate, and Community Association Managers",detailed,"35,870"
109946,OK,"Lawton, OK",Social and Community Service Managers,detailed,"53,530"
109947,OK,"Lawton, OK","Managers, All Other",detailed,"84,350"
109949,OK,"Lawton, OK","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,970"
109950,OK,"Lawton, OK","Claims Adjusters, Examiners, and Investigators",detailed,"61,260"
109951,OK,"Lawton, OK",Compliance Officers,detailed,"48,300"
109952,OK,"Lawton, OK",Human Resources Specialists,detailed,"55,030"
109953,OK,"Lawton, OK",Logisticians,detailed,"75,260"
109954,OK,"Lawton, OK",Management Analysts,detailed,"64,440"
109955,OK,"Lawton, OK",Training and Development Specialists,detailed,"60,490"
109956,OK,"Lawton, OK",Market Research Analysts and Marketing Specialists,detailed,"41,830"
109957,OK,"Lawton, OK","Business Operations Specialists, All Other",detailed,"69,820"
109958,OK,"Lawton, OK",Accountants and Auditors,detailed,"57,680"
109959,OK,"Lawton, OK",Budget Analysts,detailed,"67,660"
109960,OK,"Lawton, OK",Loan Officers,detailed,"62,980"
109961,OK,"Lawton, OK","Financial Specialists, All Other",detailed,"50,960"
109963,OK,"Lawton, OK",Computer Systems Analysts,detailed,"70,430"
109964,OK,"Lawton, OK",Computer Programmers,detailed,"67,010"
109965,OK,"Lawton, OK",Network and Computer Systems Administrators,detailed,"60,640"
109966,OK,"Lawton, OK",Computer Network Architects,detailed,"95,860"
109967,OK,"Lawton, OK",Computer User Support Specialists,detailed,"44,310"
109968,OK,"Lawton, OK","Computer Occupations, All Other",detailed,"75,990"
109970,OK,"Lawton, OK",Civil Engineers,detailed,"63,860"
109971,OK,"Lawton, OK","Electronics Engineers, Except Computer",detailed,"61,100"
109972,OK,"Lawton, OK",Industrial Engineers,detailed,"74,850"
109973,OK,"Lawton, OK",Electrical and Electronics Engineering Technicians,detailed,"64,950"
109974,OK,"Lawton, OK","Engineering Technicians, Except Drafters, All Other",detailed,"48,810"
109976,OK,"Lawton, OK","Clinical, Counseling, and School Psychologists",detailed,"56,010"
109977,OK,"Lawton, OK","Life, Physical, and Social Science Technicians, All Other",detailed,"39,000"
109979,OK,"Lawton, OK","Educational, Guidance, School, and Vocational Counselors",detailed,"45,820"
109980,OK,"Lawton, OK",Healthcare Social Workers,detailed,"40,240"
109981,OK,"Lawton, OK",Social and Human Service Assistants,detailed,"32,750"
109983,OK,"Lawton, OK",Lawyers,detailed,"74,380"
109984,OK,"Lawton, OK",Paralegals and Legal Assistants,detailed,"38,380"
109985,OK,"Lawton, OK","Title Examiners, Abstractors, and Searchers",detailed,"41,860"
109987,OK,"Lawton, OK","Education Teachers, Postsecondary",detailed,"51,000"
109988,OK,"Lawton, OK","Vocational Education Teachers, Postsecondary",detailed,"45,710"
109989,OK,"Lawton, OK","Preschool Teachers, Except Special Education",detailed,"31,950"
109990,OK,"Lawton, OK","Kindergarten Teachers, Except Special Education",detailed,"38,560"
109991,OK,"Lawton, OK","Elementary School Teachers, Except Special Education",detailed,"41,670"
109992,OK,"Lawton, OK","Middle School Teachers, Except Special and Career/Technical Education",detailed,"43,390"
109993,OK,"Lawton, OK","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"45,570"
109994,OK,"Lawton, OK","Career/Technical Education Teachers, Secondary School",detailed,"43,260"
109995,OK,"Lawton, OK","Special Education Teachers, Kindergarten and Elementary School",detailed,"45,310"
109996,OK,"Lawton, OK","Special Education Teachers, Middle School",detailed,"41,470"
109997,OK,"Lawton, OK","Special Education Teachers, Secondary School",detailed,"50,450"
109998,OK,"Lawton, OK",Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"44,350"
109999,OK,"Lawton, OK","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"56,960"
110000,OK,"Lawton, OK",Substitute Teachers,detailed,"17,890"
110001,OK,"Lawton, OK",Librarians,detailed,"52,680"
110002,OK,"Lawton, OK",Teacher Assistants,detailed,"18,510"
110004,OK,"Lawton, OK",Graphic Designers,detailed,"43,250"
110005,OK,"Lawton, OK",Coaches and Scouts,detailed,"21,990"
110006,OK,"Lawton, OK",Public Relations Specialists,detailed,"63,090"
110007,OK,"Lawton, OK",Technical Writers,detailed,"55,250"
110009,OK,"Lawton, OK",Pharmacists,detailed,"107,240"
110010,OK,"Lawton, OK","Physicians and Surgeons, All Other",detailed,"223,850"
110011,OK,"Lawton, OK",Physical Therapists,detailed,"92,290"
110012,OK,"Lawton, OK",Respiratory Therapists,detailed,"48,750"
110013,OK,"Lawton, OK",Speech-Language Pathologists,detailed,"74,010"
110014,OK,"Lawton, OK",Registered Nurses,detailed,"55,980"
110015,OK,"Lawton, OK",Medical and Clinical Laboratory Technologists,detailed,"55,690"
110016,OK,"Lawton, OK",Medical and Clinical Laboratory Technicians,detailed,"30,790"
110017,OK,"Lawton, OK",Dental Hygienists,detailed,"67,920"
110018,OK,"Lawton, OK",Diagnostic Medical Sonographers,detailed,"63,110"
110019,OK,"Lawton, OK",Radiologic Technologists,detailed,"52,780"
110020,OK,"Lawton, OK",Pharmacy Technicians,detailed,"30,400"
110021,OK,"Lawton, OK",Surgical Technologists,detailed,"31,450"
110022,OK,"Lawton, OK",Licensed Practical and Licensed Vocational Nurses,detailed,"35,550"
110023,OK,"Lawton, OK",Medical Records and Health Information Technicians,detailed,"41,950"
110024,OK,"Lawton, OK","Opticians, Dispensing",detailed,"26,360"
110025,OK,"Lawton, OK",Occupational Health and Safety Specialists,detailed,"68,930"
110027,OK,"Lawton, OK",Home Health Aides,detailed,"18,530"
110028,OK,"Lawton, OK",Nursing Assistants,detailed,"21,490"
110029,OK,"Lawton, OK",Physical Therapist Assistants,detailed,"57,550"
110030,OK,"Lawton, OK",Dental Assistants,detailed,"35,880"
110031,OK,"Lawton, OK",Medical Assistants,detailed,"25,960"
110032,OK,"Lawton, OK",Veterinary Assistants and Laboratory Animal Caretakers,detailed,"19,290"
110033,OK,"Lawton, OK","Healthcare Support Workers, All Other",detailed,"37,390"
110035,OK,"Lawton, OK",First-Line Supervisors of Correctional Officers,detailed,"50,370"
110036,OK,"Lawton, OK",First-Line Supervisors of Police and Detectives,detailed,"58,220"
110037,OK,"Lawton, OK",First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"50,170"
110038,OK,"Lawton, OK",Firefighters,detailed,"34,700"
110039,OK,"Lawton, OK",Correctional Officers and Jailers,detailed,"33,020"
110040,OK,"Lawton, OK",Police and Sheriff's Patrol Officers,detailed,"36,670"
110041,OK,"Lawton, OK",Gaming Surveillance Officers and Gaming Investigators,detailed,"28,950"
110042,OK,"Lawton, OK",Security Guards,detailed,"27,410"
110043,OK,"Lawton, OK","Protective Service Workers, All Other",detailed,"19,800"
110045,OK,"Lawton, OK",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"26,420"
110046,OK,"Lawton, OK","Cooks, Fast Food",detailed,"17,330"
