,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
111374,OR,"Albany, OR",General and Operations Managers,detailed,"86,500"
111375,OR,"Albany, OR",Sales Managers,detailed,"118,740"
111376,OR,"Albany, OR",Administrative Services Managers,detailed,"58,440"
111377,OR,"Albany, OR",Computer and Information Systems Managers,detailed,"90,760"
111378,OR,"Albany, OR",Financial Managers,detailed,"94,730"
111379,OR,"Albany, OR",Industrial Production Managers,detailed,"78,820"
111380,OR,"Albany, OR","Transportation, Storage, and Distribution Managers",detailed,"84,000"
111381,OR,"Albany, OR",Human Resources Managers,detailed,"74,910"
111382,OR,"Albany, OR",Construction Managers,detailed,"82,230"
111383,OR,"Albany, OR","Education Administrators, Elementary and Secondary School",detailed,"97,290"
111384,OR,"Albany, OR",Food Service Managers,detailed,"61,260"
111385,OR,"Albany, OR",Medical and Health Services Managers,detailed,"101,170"
111386,OR,"Albany, OR",Social and Community Service Managers,detailed,"59,540"
111387,OR,"Albany, OR","Managers, All Other",detailed,"72,180"
111389,OR,"Albany, OR","Wholesale and Retail Buyers, Except Farm Products",detailed,"53,400"
111390,OR,"Albany, OR","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"47,230"
111391,OR,"Albany, OR",Cost Estimators,detailed,"81,100"
111392,OR,"Albany, OR",Human Resources Specialists,detailed,"50,540"
111393,OR,"Albany, OR",Labor Relations Specialists,detailed,"64,790"
111394,OR,"Albany, OR",Logisticians,detailed,"51,310"
111395,OR,"Albany, OR",Training and Development Specialists,detailed,"47,090"
111396,OR,"Albany, OR",Market Research Analysts and Marketing Specialists,detailed,"45,540"
111397,OR,"Albany, OR","Business Operations Specialists, All Other",detailed,"58,520"
111398,OR,"Albany, OR",Accountants and Auditors,detailed,"65,680"
111400,OR,"Albany, OR",Web Developers,detailed,"43,240"
111401,OR,"Albany, OR",Network and Computer Systems Administrators,detailed,"62,470"
111402,OR,"Albany, OR",Computer User Support Specialists,detailed,"49,420"
111404,OR,"Albany, OR",Civil Engineers,detailed,"71,690"
111405,OR,"Albany, OR",Industrial Engineers,detailed,"75,370"
111406,OR,"Albany, OR",Materials Engineers,detailed,*
111407,OR,"Albany, OR",Mechanical Engineers,detailed,"71,180"
111408,OR,"Albany, OR","Engineers, All Other",detailed,"83,560"
111409,OR,"Albany, OR",Architectural and Civil Drafters,detailed,"40,940"
111410,OR,"Albany, OR",Industrial Engineering Technicians,detailed,"55,410"
111411,OR,"Albany, OR","Engineering Technicians, Except Drafters, All Other",detailed,"47,700"
111413,OR,"Albany, OR",Soil and Plant Scientists,detailed,"65,280"
111415,OR,"Albany, OR",Substance Abuse and Behavioral Disorder Counselors,detailed,"54,030"
111416,OR,"Albany, OR","Educational, Guidance, School, and Vocational Counselors",detailed,"58,660"
111417,OR,"Albany, OR","Child, Family, and School Social Workers",detailed,"43,500"
111418,OR,"Albany, OR",Clergy,detailed,"39,060"
111419,OR,"Albany, OR","Directors, Religious Activities and Education",detailed,"30,380"
111421,OR,"Albany, OR",Lawyers,detailed,"91,840"
111423,OR,"Albany, OR","Health Specialties Teachers, Postsecondary",detailed,"107,600"
111424,OR,"Albany, OR","Preschool Teachers, Except Special Education",detailed,"24,710"
111425,OR,"Albany, OR","Elementary School Teachers, Except Special Education",detailed,"51,820"
111426,OR,"Albany, OR","Middle School Teachers, Except Special and Career/Technical Education",detailed,"57,610"
111427,OR,"Albany, OR","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"48,500"
