,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
114210,PA,"Allentown-Bethlehem-Easton, PA-NJ",Chief Executives,detailed,"184,790"
114211,PA,"Allentown-Bethlehem-Easton, PA-NJ",General and Operations Managers,detailed,"119,780"
114212,PA,"Allentown-Bethlehem-Easton, PA-NJ",Legislators,detailed,"34,930"
114213,PA,"Allentown-Bethlehem-Easton, PA-NJ",Advertising and Promotions Managers,detailed,*
114214,PA,"Allentown-Bethlehem-Easton, PA-NJ",Marketing Managers,detailed,"144,150"
114215,PA,"Allentown-Bethlehem-Easton, PA-NJ",Sales Managers,detailed,"134,560"
114216,PA,"Allentown-Bethlehem-Easton, PA-NJ",Public Relations and Fundraising Managers,detailed,"137,210"
114217,PA,"Allentown-Bethlehem-Easton, PA-NJ",Administrative Services Managers,detailed,"98,410"
114218,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer and Information Systems Managers,detailed,"140,310"
114219,PA,"Allentown-Bethlehem-Easton, PA-NJ",Financial Managers,detailed,"137,070"
114220,PA,"Allentown-Bethlehem-Easton, PA-NJ",Industrial Production Managers,detailed,"107,900"
114221,PA,"Allentown-Bethlehem-Easton, PA-NJ",Purchasing Managers,detailed,"117,330"
114222,PA,"Allentown-Bethlehem-Easton, PA-NJ","Transportation, Storage, and Distribution Managers",detailed,"101,240"
114223,PA,"Allentown-Bethlehem-Easton, PA-NJ",Compensation and Benefits Managers,detailed,"126,800"
114224,PA,"Allentown-Bethlehem-Easton, PA-NJ",Human Resources Managers,detailed,"146,120"
114225,PA,"Allentown-Bethlehem-Easton, PA-NJ",Training and Development Managers,detailed,"123,790"
114226,PA,"Allentown-Bethlehem-Easton, PA-NJ",Construction Managers,detailed,"122,210"
114227,PA,"Allentown-Bethlehem-Easton, PA-NJ","Education Administrators, Preschool and Childcare Center/Program",detailed,"44,410"
114228,PA,"Allentown-Bethlehem-Easton, PA-NJ","Education Administrators, Elementary and Secondary School",detailed,"95,380"
114229,PA,"Allentown-Bethlehem-Easton, PA-NJ","Education Administrators, Postsecondary",detailed,"97,110"
114230,PA,"Allentown-Bethlehem-Easton, PA-NJ","Education Administrators, All Other",detailed,"70,480"
114231,PA,"Allentown-Bethlehem-Easton, PA-NJ",Architectural and Engineering Managers,detailed,"139,320"
114232,PA,"Allentown-Bethlehem-Easton, PA-NJ",Food Service Managers,detailed,"66,090"
114233,PA,"Allentown-Bethlehem-Easton, PA-NJ",Funeral Service Managers,detailed,"81,880"
114234,PA,"Allentown-Bethlehem-Easton, PA-NJ",Lodging Managers,detailed,*
114235,PA,"Allentown-Bethlehem-Easton, PA-NJ",Medical and Health Services Managers,detailed,"93,690"
114236,PA,"Allentown-Bethlehem-Easton, PA-NJ",Natural Sciences Managers,detailed,"140,150"
114237,PA,"Allentown-Bethlehem-Easton, PA-NJ",Postmasters and Mail Superintendents,detailed,"69,190"
114238,PA,"Allentown-Bethlehem-Easton, PA-NJ","Property, Real Estate, and Community Association Managers",detailed,"81,970"
114239,PA,"Allentown-Bethlehem-Easton, PA-NJ",Social and Community Service Managers,detailed,"64,840"
114240,PA,"Allentown-Bethlehem-Easton, PA-NJ","Managers, All Other",detailed,"103,090"
114242,PA,"Allentown-Bethlehem-Easton, PA-NJ","Buyers and Purchasing Agents, Farm Products",detailed,"76,950"
114243,PA,"Allentown-Bethlehem-Easton, PA-NJ","Wholesale and Retail Buyers, Except Farm Products",detailed,"54,360"
114244,PA,"Allentown-Bethlehem-Easton, PA-NJ","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"61,890"
114245,PA,"Allentown-Bethlehem-Easton, PA-NJ","Claims Adjusters, Examiners, and Investigators",detailed,"63,160"
114246,PA,"Allentown-Bethlehem-Easton, PA-NJ",Compliance Officers,detailed,"62,430"
114247,PA,"Allentown-Bethlehem-Easton, PA-NJ",Cost Estimators,detailed,"62,590"
114248,PA,"Allentown-Bethlehem-Easton, PA-NJ",Human Resources Specialists,detailed,"59,660"
114249,PA,"Allentown-Bethlehem-Easton, PA-NJ",Labor Relations Specialists,detailed,"52,360"
114250,PA,"Allentown-Bethlehem-Easton, PA-NJ",Logisticians,detailed,"68,610"
114251,PA,"Allentown-Bethlehem-Easton, PA-NJ",Management Analysts,detailed,"81,180"
114252,PA,"Allentown-Bethlehem-Easton, PA-NJ","Meeting, Convention, and Event Planners",detailed,"41,320"
114253,PA,"Allentown-Bethlehem-Easton, PA-NJ",Fundraisers,detailed,"51,750"
114254,PA,"Allentown-Bethlehem-Easton, PA-NJ","Compensation, Benefits, and Job Analysis Specialists",detailed,"71,600"
114255,PA,"Allentown-Bethlehem-Easton, PA-NJ",Training and Development Specialists,detailed,"61,110"
114256,PA,"Allentown-Bethlehem-Easton, PA-NJ",Market Research Analysts and Marketing Specialists,detailed,"58,860"
114257,PA,"Allentown-Bethlehem-Easton, PA-NJ","Business Operations Specialists, All Other",detailed,"69,090"
114258,PA,"Allentown-Bethlehem-Easton, PA-NJ",Accountants and Auditors,detailed,"73,690"
114259,PA,"Allentown-Bethlehem-Easton, PA-NJ",Appraisers and Assessors of Real Estate,detailed,"54,070"
114260,PA,"Allentown-Bethlehem-Easton, PA-NJ",Budget Analysts,detailed,*
114261,PA,"Allentown-Bethlehem-Easton, PA-NJ",Credit Analysts,detailed,"72,300"
114262,PA,"Allentown-Bethlehem-Easton, PA-NJ",Financial Analysts,detailed,"88,620"
114263,PA,"Allentown-Bethlehem-Easton, PA-NJ",Personal Financial Advisors,detailed,"115,970"
114264,PA,"Allentown-Bethlehem-Easton, PA-NJ",Financial Examiners,detailed,"71,510"
114265,PA,"Allentown-Bethlehem-Easton, PA-NJ",Credit Counselors,detailed,"48,880"
114266,PA,"Allentown-Bethlehem-Easton, PA-NJ",Loan Officers,detailed,"65,640"
114267,PA,"Allentown-Bethlehem-Easton, PA-NJ","Tax Examiners and Collectors, and Revenue Agents",detailed,"59,110"
114268,PA,"Allentown-Bethlehem-Easton, PA-NJ",Tax Preparers,detailed,"38,810"
114269,PA,"Allentown-Bethlehem-Easton, PA-NJ","Financial Specialists, All Other",detailed,"68,130"
114271,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer Systems Analysts,detailed,"82,420"
114272,PA,"Allentown-Bethlehem-Easton, PA-NJ",Information Security Analysts,detailed,"102,970"
114273,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer Programmers,detailed,"78,230"
114274,PA,"Allentown-Bethlehem-Easton, PA-NJ","Software Developers, Applications",detailed,"96,450"
114275,PA,"Allentown-Bethlehem-Easton, PA-NJ","Software Developers, Systems Software",detailed,"91,010"
114276,PA,"Allentown-Bethlehem-Easton, PA-NJ",Web Developers,detailed,"63,320"
114277,PA,"Allentown-Bethlehem-Easton, PA-NJ",Database Administrators,detailed,"82,780"
114278,PA,"Allentown-Bethlehem-Easton, PA-NJ",Network and Computer Systems Administrators,detailed,"77,710"
114279,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer Network Architects,detailed,"98,230"
114280,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer User Support Specialists,detailed,"53,230"
114281,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer Network Support Specialists,detailed,"58,540"
114282,PA,"Allentown-Bethlehem-Easton, PA-NJ","Computer Occupations, All Other",detailed,"81,510"
114283,PA,"Allentown-Bethlehem-Easton, PA-NJ",Actuaries,detailed,"101,800"
114284,PA,"Allentown-Bethlehem-Easton, PA-NJ",Operations Research Analysts,detailed,"69,070"
114285,PA,"Allentown-Bethlehem-Easton, PA-NJ",Statisticians,detailed,"85,210"
114287,PA,"Allentown-Bethlehem-Easton, PA-NJ","Architects, Except Landscape and Naval",detailed,"88,780"
114288,PA,"Allentown-Bethlehem-Easton, PA-NJ",Surveyors,detailed,"60,330"
114289,PA,"Allentown-Bethlehem-Easton, PA-NJ",Biomedical Engineers,detailed,"96,150"
114290,PA,"Allentown-Bethlehem-Easton, PA-NJ",Chemical Engineers,detailed,"111,130"
114291,PA,"Allentown-Bethlehem-Easton, PA-NJ",Civil Engineers,detailed,"83,520"
114292,PA,"Allentown-Bethlehem-Easton, PA-NJ",Computer Hardware Engineers,detailed,"96,890"
114293,PA,"Allentown-Bethlehem-Easton, PA-NJ",Electrical Engineers,detailed,"88,070"
114294,PA,"Allentown-Bethlehem-Easton, PA-NJ","Electronics Engineers, Except Computer",detailed,*
114295,PA,"Allentown-Bethlehem-Easton, PA-NJ",Environmental Engineers,detailed,"87,800"
114296,PA,"Allentown-Bethlehem-Easton, PA-NJ","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"90,900"
114297,PA,"Allentown-Bethlehem-Easton, PA-NJ",Industrial Engineers,detailed,"83,750"
114298,PA,"Allentown-Bethlehem-Easton, PA-NJ",Materials Engineers,detailed,*
114299,PA,"Allentown-Bethlehem-Easton, PA-NJ",Mechanical Engineers,detailed,"83,190"
114300,PA,"Allentown-Bethlehem-Easton, PA-NJ","Engineers, All Other",detailed,*
114301,PA,"Allentown-Bethlehem-Easton, PA-NJ",Architectural and Civil Drafters,detailed,"56,100"
114302,PA,"Allentown-Bethlehem-Easton, PA-NJ",Electrical and Electronics Drafters,detailed,"61,510"
114303,PA,"Allentown-Bethlehem-Easton, PA-NJ",Mechanical Drafters,detailed,"50,420"
114304,PA,"Allentown-Bethlehem-Easton, PA-NJ",Civil Engineering Technicians,detailed,"49,730"
114305,PA,"Allentown-Bethlehem-Easton, PA-NJ",Electrical and Electronics Engineering Technicians,detailed,"57,560"
114306,PA,"Allentown-Bethlehem-Easton, PA-NJ",Environmental Engineering Technicians,detailed,"41,340"
114307,PA,"Allentown-Bethlehem-Easton, PA-NJ",Industrial Engineering Technicians,detailed,"50,960"
114308,PA,"Allentown-Bethlehem-Easton, PA-NJ",Mechanical Engineering Technicians,detailed,"54,340"
114309,PA,"Allentown-Bethlehem-Easton, PA-NJ","Engineering Technicians, Except Drafters, All Other",detailed,"51,330"
114310,PA,"Allentown-Bethlehem-Easton, PA-NJ",Surveying and Mapping Technicians,detailed,"48,710"
114312,PA,"Allentown-Bethlehem-Easton, PA-NJ",Food Scientists and Technologists,detailed,"69,850"
114313,PA,"Allentown-Bethlehem-Easton, PA-NJ",Biochemists and Biophysicists,detailed,"77,890"
114314,PA,"Allentown-Bethlehem-Easton, PA-NJ","Medical Scientists, Except Epidemiologists",detailed,"107,390"
114315,PA,"Allentown-Bethlehem-Easton, PA-NJ",Chemists,detailed,"85,580"
114316,PA,"Allentown-Bethlehem-Easton, PA-NJ","Environmental Scientists and Specialists, Including Health",detailed,"63,940"
114317,PA,"Allentown-Bethlehem-Easton, PA-NJ","Clinical, Counseling, and School Psychologists",detailed,"76,420"
114318,PA,"Allentown-Bethlehem-Easton, PA-NJ",Urban and Regional Planners,detailed,"55,580"
114319,PA,"Allentown-Bethlehem-Easton, PA-NJ",Biological Technicians,detailed,"40,230"
114320,PA,"Allentown-Bethlehem-Easton, PA-NJ",Chemical Technicians,detailed,"51,330"
114321,PA,"Allentown-Bethlehem-Easton, PA-NJ",Social Science Research Assistants,detailed,"46,650"
114322,PA,"Allentown-Bethlehem-Easton, PA-NJ","Environmental Science and Protection Technicians, Including Health",detailed,"48,800"
114323,PA,"Allentown-Bethlehem-Easton, PA-NJ","Life, Physical, and Social Science Technicians, All Other",detailed,"44,190"
114325,PA,"Allentown-Bethlehem-Easton, PA-NJ",Substance Abuse and Behavioral Disorder Counselors,detailed,"46,280"
114326,PA,"Allentown-Bethlehem-Easton, PA-NJ","Educational, Guidance, School, and Vocational Counselors",detailed,"59,480"
114327,PA,"Allentown-Bethlehem-Easton, PA-NJ",Marriage and Family Therapists,detailed,"63,960"
114328,PA,"Allentown-Bethlehem-Easton, PA-NJ",Mental Health Counselors,detailed,"51,220"
114329,PA,"Allentown-Bethlehem-Easton, PA-NJ",Rehabilitation Counselors,detailed,"36,440"
114330,PA,"Allentown-Bethlehem-Easton, PA-NJ","Counselors, All Other",detailed,"34,660"
114331,PA,"Allentown-Bethlehem-Easton, PA-NJ","Child, Family, and School Social Workers",detailed,"45,010"
114332,PA,"Allentown-Bethlehem-Easton, PA-NJ",Healthcare Social Workers,detailed,"49,870"
114333,PA,"Allentown-Bethlehem-Easton, PA-NJ",Mental Health and Substance Abuse Social Workers,detailed,"37,950"
114334,PA,"Allentown-Bethlehem-Easton, PA-NJ","Social Workers, All Other",detailed,"46,200"
114335,PA,"Allentown-Bethlehem-Easton, PA-NJ",Health Educators,detailed,"83,840"
114336,PA,"Allentown-Bethlehem-Easton, PA-NJ",Probation Officers and Correctional Treatment Specialists,detailed,"60,970"
114337,PA,"Allentown-Bethlehem-Easton, PA-NJ",Social and Human Service Assistants,detailed,"30,670"
114338,PA,"Allentown-Bethlehem-Easton, PA-NJ",Community Health Workers,detailed,"41,360"
114339,PA,"Allentown-Bethlehem-Easton, PA-NJ","Community and Social Service Specialists, All Other",detailed,"45,320"
114340,PA,"Allentown-Bethlehem-Easton, PA-NJ",Clergy,detailed,"49,380"
114341,PA,"Allentown-Bethlehem-Easton, PA-NJ","Directors, Religious Activities and Education",detailed,"31,630"
114343,PA,"Allentown-Bethlehem-Easton, PA-NJ",Lawyers,detailed,"133,360"
114344,PA,"Allentown-Bethlehem-Easton, PA-NJ",Judicial Law Clerks,detailed,"50,380"
114345,PA,"Allentown-Bethlehem-Easton, PA-NJ",Paralegals and Legal Assistants,detailed,"46,010"
114346,PA,"Allentown-Bethlehem-Easton, PA-NJ",Court Reporters,detailed,"52,040"
114348,PA,"Allentown-Bethlehem-Easton, PA-NJ","Business Teachers, Postsecondary",detailed,"119,270"
114349,PA,"Allentown-Bethlehem-Easton, PA-NJ","Computer Science Teachers, Postsecondary",detailed,"91,630"
114350,PA,"Allentown-Bethlehem-Easton, PA-NJ","Mathematical Science Teachers, Postsecondary",detailed,"91,300"
114351,PA,"Allentown-Bethlehem-Easton, PA-NJ","Engineering Teachers, Postsecondary",detailed,"158,890"
114352,PA,"Allentown-Bethlehem-Easton, PA-NJ","Biological Science Teachers, Postsecondary",detailed,"98,920"
114353,PA,"Allentown-Bethlehem-Easton, PA-NJ","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"146,890"
114354,PA,"Allentown-Bethlehem-Easton, PA-NJ","Chemistry Teachers, Postsecondary",detailed,"99,420"
114355,PA,"Allentown-Bethlehem-Easton, PA-NJ","Physics Teachers, Postsecondary",detailed,"132,930"
114356,PA,"Allentown-Bethlehem-Easton, PA-NJ","Economics Teachers, Postsecondary",detailed,"127,670"
114357,PA,"Allentown-Bethlehem-Easton, PA-NJ","Political Science Teachers, Postsecondary",detailed,"102,120"
114358,PA,"Allentown-Bethlehem-Easton, PA-NJ","Psychology Teachers, Postsecondary",detailed,"85,310"
114359,PA,"Allentown-Bethlehem-Easton, PA-NJ","Sociology Teachers, Postsecondary",detailed,"88,250"
114360,PA,"Allentown-Bethlehem-Easton, PA-NJ","Health Specialties Teachers, Postsecondary",detailed,"74,660"
114361,PA,"Allentown-Bethlehem-Easton, PA-NJ","Nursing Instructors and Teachers, Postsecondary",detailed,"71,860"
114362,PA,"Allentown-Bethlehem-Easton, PA-NJ","Education Teachers, Postsecondary",detailed,"78,800"
114363,PA,"Allentown-Bethlehem-Easton, PA-NJ","Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"67,710"
114364,PA,"Allentown-Bethlehem-Easton, PA-NJ","Art, Drama, and Music Teachers, Postsecondary",detailed,"73,710"
114365,PA,"Allentown-Bethlehem-Easton, PA-NJ","Communications Teachers, Postsecondary",detailed,"58,490"
114366,PA,"Allentown-Bethlehem-Easton, PA-NJ","English Language and Literature Teachers, Postsecondary",detailed,"75,690"
114367,PA,"Allentown-Bethlehem-Easton, PA-NJ","Foreign Language and Literature Teachers, Postsecondary",detailed,"52,530"
114368,PA,"Allentown-Bethlehem-Easton, PA-NJ","History Teachers, Postsecondary",detailed,"83,560"
