,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
121583,PR,"Aguadilla-Isabela, PR",Chief Executives,detailed,"93,310"
121584,PR,"Aguadilla-Isabela, PR",General and Operations Managers,detailed,"57,650"
121585,PR,"Aguadilla-Isabela, PR",Sales Managers,detailed,"78,640"
121586,PR,"Aguadilla-Isabela, PR",Administrative Services Managers,detailed,"46,250"
121587,PR,"Aguadilla-Isabela, PR",Financial Managers,detailed,"58,480"
121588,PR,"Aguadilla-Isabela, PR",Industrial Production Managers,detailed,"97,330"
121589,PR,"Aguadilla-Isabela, PR","Transportation, Storage, and Distribution Managers",detailed,"64,520"
121590,PR,"Aguadilla-Isabela, PR",Human Resources Managers,detailed,"65,270"
121591,PR,"Aguadilla-Isabela, PR","Education Administrators, Elementary and Secondary School",detailed,"47,980"
121592,PR,"Aguadilla-Isabela, PR","Education Administrators, Postsecondary",detailed,"56,180"
121593,PR,"Aguadilla-Isabela, PR",Architectural and Engineering Managers,detailed,"100,950"
121594,PR,"Aguadilla-Isabela, PR",Food Service Managers,detailed,"23,360"
121595,PR,"Aguadilla-Isabela, PR","Managers, All Other",detailed,"42,770"
121597,PR,"Aguadilla-Isabela, PR","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"42,480"
121598,PR,"Aguadilla-Isabela, PR","Claims Adjusters, Examiners, and Investigators",detailed,"47,670"
121599,PR,"Aguadilla-Isabela, PR",Compliance Officers,detailed,"54,210"
121600,PR,"Aguadilla-Isabela, PR",Human Resources Specialists,detailed,"30,810"
121601,PR,"Aguadilla-Isabela, PR",Logisticians,detailed,"69,370"
121602,PR,"Aguadilla-Isabela, PR","Meeting, Convention, and Event Planners",detailed,"20,010"
121603,PR,"Aguadilla-Isabela, PR","Business Operations Specialists, All Other",detailed,"35,860"
121604,PR,"Aguadilla-Isabela, PR",Accountants and Auditors,detailed,"28,130"
121605,PR,"Aguadilla-Isabela, PR",Budget Analysts,detailed,"59,190"
121606,PR,"Aguadilla-Isabela, PR",Financial Analysts,detailed,"51,530"
121607,PR,"Aguadilla-Isabela, PR",Loan Officers,detailed,"33,320"
121609,PR,"Aguadilla-Isabela, PR",Computer Programmers,detailed,"35,240"
121610,PR,"Aguadilla-Isabela, PR",Computer User Support Specialists,detailed,"40,750"
121612,PR,"Aguadilla-Isabela, PR",Civil Engineers,detailed,"51,150"
121613,PR,"Aguadilla-Isabela, PR",Industrial Engineers,detailed,"79,770"
121614,PR,"Aguadilla-Isabela, PR",Electrical and Electronics Engineering Technicians,detailed,"43,260"
121615,PR,"Aguadilla-Isabela, PR",Industrial Engineering Technicians,detailed,"43,320"
121617,PR,"Aguadilla-Isabela, PR",Chemical Technicians,detailed,"34,760"
121619,PR,"Aguadilla-Isabela, PR","Educational, Guidance, School, and Vocational Counselors",detailed,"40,810"
121620,PR,"Aguadilla-Isabela, PR","Child, Family, and School Social Workers",detailed,"35,010"
121621,PR,"Aguadilla-Isabela, PR",Social and Human Service Assistants,detailed,"20,250"
121623,PR,"Aguadilla-Isabela, PR",Lawyers,detailed,"52,070"
121625,PR,"Aguadilla-Isabela, PR","Business Teachers, Postsecondary",detailed,"51,360"
121626,PR,"Aguadilla-Isabela, PR",Graduate Teaching Assistants,detailed,"28,460"
121627,PR,"Aguadilla-Isabela, PR","Vocational Education Teachers, Postsecondary",detailed,"32,410"
121628,PR,"Aguadilla-Isabela, PR","Preschool Teachers, Except Special Education",detailed,"21,390"
121629,PR,"Aguadilla-Isabela, PR","Elementary School Teachers, Except Special Education",detailed,"36,660"
121630,PR,"Aguadilla-Isabela, PR","Middle School Teachers, Except Special and Career/Technical Education",detailed,"26,810"
121631,PR,"Aguadilla-Isabela, PR","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"36,950"
121632,PR,"Aguadilla-Isabela, PR","Special Education Teachers, All Other",detailed,"34,000"
121633,PR,"Aguadilla-Isabela, PR","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"34,090"
121634,PR,"Aguadilla-Isabela, PR",Librarians,detailed,"39,940"
121635,PR,"Aguadilla-Isabela, PR",Library Technicians,detailed,"26,900"
121636,PR,"Aguadilla-Isabela, PR",Farm and Home Management Advisors,detailed,"33,220"
121637,PR,"Aguadilla-Isabela, PR",Instructional Coordinators,detailed,"30,140"
121638,PR,"Aguadilla-Isabela, PR",Teacher Assistants,detailed,"19,090"
121639,PR,"Aguadilla-Isabela, PR","Education, Training, and Library Workers, All Other",detailed,"32,690"
121641,PR,"Aguadilla-Isabela, PR",Coaches and Scouts,detailed,"35,180"
121643,PR,"Aguadilla-Isabela, PR",Pharmacists,detailed,"63,110"
121644,PR,"Aguadilla-Isabela, PR",Family and General Practitioners,detailed,"67,400"
121645,PR,"Aguadilla-Isabela, PR",Registered Nurses,detailed,"28,360"
121646,PR,"Aguadilla-Isabela, PR",Nurse Practitioners,detailed,"22,270"
121647,PR,"Aguadilla-Isabela, PR",Medical and Clinical Laboratory Technologists,detailed,"31,260"
121648,PR,"Aguadilla-Isabela, PR",Medical and Clinical Laboratory Technicians,detailed,"24,920"
121649,PR,"Aguadilla-Isabela, PR",Radiologic Technologists,detailed,"24,800"
