,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
123081,RI,"Providence-Warwick, RI-MA",Chief Executives,detailed,"202,680"
123082,RI,"Providence-Warwick, RI-MA",General and Operations Managers,detailed,"130,660"
123083,RI,"Providence-Warwick, RI-MA",Legislators,detailed,"34,000"
123084,RI,"Providence-Warwick, RI-MA",Advertising and Promotions Managers,detailed,"83,620"
123085,RI,"Providence-Warwick, RI-MA",Marketing Managers,detailed,"132,360"
123086,RI,"Providence-Warwick, RI-MA",Sales Managers,detailed,"130,100"
123087,RI,"Providence-Warwick, RI-MA",Public Relations and Fundraising Managers,detailed,"135,990"
123088,RI,"Providence-Warwick, RI-MA",Administrative Services Managers,detailed,"96,770"
123089,RI,"Providence-Warwick, RI-MA",Computer and Information Systems Managers,detailed,"136,710"
123090,RI,"Providence-Warwick, RI-MA",Financial Managers,detailed,"133,940"
123091,RI,"Providence-Warwick, RI-MA",Industrial Production Managers,detailed,"107,410"
123092,RI,"Providence-Warwick, RI-MA",Purchasing Managers,detailed,"124,740"
123093,RI,"Providence-Warwick, RI-MA","Transportation, Storage, and Distribution Managers",detailed,"99,180"
123094,RI,"Providence-Warwick, RI-MA",Compensation and Benefits Managers,detailed,"143,610"
123095,RI,"Providence-Warwick, RI-MA",Human Resources Managers,detailed,"129,210"
123096,RI,"Providence-Warwick, RI-MA",Training and Development Managers,detailed,"118,870"
123097,RI,"Providence-Warwick, RI-MA",Construction Managers,detailed,"107,590"
123098,RI,"Providence-Warwick, RI-MA","Education Administrators, Preschool and Childcare Center/Program",detailed,"60,790"
123099,RI,"Providence-Warwick, RI-MA","Education Administrators, Elementary and Secondary School",detailed,"101,080"
123100,RI,"Providence-Warwick, RI-MA","Education Administrators, Postsecondary",detailed,"103,900"
123101,RI,"Providence-Warwick, RI-MA","Education Administrators, All Other",detailed,"82,010"
123102,RI,"Providence-Warwick, RI-MA",Architectural and Engineering Managers,detailed,"139,170"
123103,RI,"Providence-Warwick, RI-MA",Food Service Managers,detailed,"64,270"
123104,RI,"Providence-Warwick, RI-MA",Funeral Service Managers,detailed,"76,410"
123105,RI,"Providence-Warwick, RI-MA",Lodging Managers,detailed,"68,000"
