,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
123693,SC,"Charleston-North Charleston, SC",Chief Executives,detailed,"160,890"
123694,SC,"Charleston-North Charleston, SC",General and Operations Managers,detailed,"98,380"
123695,SC,"Charleston-North Charleston, SC",Legislators,detailed,"20,420"
123696,SC,"Charleston-North Charleston, SC",Advertising and Promotions Managers,detailed,*
123697,SC,"Charleston-North Charleston, SC",Marketing Managers,detailed,"100,030"
123698,SC,"Charleston-North Charleston, SC",Sales Managers,detailed,"99,340"
123699,SC,"Charleston-North Charleston, SC",Public Relations and Fundraising Managers,detailed,"90,280"
123700,SC,"Charleston-North Charleston, SC",Administrative Services Managers,detailed,"80,430"
123701,SC,"Charleston-North Charleston, SC",Computer and Information Systems Managers,detailed,"127,580"
123702,SC,"Charleston-North Charleston, SC",Financial Managers,detailed,"111,970"
123703,SC,"Charleston-North Charleston, SC",Industrial Production Managers,detailed,"109,770"
123704,SC,"Charleston-North Charleston, SC",Purchasing Managers,detailed,"93,660"
123705,SC,"Charleston-North Charleston, SC","Transportation, Storage, and Distribution Managers",detailed,"112,110"
123706,SC,"Charleston-North Charleston, SC",Human Resources Managers,detailed,"97,370"
123707,SC,"Charleston-North Charleston, SC",Training and Development Managers,detailed,"92,440"
123708,SC,"Charleston-North Charleston, SC",Construction Managers,detailed,"96,820"
123709,SC,"Charleston-North Charleston, SC","Education Administrators, Preschool and Childcare Center/Program",detailed,"41,440"
123710,SC,"Charleston-North Charleston, SC","Education Administrators, Elementary and Secondary School",detailed,"83,080"
123711,SC,"Charleston-North Charleston, SC","Education Administrators, Postsecondary",detailed,"101,010"
123712,SC,"Charleston-North Charleston, SC",Architectural and Engineering Managers,detailed,"116,630"
123713,SC,"Charleston-North Charleston, SC",Food Service Managers,detailed,"40,740"
123714,SC,"Charleston-North Charleston, SC",Lodging Managers,detailed,"52,070"
123715,SC,"Charleston-North Charleston, SC",Medical and Health Services Managers,detailed,"97,730"
123716,SC,"Charleston-North Charleston, SC",Natural Sciences Managers,detailed,"103,230"
123717,SC,"Charleston-North Charleston, SC","Property, Real Estate, and Community Association Managers",detailed,"74,410"
123718,SC,"Charleston-North Charleston, SC",Social and Community Service Managers,detailed,"56,440"
123719,SC,"Charleston-North Charleston, SC","Managers, All Other",detailed,"90,850"
