,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
126667,SD,"Rapid City, SD",Chief Executives,detailed,"233,070"
126668,SD,"Rapid City, SD",General and Operations Managers,detailed,"116,790"
126669,SD,"Rapid City, SD",Sales Managers,detailed,"125,660"
126670,SD,"Rapid City, SD",Administrative Services Managers,detailed,"75,640"
126671,SD,"Rapid City, SD",Financial Managers,detailed,"138,710"
126672,SD,"Rapid City, SD",Construction Managers,detailed,"85,980"
126673,SD,"Rapid City, SD","Education Administrators, Elementary and Secondary School",detailed,"84,190"
126674,SD,"Rapid City, SD",Food Service Managers,detailed,"51,030"
126675,SD,"Rapid City, SD",Lodging Managers,detailed,"52,180"
126676,SD,"Rapid City, SD",Medical and Health Services Managers,detailed,"100,520"
126677,SD,"Rapid City, SD","Property, Real Estate, and Community Association Managers",detailed,"35,990"
126678,SD,"Rapid City, SD",Social and Community Service Managers,detailed,"66,430"
126679,SD,"Rapid City, SD","Managers, All Other",detailed,"94,210"
126681,SD,"Rapid City, SD","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,590"
126682,SD,"Rapid City, SD","Claims Adjusters, Examiners, and Investigators",detailed,"66,330"
126683,SD,"Rapid City, SD",Compliance Officers,detailed,"58,240"
126684,SD,"Rapid City, SD",Cost Estimators,detailed,"52,490"
126685,SD,"Rapid City, SD",Human Resources Specialists,detailed,"52,820"
126686,SD,"Rapid City, SD",Management Analysts,detailed,"77,620"
126687,SD,"Rapid City, SD","Meeting, Convention, and Event Planners",detailed,"32,730"
126688,SD,"Rapid City, SD","Compensation, Benefits, and Job Analysis Specialists",detailed,"58,160"
126689,SD,"Rapid City, SD",Training and Development Specialists,detailed,"47,490"
126690,SD,"Rapid City, SD",Market Research Analysts and Marketing Specialists,detailed,"55,220"
126691,SD,"Rapid City, SD","Business Operations Specialists, All Other",detailed,"63,330"
126692,SD,"Rapid City, SD",Accountants and Auditors,detailed,"62,570"
126693,SD,"Rapid City, SD",Appraisers and Assessors of Real Estate,detailed,"45,710"
126694,SD,"Rapid City, SD",Financial Analysts,detailed,"67,250"
126695,SD,"Rapid City, SD",Personal Financial Advisors,detailed,"73,090"
126696,SD,"Rapid City, SD",Insurance Underwriters,detailed,"70,780"
126697,SD,"Rapid City, SD",Loan Officers,detailed,"63,320"
126698,SD,"Rapid City, SD",Tax Preparers,detailed,"36,390"
126700,SD,"Rapid City, SD",Computer Systems Analysts,detailed,"82,190"
126701,SD,"Rapid City, SD",Information Security Analysts,detailed,"89,760"
126702,SD,"Rapid City, SD",Computer Programmers,detailed,"50,160"
126703,SD,"Rapid City, SD","Software Developers, Applications",detailed,"77,980"
126704,SD,"Rapid City, SD",Web Developers,detailed,"43,670"
126705,SD,"Rapid City, SD",Network and Computer Systems Administrators,detailed,"62,180"
126706,SD,"Rapid City, SD",Computer User Support Specialists,detailed,"38,960"
126707,SD,"Rapid City, SD",Computer Network Support Specialists,detailed,"45,740"
126708,SD,"Rapid City, SD","Computer Occupations, All Other",detailed,"77,990"
126710,SD,"Rapid City, SD","Architects, Except Landscape and Naval",detailed,"79,800"
126711,SD,"Rapid City, SD",Landscape Architects,detailed,"60,310"
126712,SD,"Rapid City, SD",Cartographers and Photogrammetrists,detailed,"60,340"
126713,SD,"Rapid City, SD",Civil Engineers,detailed,"68,820"
126714,SD,"Rapid City, SD",Electrical Engineers,detailed,"84,820"
126715,SD,"Rapid City, SD",Environmental Engineers,detailed,"77,690"
126716,SD,"Rapid City, SD",Industrial Engineers,detailed,"60,420"
126717,SD,"Rapid City, SD",Mechanical Engineers,detailed,"76,920"
126718,SD,"Rapid City, SD",Architectural and Civil Drafters,detailed,"39,520"
126719,SD,"Rapid City, SD",Civil Engineering Technicians,detailed,"42,110"
126720,SD,"Rapid City, SD",Surveying and Mapping Technicians,detailed,"34,620"
126722,SD,"Rapid City, SD",Zoologists and Wildlife Biologists,detailed,"55,770"
126723,SD,"Rapid City, SD",Atmospheric and Space Scientists,detailed,"79,870"
126724,SD,"Rapid City, SD","Environmental Scientists and Specialists, Including Health",detailed,"69,530"
126725,SD,"Rapid City, SD","Clinical, Counseling, and School Psychologists",detailed,*
126726,SD,"Rapid City, SD",Biological Technicians,detailed,"32,950"
126727,SD,"Rapid City, SD",Forest and Conservation Technicians,detailed,"36,020"
126728,SD,"Rapid City, SD","Life, Physical, and Social Science Technicians, All Other",detailed,"44,270"
126730,SD,"Rapid City, SD",Substance Abuse and Behavioral Disorder Counselors,detailed,"39,350"
126731,SD,"Rapid City, SD",Mental Health Counselors,detailed,"43,730"
126732,SD,"Rapid City, SD",Rehabilitation Counselors,detailed,"39,270"
126733,SD,"Rapid City, SD","Child, Family, and School Social Workers",detailed,"40,730"
126734,SD,"Rapid City, SD",Healthcare Social Workers,detailed,"41,550"
126735,SD,"Rapid City, SD",Probation Officers and Correctional Treatment Specialists,detailed,"37,760"
126736,SD,"Rapid City, SD",Social and Human Service Assistants,detailed,"23,760"
126738,SD,"Rapid City, SD",Lawyers,detailed,"103,440"
126739,SD,"Rapid City, SD",Paralegals and Legal Assistants,detailed,"40,760"
126740,SD,"Rapid City, SD","Title Examiners, Abstractors, and Searchers",detailed,"43,000"
126742,SD,"Rapid City, SD","Business Teachers, Postsecondary",detailed,"51,660"
126743,SD,"Rapid City, SD","Vocational Education Teachers, Postsecondary",detailed,"49,370"
126744,SD,"Rapid City, SD","Preschool Teachers, Except Special Education",detailed,"27,380"
126745,SD,"Rapid City, SD","Kindergarten Teachers, Except Special Education",detailed,"48,170"
126746,SD,"Rapid City, SD","Elementary School Teachers, Except Special Education",detailed,"51,480"
126747,SD,"Rapid City, SD","Middle School Teachers, Except Special and Career/Technical Education",detailed,"54,010"
126748,SD,"Rapid City, SD","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"54,320"
126749,SD,"Rapid City, SD","Career/Technical Education Teachers, Secondary School",detailed,"47,780"
126750,SD,"Rapid City, SD","Special Education Teachers, Kindergarten and Elementary School",detailed,"54,820"
126751,SD,"Rapid City, SD","Special Education Teachers, Middle School",detailed,"54,950"
126752,SD,"Rapid City, SD","Special Education Teachers, Secondary School",detailed,"49,930"
126753,SD,"Rapid City, SD",Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"46,240"
126754,SD,"Rapid City, SD",Self-Enrichment Education Teachers,detailed,"28,810"
126755,SD,"Rapid City, SD",Substitute Teachers,detailed,"26,700"
126756,SD,"Rapid City, SD",Librarians,detailed,"42,380"
126757,SD,"Rapid City, SD",Library Technicians,detailed,"27,470"
126758,SD,"Rapid City, SD",Instructional Coordinators,detailed,"60,270"
126759,SD,"Rapid City, SD",Teacher Assistants,detailed,"23,060"
126761,SD,"Rapid City, SD",Floral Designers,detailed,"27,360"
126762,SD,"Rapid City, SD",Graphic Designers,detailed,"34,610"
126763,SD,"Rapid City, SD",Merchandise Displayers and Window Trimmers,detailed,"26,310"
126764,SD,"Rapid City, SD",Coaches and Scouts,detailed,"36,210"
126765,SD,"Rapid City, SD",Radio and Television Announcers,detailed,"30,670"
