,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
127360,TN,"Chattanooga, TN-GA",Chief Executives,detailed,"176,800"
127361,TN,"Chattanooga, TN-GA",General and Operations Managers,detailed,"98,900"
127362,TN,"Chattanooga, TN-GA",Legislators,detailed,*
127363,TN,"Chattanooga, TN-GA",Advertising and Promotions Managers,detailed,"90,300"
127364,TN,"Chattanooga, TN-GA",Marketing Managers,detailed,"89,570"
127365,TN,"Chattanooga, TN-GA",Sales Managers,detailed,"95,160"
127366,TN,"Chattanooga, TN-GA",Public Relations and Fundraising Managers,detailed,"79,210"
127367,TN,"Chattanooga, TN-GA",Administrative Services Managers,detailed,"75,480"
127368,TN,"Chattanooga, TN-GA",Computer and Information Systems Managers,detailed,"104,740"
127369,TN,"Chattanooga, TN-GA",Financial Managers,detailed,"111,040"
127370,TN,"Chattanooga, TN-GA",Industrial Production Managers,detailed,"86,470"
127371,TN,"Chattanooga, TN-GA",Purchasing Managers,detailed,"83,740"
127372,TN,"Chattanooga, TN-GA","Transportation, Storage, and Distribution Managers",detailed,"86,470"
127373,TN,"Chattanooga, TN-GA",Compensation and Benefits Managers,detailed,"80,100"
127374,TN,"Chattanooga, TN-GA",Human Resources Managers,detailed,"79,120"
127375,TN,"Chattanooga, TN-GA",Training and Development Managers,detailed,"89,180"
127376,TN,"Chattanooga, TN-GA",Construction Managers,detailed,"92,120"
127377,TN,"Chattanooga, TN-GA","Education Administrators, Preschool and Childcare Center/Program",detailed,"43,560"
127378,TN,"Chattanooga, TN-GA","Education Administrators, Elementary and Secondary School",detailed,"82,000"
127379,TN,"Chattanooga, TN-GA","Education Administrators, Postsecondary",detailed,"83,220"
127380,TN,"Chattanooga, TN-GA","Education Administrators, All Other",detailed,"58,860"
127381,TN,"Chattanooga, TN-GA",Architectural and Engineering Managers,detailed,"125,830"
127382,TN,"Chattanooga, TN-GA",Lodging Managers,detailed,"46,660"
127383,TN,"Chattanooga, TN-GA",Medical and Health Services Managers,detailed,"94,570"
127384,TN,"Chattanooga, TN-GA","Property, Real Estate, and Community Association Managers",detailed,"58,870"
127385,TN,"Chattanooga, TN-GA",Social and Community Service Managers,detailed,"58,590"
127386,TN,"Chattanooga, TN-GA","Managers, All Other",detailed,"90,500"
127388,TN,"Chattanooga, TN-GA","Wholesale and Retail Buyers, Except Farm Products",detailed,"50,110"
127389,TN,"Chattanooga, TN-GA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,290"
127390,TN,"Chattanooga, TN-GA","Claims Adjusters, Examiners, and Investigators",detailed,"50,100"
127391,TN,"Chattanooga, TN-GA",Compliance Officers,detailed,"61,580"
127392,TN,"Chattanooga, TN-GA",Cost Estimators,detailed,"62,570"
127393,TN,"Chattanooga, TN-GA",Human Resources Specialists,detailed,"52,250"
127394,TN,"Chattanooga, TN-GA",Labor Relations Specialists,detailed,"53,060"
127395,TN,"Chattanooga, TN-GA",Logisticians,detailed,"79,900"
127396,TN,"Chattanooga, TN-GA",Management Analysts,detailed,"74,610"
127397,TN,"Chattanooga, TN-GA","Meeting, Convention, and Event Planners",detailed,"40,370"
127398,TN,"Chattanooga, TN-GA",Fundraisers,detailed,"42,280"
127399,TN,"Chattanooga, TN-GA","Compensation, Benefits, and Job Analysis Specialists",detailed,"54,600"
127400,TN,"Chattanooga, TN-GA",Training and Development Specialists,detailed,"68,290"
127401,TN,"Chattanooga, TN-GA",Market Research Analysts and Marketing Specialists,detailed,"57,540"
127402,TN,"Chattanooga, TN-GA","Business Operations Specialists, All Other",detailed,"62,620"
127403,TN,"Chattanooga, TN-GA",Accountants and Auditors,detailed,"64,800"
127404,TN,"Chattanooga, TN-GA",Appraisers and Assessors of Real Estate,detailed,"52,920"
127405,TN,"Chattanooga, TN-GA",Budget Analysts,detailed,"73,170"
127406,TN,"Chattanooga, TN-GA",Credit Analysts,detailed,"70,090"
127407,TN,"Chattanooga, TN-GA",Financial Analysts,detailed,"87,850"
127408,TN,"Chattanooga, TN-GA",Personal Financial Advisors,detailed,"84,520"
127409,TN,"Chattanooga, TN-GA",Insurance Underwriters,detailed,"65,980"
127410,TN,"Chattanooga, TN-GA",Financial Examiners,detailed,"82,200"
127411,TN,"Chattanooga, TN-GA",Loan Officers,detailed,"76,560"
127412,TN,"Chattanooga, TN-GA","Tax Examiners and Collectors, and Revenue Agents",detailed,"60,110"
127413,TN,"Chattanooga, TN-GA",Tax Preparers,detailed,"41,430"
127414,TN,"Chattanooga, TN-GA","Financial Specialists, All Other",detailed,"66,850"
127416,TN,"Chattanooga, TN-GA",Computer Systems Analysts,detailed,"84,350"
127417,TN,"Chattanooga, TN-GA",Information Security Analysts,detailed,"89,710"
127418,TN,"Chattanooga, TN-GA",Computer Programmers,detailed,"76,290"
127419,TN,"Chattanooga, TN-GA","Software Developers, Applications",detailed,"79,600"
127420,TN,"Chattanooga, TN-GA","Software Developers, Systems Software",detailed,"83,920"
127421,TN,"Chattanooga, TN-GA",Web Developers,detailed,"51,920"
127422,TN,"Chattanooga, TN-GA",Database Administrators,detailed,"76,790"
127423,TN,"Chattanooga, TN-GA",Network and Computer Systems Administrators,detailed,"68,460"
127424,TN,"Chattanooga, TN-GA",Computer Network Architects,detailed,"65,410"
127425,TN,"Chattanooga, TN-GA",Computer User Support Specialists,detailed,"46,360"
127426,TN,"Chattanooga, TN-GA",Computer Network Support Specialists,detailed,"50,450"
127427,TN,"Chattanooga, TN-GA","Computer Occupations, All Other",detailed,"65,210"
127429,TN,"Chattanooga, TN-GA",Landscape Architects,detailed,"43,010"
127430,TN,"Chattanooga, TN-GA",Surveyors,detailed,"43,390"
127431,TN,"Chattanooga, TN-GA",Chemical Engineers,detailed,"99,610"
127432,TN,"Chattanooga, TN-GA",Civil Engineers,detailed,"94,380"
127433,TN,"Chattanooga, TN-GA",Computer Hardware Engineers,detailed,"100,390"
