,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
131331,TX,"Abilene, TX",General and Operations Managers,detailed,"113,040"
131332,TX,"Abilene, TX",Sales Managers,detailed,"128,140"
131333,TX,"Abilene, TX",Administrative Services Managers,detailed,"68,480"
131334,TX,"Abilene, TX",Computer and Information Systems Managers,detailed,"94,990"
131335,TX,"Abilene, TX",Financial Managers,detailed,"124,920"
131336,TX,"Abilene, TX",Industrial Production Managers,detailed,"75,250"
131337,TX,"Abilene, TX","Transportation, Storage, and Distribution Managers",detailed,"93,300"
131338,TX,"Abilene, TX",Construction Managers,detailed,"83,030"
131339,TX,"Abilene, TX","Education Administrators, Elementary and Secondary School",detailed,"73,510"
131340,TX,"Abilene, TX","Education Administrators, Postsecondary",detailed,"74,330"
131341,TX,"Abilene, TX",Food Service Managers,detailed,"53,000"
131342,TX,"Abilene, TX",Lodging Managers,detailed,"51,950"
131343,TX,"Abilene, TX",Medical and Health Services Managers,detailed,"84,410"
131344,TX,"Abilene, TX","Property, Real Estate, and Community Association Managers",detailed,"37,670"
131345,TX,"Abilene, TX","Managers, All Other",detailed,"99,140"
131347,TX,"Abilene, TX","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,930"
131348,TX,"Abilene, TX","Claims Adjusters, Examiners, and Investigators",detailed,"56,690"
131349,TX,"Abilene, TX",Compliance Officers,detailed,"49,970"
131350,TX,"Abilene, TX",Cost Estimators,detailed,"52,080"
131351,TX,"Abilene, TX",Human Resources Specialists,detailed,"47,010"
131352,TX,"Abilene, TX",Management Analysts,detailed,"65,170"
131353,TX,"Abilene, TX",Fundraisers,detailed,"57,190"
131354,TX,"Abilene, TX",Training and Development Specialists,detailed,"60,940"
131355,TX,"Abilene, TX",Market Research Analysts and Marketing Specialists,detailed,"49,900"
131356,TX,"Abilene, TX","Business Operations Specialists, All Other",detailed,"74,000"
131357,TX,"Abilene, TX",Accountants and Auditors,detailed,"64,880"
131358,TX,"Abilene, TX",Financial Analysts,detailed,"65,550"
131359,TX,"Abilene, TX",Personal Financial Advisors,detailed,"99,910"
131360,TX,"Abilene, TX",Loan Officers,detailed,"70,840"
131362,TX,"Abilene, TX",Computer Systems Analysts,detailed,"79,710"
131363,TX,"Abilene, TX",Computer Programmers,detailed,"60,170"
131364,TX,"Abilene, TX","Software Developers, Applications",detailed,"85,900"
131365,TX,"Abilene, TX","Software Developers, Systems Software",detailed,"82,040"
131366,TX,"Abilene, TX",Web Developers,detailed,"58,660"
131367,TX,"Abilene, TX",Database Administrators,detailed,"75,260"
131368,TX,"Abilene, TX",Network and Computer Systems Administrators,detailed,"73,330"
131369,TX,"Abilene, TX",Computer Network Architects,detailed,"111,650"
131370,TX,"Abilene, TX",Computer User Support Specialists,detailed,"39,810"
131371,TX,"Abilene, TX",Computer Network Support Specialists,detailed,"47,590"
131373,TX,"Abilene, TX","Architects, Except Landscape and Naval",detailed,"63,990"
131374,TX,"Abilene, TX",Civil Engineers,detailed,"80,370"
131375,TX,"Abilene, TX","Engineers, All Other",detailed,"95,300"
131376,TX,"Abilene, TX",Architectural and Civil Drafters,detailed,"49,380"
131377,TX,"Abilene, TX",Civil Engineering Technicians,detailed,"47,530"
131378,TX,"Abilene, TX",Mechanical Engineering Technicians,detailed,"66,220"
