,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
141643,UT,"Logan, UT-ID",Chief Executives,detailed,"123,900"
141644,UT,"Logan, UT-ID",General and Operations Managers,detailed,"71,300"
141645,UT,"Logan, UT-ID",Legislators,detailed,"25,040"
141646,UT,"Logan, UT-ID",Sales Managers,detailed,"82,800"
141647,UT,"Logan, UT-ID",Administrative Services Managers,detailed,"59,700"
141648,UT,"Logan, UT-ID",Computer and Information Systems Managers,detailed,"113,980"
141649,UT,"Logan, UT-ID",Financial Managers,detailed,"98,400"
141650,UT,"Logan, UT-ID",Industrial Production Managers,detailed,"69,320"
141651,UT,"Logan, UT-ID","Transportation, Storage, and Distribution Managers",detailed,"87,270"
141652,UT,"Logan, UT-ID",Construction Managers,detailed,"63,650"
141653,UT,"Logan, UT-ID","Education Administrators, Elementary and Secondary School",detailed,"84,610"
141654,UT,"Logan, UT-ID","Education Administrators, Postsecondary",detailed,"101,940"
141655,UT,"Logan, UT-ID",Architectural and Engineering Managers,detailed,"105,730"
141656,UT,"Logan, UT-ID",Food Service Managers,detailed,"45,280"
141657,UT,"Logan, UT-ID",Medical and Health Services Managers,detailed,"100,080"
141658,UT,"Logan, UT-ID","Property, Real Estate, and Community Association Managers",detailed,"36,260"
141659,UT,"Logan, UT-ID",Social and Community Service Managers,detailed,"58,030"
141660,UT,"Logan, UT-ID","Managers, All Other",detailed,"90,300"
141662,UT,"Logan, UT-ID","Wholesale and Retail Buyers, Except Farm Products",detailed,"47,270"
141663,UT,"Logan, UT-ID","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"46,620"
141664,UT,"Logan, UT-ID",Compliance Officers,detailed,"62,200"
141665,UT,"Logan, UT-ID",Cost Estimators,detailed,"53,430"
141666,UT,"Logan, UT-ID",Human Resources Specialists,detailed,"57,390"
141667,UT,"Logan, UT-ID",Logisticians,detailed,"52,580"
141668,UT,"Logan, UT-ID",Management Analysts,detailed,"58,000"
141669,UT,"Logan, UT-ID",Training and Development Specialists,detailed,"39,730"
141670,UT,"Logan, UT-ID",Market Research Analysts and Marketing Specialists,detailed,"54,830"
141671,UT,"Logan, UT-ID","Business Operations Specialists, All Other",detailed,"56,620"
141672,UT,"Logan, UT-ID",Accountants and Auditors,detailed,"59,160"
141673,UT,"Logan, UT-ID",Personal Financial Advisors,detailed,"102,750"
141674,UT,"Logan, UT-ID",Loan Officers,detailed,"58,880"
141675,UT,"Logan, UT-ID",Tax Preparers,detailed,"55,140"
141677,UT,"Logan, UT-ID",Computer Programmers,detailed,"51,060"
141678,UT,"Logan, UT-ID","Software Developers, Applications",detailed,"74,470"
141679,UT,"Logan, UT-ID",Web Developers,detailed,"45,520"
141680,UT,"Logan, UT-ID",Network and Computer Systems Administrators,detailed,"60,660"
141681,UT,"Logan, UT-ID",Computer User Support Specialists,detailed,"37,910"
141682,UT,"Logan, UT-ID",Computer Network Support Specialists,detailed,"45,650"
141683,UT,"Logan, UT-ID","Computer Occupations, All Other",detailed,"40,330"
141685,UT,"Logan, UT-ID",Civil Engineers,detailed,"81,440"
141686,UT,"Logan, UT-ID",Electrical Engineers,detailed,"83,720"
141687,UT,"Logan, UT-ID","Electronics Engineers, Except Computer",detailed,"86,580"
141688,UT,"Logan, UT-ID",Industrial Engineers,detailed,"58,640"
141689,UT,"Logan, UT-ID",Mechanical Engineers,detailed,"68,600"
141690,UT,"Logan, UT-ID","Engineers, All Other",detailed,"65,350"
141691,UT,"Logan, UT-ID",Architectural and Civil Drafters,detailed,"44,270"
141692,UT,"Logan, UT-ID",Mechanical Drafters,detailed,"51,150"
141693,UT,"Logan, UT-ID",Electrical and Electronics Engineering Technicians,detailed,"35,790"
141694,UT,"Logan, UT-ID","Engineering Technicians, Except Drafters, All Other",detailed,"28,980"
141696,UT,"Logan, UT-ID",Zoologists and Wildlife Biologists,detailed,"88,160"
141697,UT,"Logan, UT-ID",Conservation Scientists,detailed,"57,910"
141698,UT,"Logan, UT-ID","Environmental Scientists and Specialists, Including Health",detailed,"47,880"
141699,UT,"Logan, UT-ID",Agricultural and Food Science Technicians,detailed,"37,980"
141700,UT,"Logan, UT-ID",Biological Technicians,detailed,"37,830"
141701,UT,"Logan, UT-ID","Environmental Science and Protection Technicians, Including Health",detailed,"35,270"
141702,UT,"Logan, UT-ID",Forest and Conservation Technicians,detailed,"33,690"
141704,UT,"Logan, UT-ID","Educational, Guidance, School, and Vocational Counselors",detailed,"44,370"
141705,UT,"Logan, UT-ID",Mental Health Counselors,detailed,"52,790"
141706,UT,"Logan, UT-ID","Child, Family, and School Social Workers",detailed,"38,510"
141707,UT,"Logan, UT-ID",Healthcare Social Workers,detailed,"49,810"
141708,UT,"Logan, UT-ID",Mental Health and Substance Abuse Social Workers,detailed,"46,330"
141709,UT,"Logan, UT-ID",Social and Human Service Assistants,detailed,"27,890"
141711,UT,"Logan, UT-ID",Lawyers,detailed,"71,420"
141713,UT,"Logan, UT-ID","Business Teachers, Postsecondary",detailed,"155,740"
141714,UT,"Logan, UT-ID","Vocational Education Teachers, Postsecondary",detailed,"54,000"
141715,UT,"Logan, UT-ID","Preschool Teachers, Except Special Education",detailed,"28,560"
141716,UT,"Logan, UT-ID","Elementary School Teachers, Except Special Education",detailed,"54,910"
141717,UT,"Logan, UT-ID","Middle School Teachers, Except Special and Career/Technical Education",detailed,"51,800"
141718,UT,"Logan, UT-ID","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"39,240"
141719,UT,"Logan, UT-ID",Self-Enrichment Education Teachers,detailed,"28,780"
141720,UT,"Logan, UT-ID",Substitute Teachers,detailed,"26,710"
141721,UT,"Logan, UT-ID",Librarians,detailed,"48,470"
141722,UT,"Logan, UT-ID",Library Technicians,detailed,"32,780"
141723,UT,"Logan, UT-ID",Teacher Assistants,detailed,"23,190"
141725,UT,"Logan, UT-ID",Floral Designers,detailed,"22,250"
141726,UT,"Logan, UT-ID",Graphic Designers,detailed,"37,290"
141727,UT,"Logan, UT-ID",Coaches and Scouts,detailed,"49,290"
141728,UT,"Logan, UT-ID",Public Relations Specialists,detailed,"47,720"
141729,UT,"Logan, UT-ID",Technical Writers,detailed,"49,130"
141731,UT,"Logan, UT-ID","Dentists, General",detailed,"124,920"
141732,UT,"Logan, UT-ID",Pharmacists,detailed,"113,980"
