,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
143711,VA,"Blacksburg-Christiansburg-Radford, VA",Chief Executives,detailed,"121,310"
143712,VA,"Blacksburg-Christiansburg-Radford, VA",General and Operations Managers,detailed,"102,170"
143713,VA,"Blacksburg-Christiansburg-Radford, VA",Sales Managers,detailed,"120,940"
143714,VA,"Blacksburg-Christiansburg-Radford, VA",Administrative Services Managers,detailed,"82,830"
143715,VA,"Blacksburg-Christiansburg-Radford, VA",Computer and Information Systems Managers,detailed,"126,450"
143716,VA,"Blacksburg-Christiansburg-Radford, VA",Financial Managers,detailed,"109,870"
143717,VA,"Blacksburg-Christiansburg-Radford, VA",Industrial Production Managers,detailed,"116,610"
143718,VA,"Blacksburg-Christiansburg-Radford, VA",Purchasing Managers,detailed,"101,930"
143719,VA,"Blacksburg-Christiansburg-Radford, VA",Human Resources Managers,detailed,"115,670"
143720,VA,"Blacksburg-Christiansburg-Radford, VA",Construction Managers,detailed,"78,060"
143721,VA,"Blacksburg-Christiansburg-Radford, VA","Education Administrators, Elementary and Secondary School",detailed,"71,830"
143722,VA,"Blacksburg-Christiansburg-Radford, VA",Architectural and Engineering Managers,detailed,"127,310"
143723,VA,"Blacksburg-Christiansburg-Radford, VA",Food Service Managers,detailed,"47,510"
143724,VA,"Blacksburg-Christiansburg-Radford, VA",Medical and Health Services Managers,detailed,"80,910"
143725,VA,"Blacksburg-Christiansburg-Radford, VA",Natural Sciences Managers,detailed,"132,140"
143726,VA,"Blacksburg-Christiansburg-Radford, VA","Property, Real Estate, and Community Association Managers",detailed,"82,430"
143727,VA,"Blacksburg-Christiansburg-Radford, VA",Social and Community Service Managers,detailed,"62,610"
143728,VA,"Blacksburg-Christiansburg-Radford, VA","Managers, All Other",detailed,"132,540"
143730,VA,"Blacksburg-Christiansburg-Radford, VA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"62,820"
143731,VA,"Blacksburg-Christiansburg-Radford, VA",Compliance Officers,detailed,"53,460"
143732,VA,"Blacksburg-Christiansburg-Radford, VA",Cost Estimators,detailed,"54,300"
143733,VA,"Blacksburg-Christiansburg-Radford, VA",Human Resources Specialists,detailed,"50,480"
143734,VA,"Blacksburg-Christiansburg-Radford, VA",Logisticians,detailed,"78,420"
143735,VA,"Blacksburg-Christiansburg-Radford, VA",Management Analysts,detailed,"105,440"
143736,VA,"Blacksburg-Christiansburg-Radford, VA","Meeting, Convention, and Event Planners",detailed,*
143737,VA,"Blacksburg-Christiansburg-Radford, VA",Training and Development Specialists,detailed,"52,180"
143738,VA,"Blacksburg-Christiansburg-Radford, VA",Market Research Analysts and Marketing Specialists,detailed,"62,720"
143739,VA,"Blacksburg-Christiansburg-Radford, VA","Business Operations Specialists, All Other",detailed,"71,230"
143740,VA,"Blacksburg-Christiansburg-Radford, VA",Accountants and Auditors,detailed,"64,980"
143741,VA,"Blacksburg-Christiansburg-Radford, VA",Loan Officers,detailed,"56,840"
143742,VA,"Blacksburg-Christiansburg-Radford, VA","Financial Specialists, All Other",detailed,"73,820"
143744,VA,"Blacksburg-Christiansburg-Radford, VA",Computer Systems Analysts,detailed,"65,110"
143745,VA,"Blacksburg-Christiansburg-Radford, VA",Computer Programmers,detailed,"58,750"
143746,VA,"Blacksburg-Christiansburg-Radford, VA","Software Developers, Applications",detailed,"72,390"
143747,VA,"Blacksburg-Christiansburg-Radford, VA","Software Developers, Systems Software",detailed,"77,250"
143748,VA,"Blacksburg-Christiansburg-Radford, VA",Web Developers,detailed,"56,720"
143749,VA,"Blacksburg-Christiansburg-Radford, VA",Network and Computer Systems Administrators,detailed,"67,940"
143750,VA,"Blacksburg-Christiansburg-Radford, VA",Computer Network Architects,detailed,"85,700"
143751,VA,"Blacksburg-Christiansburg-Radford, VA",Computer User Support Specialists,detailed,"42,800"
143752,VA,"Blacksburg-Christiansburg-Radford, VA",Computer Network Support Specialists,detailed,"52,990"
143753,VA,"Blacksburg-Christiansburg-Radford, VA","Computer Occupations, All Other",detailed,"88,260"
143755,VA,"Blacksburg-Christiansburg-Radford, VA","Architects, Except Landscape and Naval",detailed,"89,060"
143756,VA,"Blacksburg-Christiansburg-Radford, VA",Chemical Engineers,detailed,"95,890"
143757,VA,"Blacksburg-Christiansburg-Radford, VA",Civil Engineers,detailed,"79,170"
143758,VA,"Blacksburg-Christiansburg-Radford, VA",Electrical Engineers,detailed,"74,600"
143759,VA,"Blacksburg-Christiansburg-Radford, VA","Electronics Engineers, Except Computer",detailed,"87,730"
143760,VA,"Blacksburg-Christiansburg-Radford, VA",Industrial Engineers,detailed,"72,050"
143761,VA,"Blacksburg-Christiansburg-Radford, VA",Materials Engineers,detailed,"101,940"
143762,VA,"Blacksburg-Christiansburg-Radford, VA",Mechanical Engineers,detailed,"89,340"
143763,VA,"Blacksburg-Christiansburg-Radford, VA",Architectural and Civil Drafters,detailed,"42,950"
143764,VA,"Blacksburg-Christiansburg-Radford, VA",Mechanical Drafters,detailed,"50,050"
143765,VA,"Blacksburg-Christiansburg-Radford, VA",Electrical and Electronics Engineering Technicians,detailed,"47,190"
