,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
147192,VT,"Burlington-South Burlington, VT",Chief Executives,detailed,"185,010"
147193,VT,"Burlington-South Burlington, VT",General and Operations Managers,detailed,"122,320"
147194,VT,"Burlington-South Burlington, VT",Marketing Managers,detailed,"122,480"
147195,VT,"Burlington-South Burlington, VT",Sales Managers,detailed,*
147196,VT,"Burlington-South Burlington, VT",Public Relations and Fundraising Managers,detailed,"97,510"
147197,VT,"Burlington-South Burlington, VT",Administrative Services Managers,detailed,"86,090"
147198,VT,"Burlington-South Burlington, VT",Computer and Information Systems Managers,detailed,"144,520"
147199,VT,"Burlington-South Burlington, VT",Financial Managers,detailed,"140,540"
147200,VT,"Burlington-South Burlington, VT",Industrial Production Managers,detailed,"112,760"
147201,VT,"Burlington-South Burlington, VT",Purchasing Managers,detailed,"101,420"
147202,VT,"Burlington-South Burlington, VT","Transportation, Storage, and Distribution Managers",detailed,"89,080"
147203,VT,"Burlington-South Burlington, VT",Human Resources Managers,detailed,"110,770"
147204,VT,"Burlington-South Burlington, VT",Training and Development Managers,detailed,"90,750"
147205,VT,"Burlington-South Burlington, VT",Construction Managers,detailed,"92,600"
147206,VT,"Burlington-South Burlington, VT","Education Administrators, Preschool and Childcare Center/Program",detailed,"43,220"
147207,VT,"Burlington-South Burlington, VT","Education Administrators, Elementary and Secondary School",detailed,"97,620"
147208,VT,"Burlington-South Burlington, VT","Education Administrators, Postsecondary",detailed,"82,930"
147209,VT,"Burlington-South Burlington, VT","Education Administrators, All Other",detailed,"62,850"
147210,VT,"Burlington-South Burlington, VT",Architectural and Engineering Managers,detailed,"112,140"
147211,VT,"Burlington-South Burlington, VT",Food Service Managers,detailed,"59,630"
147212,VT,"Burlington-South Burlington, VT",Lodging Managers,detailed,"59,740"
147213,VT,"Burlington-South Burlington, VT",Medical and Health Services Managers,detailed,"92,360"
147214,VT,"Burlington-South Burlington, VT","Property, Real Estate, and Community Association Managers",detailed,"68,800"
147215,VT,"Burlington-South Burlington, VT",Social and Community Service Managers,detailed,"69,950"
147216,VT,"Burlington-South Burlington, VT","Managers, All Other",detailed,"106,210"
147218,VT,"Burlington-South Burlington, VT","Buyers and Purchasing Agents, Farm Products",detailed,"63,870"
147219,VT,"Burlington-South Burlington, VT","Wholesale and Retail Buyers, Except Farm Products",detailed,"45,590"
147220,VT,"Burlington-South Burlington, VT","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"61,890"
147221,VT,"Burlington-South Burlington, VT","Claims Adjusters, Examiners, and Investigators",detailed,"67,470"
147222,VT,"Burlington-South Burlington, VT",Compliance Officers,detailed,"65,910"
147223,VT,"Burlington-South Burlington, VT",Cost Estimators,detailed,"83,710"
147224,VT,"Burlington-South Burlington, VT",Human Resources Specialists,detailed,"62,010"
147225,VT,"Burlington-South Burlington, VT",Labor Relations Specialists,detailed,"78,250"
147226,VT,"Burlington-South Burlington, VT",Logisticians,detailed,"64,650"
147227,VT,"Burlington-South Burlington, VT",Management Analysts,detailed,"99,840"
147228,VT,"Burlington-South Burlington, VT","Meeting, Convention, and Event Planners",detailed,"42,580"
147229,VT,"Burlington-South Burlington, VT",Fundraisers,detailed,"52,120"
147230,VT,"Burlington-South Burlington, VT","Compensation, Benefits, and Job Analysis Specialists",detailed,"64,140"
147231,VT,"Burlington-South Burlington, VT",Training and Development Specialists,detailed,"62,350"
147232,VT,"Burlington-South Burlington, VT",Market Research Analysts and Marketing Specialists,detailed,"59,080"
147233,VT,"Burlington-South Burlington, VT","Business Operations Specialists, All Other",detailed,"71,840"
147234,VT,"Burlington-South Burlington, VT",Accountants and Auditors,detailed,"75,310"
147235,VT,"Burlington-South Burlington, VT",Appraisers and Assessors of Real Estate,detailed,"48,920"
147236,VT,"Burlington-South Burlington, VT",Budget Analysts,detailed,"59,200"
147237,VT,"Burlington-South Burlington, VT",Credit Analysts,detailed,"57,050"
147238,VT,"Burlington-South Burlington, VT",Financial Analysts,detailed,"106,140"
147239,VT,"Burlington-South Burlington, VT",Personal Financial Advisors,detailed,"70,960"
147240,VT,"Burlington-South Burlington, VT",Insurance Underwriters,detailed,"62,900"
147241,VT,"Burlington-South Burlington, VT",Loan Officers,detailed,"75,680"
147242,VT,"Burlington-South Burlington, VT",Tax Preparers,detailed,"43,850"
147243,VT,"Burlington-South Burlington, VT","Financial Specialists, All Other",detailed,"69,720"
147245,VT,"Burlington-South Burlington, VT",Computer Systems Analysts,detailed,"73,970"
147246,VT,"Burlington-South Burlington, VT",Information Security Analysts,detailed,"87,570"
147247,VT,"Burlington-South Burlington, VT",Computer Programmers,detailed,"67,580"
147248,VT,"Burlington-South Burlington, VT","Software Developers, Applications",detailed,"82,390"
147249,VT,"Burlington-South Burlington, VT","Software Developers, Systems Software",detailed,"96,430"
147250,VT,"Burlington-South Burlington, VT",Web Developers,detailed,"71,200"
147251,VT,"Burlington-South Burlington, VT",Database Administrators,detailed,"72,190"
147252,VT,"Burlington-South Burlington, VT",Network and Computer Systems Administrators,detailed,"86,620"
147253,VT,"Burlington-South Burlington, VT",Computer Network Architects,detailed,"82,370"
147254,VT,"Burlington-South Burlington, VT",Computer User Support Specialists,detailed,"55,930"
147255,VT,"Burlington-South Burlington, VT",Computer Network Support Specialists,detailed,"55,070"
147256,VT,"Burlington-South Burlington, VT","Computer Occupations, All Other",detailed,"88,730"
147257,VT,"Burlington-South Burlington, VT",Operations Research Analysts,detailed,"75,730"
147259,VT,"Burlington-South Burlington, VT","Architects, Except Landscape and Naval",detailed,"73,820"
147260,VT,"Burlington-South Burlington, VT",Landscape Architects,detailed,"70,990"
147261,VT,"Burlington-South Burlington, VT",Biomedical Engineers,detailed,"93,410"
147262,VT,"Burlington-South Burlington, VT",Civil Engineers,detailed,"71,130"
147263,VT,"Burlington-South Burlington, VT",Computer Hardware Engineers,detailed,"112,150"
147264,VT,"Burlington-South Burlington, VT",Electrical Engineers,detailed,"98,920"
