,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
147616,WA,"Bellingham, WA",Chief Executives,detailed,"145,450"
147617,WA,"Bellingham, WA",General and Operations Managers,detailed,"95,680"
147618,WA,"Bellingham, WA",Legislators,detailed,*
147619,WA,"Bellingham, WA",Marketing Managers,detailed,"124,010"
147620,WA,"Bellingham, WA",Sales Managers,detailed,"98,520"
147621,WA,"Bellingham, WA",Public Relations and Fundraising Managers,detailed,"93,530"
147622,WA,"Bellingham, WA",Administrative Services Managers,detailed,"80,250"
147623,WA,"Bellingham, WA",Computer and Information Systems Managers,detailed,"124,800"
147624,WA,"Bellingham, WA",Financial Managers,detailed,"125,690"
147625,WA,"Bellingham, WA",Industrial Production Managers,detailed,"74,170"
147626,WA,"Bellingham, WA","Transportation, Storage, and Distribution Managers",detailed,"84,790"
147627,WA,"Bellingham, WA",Human Resources Managers,detailed,"82,830"
147628,WA,"Bellingham, WA",Construction Managers,detailed,"96,310"
147629,WA,"Bellingham, WA","Education Administrators, Elementary and Secondary School",detailed,"102,480"
147630,WA,"Bellingham, WA","Education Administrators, Postsecondary",detailed,"96,420"
147631,WA,"Bellingham, WA",Architectural and Engineering Managers,detailed,"124,560"
147632,WA,"Bellingham, WA",Food Service Managers,detailed,"53,480"
147633,WA,"Bellingham, WA",Medical and Health Services Managers,detailed,*
147634,WA,"Bellingham, WA","Property, Real Estate, and Community Association Managers",detailed,"66,660"
147635,WA,"Bellingham, WA",Social and Community Service Managers,detailed,"56,590"
147636,WA,"Bellingham, WA","Managers, All Other",detailed,"100,870"
147638,WA,"Bellingham, WA","Wholesale and Retail Buyers, Except Farm Products",detailed,"56,730"
147639,WA,"Bellingham, WA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"50,400"
147640,WA,"Bellingham, WA","Claims Adjusters, Examiners, and Investigators",detailed,"66,370"
147641,WA,"Bellingham, WA",Compliance Officers,detailed,"74,580"
147642,WA,"Bellingham, WA",Cost Estimators,detailed,"72,010"
147643,WA,"Bellingham, WA",Human Resources Specialists,detailed,"53,980"
147644,WA,"Bellingham, WA",Labor Relations Specialists,detailed,"85,670"
147645,WA,"Bellingham, WA",Logisticians,detailed,"94,130"
147646,WA,"Bellingham, WA",Management Analysts,detailed,"113,890"
147647,WA,"Bellingham, WA","Meeting, Convention, and Event Planners",detailed,"36,970"
147648,WA,"Bellingham, WA",Fundraisers,detailed,"48,330"
147649,WA,"Bellingham, WA",Training and Development Specialists,detailed,"50,000"
147650,WA,"Bellingham, WA",Market Research Analysts and Marketing Specialists,detailed,"49,720"
147651,WA,"Bellingham, WA","Business Operations Specialists, All Other",detailed,"59,390"
147652,WA,"Bellingham, WA",Accountants and Auditors,detailed,"65,040"
147653,WA,"Bellingham, WA",Financial Analysts,detailed,"89,600"
147654,WA,"Bellingham, WA",Personal Financial Advisors,detailed,"106,540"
147655,WA,"Bellingham, WA",Loan Officers,detailed,"60,520"
147656,WA,"Bellingham, WA","Tax Examiners and Collectors, and Revenue Agents",detailed,"61,720"
147657,WA,"Bellingham, WA",Tax Preparers,detailed,"31,110"
147658,WA,"Bellingham, WA","Financial Specialists, All Other",detailed,"48,230"
147660,WA,"Bellingham, WA",Computer Systems Analysts,detailed,"77,680"
147661,WA,"Bellingham, WA",Computer Programmers,detailed,"98,150"
147662,WA,"Bellingham, WA","Software Developers, Applications",detailed,"73,200"
147663,WA,"Bellingham, WA","Software Developers, Systems Software",detailed,"94,320"
147664,WA,"Bellingham, WA",Web Developers,detailed,"62,550"
147665,WA,"Bellingham, WA",Network and Computer Systems Administrators,detailed,"71,340"
147666,WA,"Bellingham, WA",Computer User Support Specialists,detailed,"44,840"
147667,WA,"Bellingham, WA",Computer Network Support Specialists,detailed,"54,460"
147668,WA,"Bellingham, WA","Computer Occupations, All Other",detailed,"54,120"
147670,WA,"Bellingham, WA",Civil Engineers,detailed,"86,610"
