,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
151859,WI,"Appleton, WI",Chief Executives,detailed,"140,600"
151860,WI,"Appleton, WI",General and Operations Managers,detailed,"99,700"
151861,WI,"Appleton, WI",Legislators,detailed,"24,310"
151862,WI,"Appleton, WI",Marketing Managers,detailed,"115,070"
151863,WI,"Appleton, WI",Sales Managers,detailed,"104,720"
151864,WI,"Appleton, WI",Administrative Services Managers,detailed,"85,430"
151865,WI,"Appleton, WI",Computer and Information Systems Managers,detailed,"106,820"
151866,WI,"Appleton, WI",Financial Managers,detailed,"100,620"
151867,WI,"Appleton, WI",Industrial Production Managers,detailed,"108,300"
151868,WI,"Appleton, WI",Purchasing Managers,detailed,"89,750"
151869,WI,"Appleton, WI","Transportation, Storage, and Distribution Managers",detailed,"84,140"
151870,WI,"Appleton, WI",Human Resources Managers,detailed,"101,880"
151871,WI,"Appleton, WI",Construction Managers,detailed,"118,410"
151872,WI,"Appleton, WI","Education Administrators, Preschool and Childcare Center/Program",detailed,"51,940"
151873,WI,"Appleton, WI","Education Administrators, Elementary and Secondary School",detailed,"96,370"
151874,WI,"Appleton, WI",Architectural and Engineering Managers,detailed,"112,180"
151875,WI,"Appleton, WI",Food Service Managers,detailed,"35,950"
151876,WI,"Appleton, WI",Medical and Health Services Managers,detailed,"77,080"
151877,WI,"Appleton, WI","Property, Real Estate, and Community Association Managers",detailed,"53,400"
151878,WI,"Appleton, WI",Social and Community Service Managers,detailed,"59,020"
151879,WI,"Appleton, WI","Managers, All Other",detailed,"69,240"
151881,WI,"Appleton, WI","Wholesale and Retail Buyers, Except Farm Products",detailed,"41,330"
151882,WI,"Appleton, WI","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"54,200"
151883,WI,"Appleton, WI","Claims Adjusters, Examiners, and Investigators",detailed,"65,280"
151884,WI,"Appleton, WI",Compliance Officers,detailed,"69,160"
151885,WI,"Appleton, WI",Cost Estimators,detailed,"56,840"
