,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
156162,WV,"Beckley, WV",Chief Executives,detailed,"89,100"
156163,WV,"Beckley, WV",General and Operations Managers,detailed,"83,440"
156164,WV,"Beckley, WV",Administrative Services Managers,detailed,"71,240"
156165,WV,"Beckley, WV",Financial Managers,detailed,"81,010"
156166,WV,"Beckley, WV","Education Administrators, Elementary and Secondary School",detailed,"75,260"
156167,WV,"Beckley, WV","Education Administrators, All Other",detailed,"90,060"
156168,WV,"Beckley, WV",Food Service Managers,detailed,"48,340"
156169,WV,"Beckley, WV",Medical and Health Services Managers,detailed,"112,060"
156170,WV,"Beckley, WV","Property, Real Estate, and Community Association Managers",detailed,"30,710"
156171,WV,"Beckley, WV",Social and Community Service Managers,detailed,"61,360"
156173,WV,"Beckley, WV","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"57,140"
156174,WV,"Beckley, WV",Compliance Officers,detailed,"48,460"
156175,WV,"Beckley, WV",Cost Estimators,detailed,"49,080"
156176,WV,"Beckley, WV",Human Resources Specialists,detailed,"51,470"
156177,WV,"Beckley, WV",Management Analysts,detailed,"70,500"
156178,WV,"Beckley, WV",Market Research Analysts and Marketing Specialists,detailed,"40,760"
156179,WV,"Beckley, WV","Business Operations Specialists, All Other",detailed,"61,950"
156180,WV,"Beckley, WV",Accountants and Auditors,detailed,"79,420"
156181,WV,"Beckley, WV",Appraisers and Assessors of Real Estate,detailed,"39,850"
156182,WV,"Beckley, WV",Loan Officers,detailed,"59,200"
156183,WV,"Beckley, WV","Financial Specialists, All Other",detailed,"66,950"
156185,WV,"Beckley, WV",Computer Systems Analysts,detailed,"64,300"
156186,WV,"Beckley, WV",Web Developers,detailed,"30,920"
156187,WV,"Beckley, WV",Network and Computer Systems Administrators,detailed,"55,910"
156188,WV,"Beckley, WV",Computer User Support Specialists,detailed,"35,520"
156189,WV,"Beckley, WV",Computer Network Support Specialists,detailed,"43,720"
156190,WV,"Beckley, WV","Computer Occupations, All Other",detailed,"64,280"
156192,WV,"Beckley, WV",Surveyors,detailed,"47,150"
156193,WV,"Beckley, WV",Civil Engineers,detailed,"64,010"
156194,WV,"Beckley, WV",Electrical Engineers,detailed,"76,680"
156195,WV,"Beckley, WV","Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"81,560"
156196,WV,"Beckley, WV","Engineers, All Other",detailed,"71,100"
156197,WV,"Beckley, WV",Architectural and Civil Drafters,detailed,"51,110"
156199,WV,"Beckley, WV",Chemical Technicians,detailed,"29,210"
156200,WV,"Beckley, WV","Environmental Science and Protection Technicians, Including Health",detailed,"33,250"
156202,WV,"Beckley, WV","Educational, Guidance, School, and Vocational Counselors",detailed,"45,370"
156203,WV,"Beckley, WV",Rehabilitation Counselors,detailed,"39,550"
156204,WV,"Beckley, WV","Child, Family, and School Social Workers",detailed,"31,700"
156205,WV,"Beckley, WV",Healthcare Social Workers,detailed,"39,180"
156206,WV,"Beckley, WV","Social Workers, All Other",detailed,"61,990"
156207,WV,"Beckley, WV",Health Educators,detailed,"39,940"
156208,WV,"Beckley, WV",Social and Human Service Assistants,detailed,"28,490"
156209,WV,"Beckley, WV","Community and Social Service Specialists, All Other",detailed,"38,040"
156211,WV,"Beckley, WV",Lawyers,detailed,"83,170"
156212,WV,"Beckley, WV",Paralegals and Legal Assistants,detailed,"36,650"
156214,WV,"Beckley, WV","Business Teachers, Postsecondary",detailed,"72,660"
156215,WV,"Beckley, WV","Computer Science Teachers, Postsecondary",detailed,"82,710"
156216,WV,"Beckley, WV","Nursing Instructors and Teachers, Postsecondary",detailed,"60,060"
156217,WV,"Beckley, WV","Vocational Education Teachers, Postsecondary",detailed,"52,940"
156218,WV,"Beckley, WV","Preschool Teachers, Except Special Education",detailed,"43,210"
156219,WV,"Beckley, WV","Secondary School Teachers, Except Special and Career/Technical Education",detailed,"46,560"
156220,WV,"Beckley, WV","Special Education Teachers, Kindergarten and Elementary School",detailed,"49,450"
156221,WV,"Beckley, WV",Self-Enrichment Education Teachers,detailed,"22,470"
156222,WV,"Beckley, WV","Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"54,100"
156223,WV,"Beckley, WV",Instructional Coordinators,detailed,"61,040"
156224,WV,"Beckley, WV",Teacher Assistants,detailed,"26,260"
156227,WV,"Beckley, WV",Pharmacists,detailed,"140,060"
156228,WV,"Beckley, WV","Physicians and Surgeons, All Other",detailed,"186,410"
156229,WV,"Beckley, WV",Physician Assistants,detailed,"83,310"
156230,WV,"Beckley, WV",Occupational Therapists,detailed,"72,990"
156231,WV,"Beckley, WV",Physical Therapists,detailed,"80,730"
156232,WV,"Beckley, WV",Speech-Language Pathologists,detailed,"67,210"
156233,WV,"Beckley, WV",Registered Nurses,detailed,"58,900"
156234,WV,"Beckley, WV",Nurse Practitioners,detailed,"86,220"
156235,WV,"Beckley, WV",Medical and Clinical Laboratory Technologists,detailed,"53,700"
156236,WV,"Beckley, WV",Medical and Clinical Laboratory Technicians,detailed,"34,760"
156237,WV,"Beckley, WV",Dental Hygienists,detailed,"52,860"
156238,WV,"Beckley, WV",Cardiovascular Technologists and Technicians,detailed,"36,010"
156239,WV,"Beckley, WV",Diagnostic Medical Sonographers,detailed,"59,490"
156240,WV,"Beckley, WV",Radiologic Technologists,detailed,"46,060"
156241,WV,"Beckley, WV",Pharmacy Technicians,detailed,"28,440"
156242,WV,"Beckley, WV",Licensed Practical and Licensed Vocational Nurses,detailed,"33,500"
156243,WV,"Beckley, WV",Medical Records and Health Information Technicians,detailed,"35,000"
156244,WV,"Beckley, WV",Occupational Health and Safety Specialists,detailed,"76,160"
156246,WV,"Beckley, WV",Home Health Aides,detailed,"19,460"
156247,WV,"Beckley, WV",Nursing Assistants,detailed,"23,800"
156248,WV,"Beckley, WV",Physical Therapist Assistants,detailed,"54,970"
156249,WV,"Beckley, WV",Dental Assistants,detailed,"24,740"
156250,WV,"Beckley, WV",Medical Assistants,detailed,"25,770"
156251,WV,"Beckley, WV",Phlebotomists,detailed,"26,040"
156253,WV,"Beckley, WV","First-Line Supervisors of Protective Service Workers, All Other",detailed,"50,290"
156254,WV,"Beckley, WV",Correctional Officers and Jailers,detailed,"34,980"
156255,WV,"Beckley, WV",Police and Sheriff's Patrol Officers,detailed,"36,550"
156256,WV,"Beckley, WV",Security Guards,detailed,"19,200"
156257,WV,"Beckley, WV","Protective Service Workers, All Other",detailed,"37,670"
156259,WV,"Beckley, WV",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"26,080"
156260,WV,"Beckley, WV","Cooks, Institution and Cafeteria",detailed,"21,920"
156261,WV,"Beckley, WV","Cooks, Restaurant",detailed,"20,770"
156262,WV,"Beckley, WV",Food Preparation Workers,detailed,"19,270"
156263,WV,"Beckley, WV",Bartenders,detailed,"18,690"
156264,WV,"Beckley, WV","Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"18,700"
156265,WV,"Beckley, WV",Waiters and Waitresses,detailed,"21,910"
156266,WV,"Beckley, WV",Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"19,070"
156267,WV,"Beckley, WV",Dishwashers,detailed,"19,380"
156268,WV,"Beckley, WV","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"18,600"
156270,WV,"Beckley, WV",First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"28,710"
156271,WV,"Beckley, WV","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"62,510"
156272,WV,"Beckley, WV","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"23,240"
156273,WV,"Beckley, WV",Maids and Housekeeping Cleaners,detailed,"19,160"
156274,WV,"Beckley, WV",Landscaping and Groundskeeping Workers,detailed,"22,550"
