,PRIM_STATE,AREA_NAME,OCC_TITLE,OCC_GROUP,A_MEAN
158105,WY,"Casper, WY",General and Operations Managers,detailed,"118,420"
158106,WY,"Casper, WY",Administrative Services Managers,detailed,"85,340"
158107,WY,"Casper, WY",Financial Managers,detailed,"107,220"
158108,WY,"Casper, WY",Industrial Production Managers,detailed,"98,720"
158109,WY,"Casper, WY","Transportation, Storage, and Distribution Managers",detailed,"98,520"
158110,WY,"Casper, WY",Construction Managers,detailed,"85,360"
158111,WY,"Casper, WY",Food Service Managers,detailed,"43,880"
158112,WY,"Casper, WY",Medical and Health Services Managers,detailed,"90,020"
158113,WY,"Casper, WY","Property, Real Estate, and Community Association Managers",detailed,"66,300"
158114,WY,"Casper, WY",Social and Community Service Managers,detailed,"61,180"
158115,WY,"Casper, WY","Managers, All Other",detailed,"108,490"
158117,WY,"Casper, WY","Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"56,430"
158118,WY,"Casper, WY","Claims Adjusters, Examiners, and Investigators",detailed,"63,200"
158119,WY,"Casper, WY",Compliance Officers,detailed,"66,650"
158120,WY,"Casper, WY",Cost Estimators,detailed,"65,960"
158121,WY,"Casper, WY",Human Resources Specialists,detailed,"47,410"
158122,WY,"Casper, WY",Management Analysts,detailed,"99,340"
158123,WY,"Casper, WY","Meeting, Convention, and Event Planners",detailed,"31,900"
158124,WY,"Casper, WY",Market Research Analysts and Marketing Specialists,detailed,"54,480"
158125,WY,"Casper, WY","Business Operations Specialists, All Other",detailed,"81,360"
158126,WY,"Casper, WY",Accountants and Auditors,detailed,"78,660"
158127,WY,"Casper, WY",Personal Financial Advisors,detailed,"114,430"
158128,WY,"Casper, WY",Loan Officers,detailed,"63,200"
158130,WY,"Casper, WY",Network and Computer Systems Administrators,detailed,"62,420"
158131,WY,"Casper, WY",Computer User Support Specialists,detailed,"42,880"
158133,WY,"Casper, WY",Surveyors,detailed,"64,450"
158134,WY,"Casper, WY",Civil Engineers,detailed,"73,260"
158135,WY,"Casper, WY",Electrical Engineers,detailed,"78,320"
158136,WY,"Casper, WY",Industrial Engineers,detailed,*
158137,WY,"Casper, WY",Mechanical Engineers,detailed,"80,040"
158138,WY,"Casper, WY",Petroleum Engineers,detailed,"99,300"
158139,WY,"Casper, WY",Architectural and Civil Drafters,detailed,"49,640"
158140,WY,"Casper, WY",Civil Engineering Technicians,detailed,"43,750"
158142,WY,"Casper, WY",Chemists,detailed,"50,380"
158143,WY,"Casper, WY","Environmental Scientists and Specialists, Including Health",detailed,"62,040"
158144,WY,"Casper, WY","Geoscientists, Except Hydrologists and Geographers",detailed,"80,690"
158145,WY,"Casper, WY",Chemical Technicians,detailed,"34,530"
158146,WY,"Casper, WY",Geological and Petroleum Technicians,detailed,*
158147,WY,"Casper, WY","Environmental Science and Protection Technicians, Including Health",detailed,"42,670"
158149,WY,"Casper, WY",Substance Abuse and Behavioral Disorder Counselors,detailed,"44,440"
158150,WY,"Casper, WY",Mental Health Counselors,detailed,"60,880"
158151,WY,"Casper, WY",Rehabilitation Counselors,detailed,"32,070"
158152,WY,"Casper, WY","Child, Family, and School Social Workers",detailed,"44,940"
158153,WY,"Casper, WY",Mental Health and Substance Abuse Social Workers,detailed,*
158154,WY,"Casper, WY",Social and Human Service Assistants,detailed,"30,810"
158156,WY,"Casper, WY",Lawyers,detailed,"101,050"
158157,WY,"Casper, WY",Paralegals and Legal Assistants,detailed,"44,450"
158159,WY,"Casper, WY","Preschool Teachers, Except Special Education",detailed,"38,570"
158160,WY,"Casper, WY",Library Technicians,detailed,"34,160"
158161,WY,"Casper, WY",Instructional Coordinators,detailed,"68,810"
158162,WY,"Casper, WY",Teacher Assistants,detailed,"30,800"
158164,WY,"Casper, WY",Choreographers,detailed,"27,790"
158165,WY,"Casper, WY",Public Relations Specialists,detailed,"53,950"
158166,WY,"Casper, WY",Broadcast Technicians,detailed,"28,260"
158168,WY,"Casper, WY","Dentists, General",detailed,"170,690"
158169,WY,"Casper, WY",Pharmacists,detailed,"115,640"
158170,WY,"Casper, WY",Family and General Practitioners,detailed,"157,990"
158171,WY,"Casper, WY","Physicians and Surgeons, All Other",detailed,#
158172,WY,"Casper, WY",Physician Assistants,detailed,"105,690"
158173,WY,"Casper, WY",Occupational Therapists,detailed,"72,300"
158174,WY,"Casper, WY",Physical Therapists,detailed,"78,370"
158175,WY,"Casper, WY",Respiratory Therapists,detailed,"50,640"
158176,WY,"Casper, WY",Speech-Language Pathologists,detailed,"66,660"
158177,WY,"Casper, WY",Registered Nurses,detailed,"58,150"
158178,WY,"Casper, WY",Nurse Practitioners,detailed,"98,500"
158179,WY,"Casper, WY",Medical and Clinical Laboratory Technicians,detailed,"37,930"
158180,WY,"Casper, WY",Dental Hygienists,detailed,"71,290"
158181,WY,"Casper, WY",Radiologic Technologists,detailed,"43,500"
158182,WY,"Casper, WY",Emergency Medical Technicians and Paramedics,detailed,"38,870"
158183,WY,"Casper, WY",Pharmacy Technicians,detailed,"34,050"
158184,WY,"Casper, WY",Surgical Technologists,detailed,"41,870"
158185,WY,"Casper, WY",Licensed Practical and Licensed Vocational Nurses,detailed,"44,030"
158186,WY,"Casper, WY",Medical Records and Health Information Technicians,detailed,"39,930"
158187,WY,"Casper, WY","Opticians, Dispensing",detailed,"35,160"
158188,WY,"Casper, WY",Occupational Health and Safety Specialists,detailed,"58,090"
158190,WY,"Casper, WY",Nursing Assistants,detailed,"27,820"
158191,WY,"Casper, WY",Occupational Therapy Assistants,detailed,"52,860"
158192,WY,"Casper, WY",Dental Assistants,detailed,"38,670"
158193,WY,"Casper, WY",Medical Assistants,detailed,"33,150"
158194,WY,"Casper, WY",Phlebotomists,detailed,"31,230"
158195,WY,"Casper, WY","Healthcare Support Workers, All Other",detailed,"36,600"
158197,WY,"Casper, WY","First-Line Supervisors of Protective Service Workers, All Other",detailed,"43,300"
158198,WY,"Casper, WY",Security Guards,detailed,"29,130"
158199,WY,"Casper, WY","Protective Service Workers, All Other",detailed,"33,330"
158201,WY,"Casper, WY",First-Line Supervisors of Food Preparation and Serving Workers,detailed,"32,360"
158202,WY,"Casper, WY","Cooks, Fast Food",detailed,"20,110"
158203,WY,"Casper, WY","Cooks, Institution and Cafeteria",detailed,"27,720"
158204,WY,"Casper, WY","Cooks, Restaurant",detailed,"24,500"
158205,WY,"Casper, WY","Cooks, Short Order",detailed,"23,260"
158206,WY,"Casper, WY",Food Preparation Workers,detailed,"22,300"
158207,WY,"Casper, WY",Bartenders,detailed,"19,170"
158208,WY,"Casper, WY","Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"18,910"
158209,WY,"Casper, WY","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"23,610"
158210,WY,"Casper, WY",Waiters and Waitresses,detailed,"20,660"
158211,WY,"Casper, WY",Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"17,670"
158212,WY,"Casper, WY",Dishwashers,detailed,"19,530"
158213,WY,"Casper, WY","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"18,410"
158215,WY,"Casper, WY",First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"35,010"
158216,WY,"Casper, WY","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"27,030"
158217,WY,"Casper, WY",Maids and Housekeeping Cleaners,detailed,"21,790"
158218,WY,"Casper, WY",Landscaping and Groundskeeping Workers,detailed,"32,180"
158220,WY,"Casper, WY",First-Line Supervisors of Personal Service Workers,detailed,"33,320"
158221,WY,"Casper, WY",Nonfarm Animal Caretakers,detailed,"24,930"
158222,WY,"Casper, WY","Hairdressers, Hairstylists, and Cosmetologists",detailed,"28,730"
158223,WY,"Casper, WY",Childcare Workers,detailed,"22,500"
158224,WY,"Casper, WY",Personal Care Aides,detailed,"23,680"
158225,WY,"Casper, WY",Fitness Trainers and Aerobics Instructors,detailed,"30,450"
158226,WY,"Casper, WY",Recreation Workers,detailed,"25,120"
158228,WY,"Casper, WY",First-Line Supervisors of Retail Sales Workers,detailed,"41,220"
158229,WY,"Casper, WY",First-Line Supervisors of Non-Retail Sales Workers,detailed,"71,000"
158230,WY,"Casper, WY",Cashiers,detailed,"22,780"
158231,WY,"Casper, WY",Counter and Rental Clerks,detailed,"26,040"
158232,WY,"Casper, WY",Parts Salespersons,detailed,"37,040"
158233,WY,"Casper, WY",Retail Salespersons,detailed,"27,320"
158234,WY,"Casper, WY",Advertising Sales Agents,detailed,"49,520"
158235,WY,"Casper, WY",Insurance Sales Agents,detailed,"39,590"
158236,WY,"Casper, WY","Sales Representatives, Services, All Other",detailed,"63,460"
158237,WY,"Casper, WY","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"139,970"
158238,WY,"Casper, WY","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"56,450"
158240,WY,"Casper, WY",First-Line Supervisors of Office and Administrative Support Workers,detailed,"47,260"
158241,WY,"Casper, WY","Switchboard Operators, Including Answering Service",detailed,"26,830"
158242,WY,"Casper, WY",Bill and Account Collectors,detailed,"37,000"
158243,WY,"Casper, WY",Billing and Posting Clerks,detailed,"38,320"
158244,WY,"Casper, WY","Bookkeeping, Accounting, and Auditing Clerks",detailed,"38,150"
158245,WY,"Casper, WY",Payroll and Timekeeping Clerks,detailed,"41,740"
158246,WY,"Casper, WY",Tellers,detailed,"26,410"
158247,WY,"Casper, WY","Court, Municipal, and License Clerks",detailed,*
158248,WY,"Casper, WY",Customer Service Representatives,detailed,"30,690"
158249,WY,"Casper, WY","Hotel, Motel, and Resort Desk Clerks",detailed,"22,360"
158250,WY,"Casper, WY",Loan Interviewers and Clerks,detailed,"36,580"
158251,WY,"Casper, WY","Human Resources Assistants, Except Payroll and Timekeeping",detailed,"37,210"
158252,WY,"Casper, WY",Receptionists and Information Clerks,detailed,"27,440"
158253,WY,"Casper, WY","Information and Record Clerks, All Other",detailed,"34,540"
158254,WY,"Casper, WY","Dispatchers, Except Police, Fire, and Ambulance",detailed,"49,370"
158255,WY,"Casper, WY",Postal Service Mail Carriers,detailed,"48,250"
158256,WY,"Casper, WY","Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"46,180"
158257,WY,"Casper, WY","Production, Planning, and Expediting Clerks",detailed,"54,140"
158258,WY,"Casper, WY","Shipping, Receiving, and Traffic Clerks",detailed,"34,480"
158259,WY,"Casper, WY",Stock Clerks and Order Fillers,detailed,"28,120"
158260,WY,"Casper, WY",Executive Secretaries and Executive Administrative Assistants,detailed,"43,440"
158261,WY,"Casper, WY",Legal Secretaries,detailed,"36,910"
158262,WY,"Casper, WY",Medical Secretaries,detailed,"31,280"
158263,WY,"Casper, WY","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"36,590"
158264,WY,"Casper, WY",Data Entry Keyers,detailed,"24,040"
158265,WY,"Casper, WY","Office Clerks, General",detailed,"34,210"
158267,WY,"Casper, WY",First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"76,590"
158268,WY,"Casper, WY",Carpenters,detailed,"44,640"
158269,WY,"Casper, WY",Cement Masons and Concrete Finishers,detailed,"35,550"
158270,WY,"Casper, WY",Construction Laborers,detailed,"31,470"
158271,WY,"Casper, WY","Paving, Surfacing, and Tamping Equipment Operators",detailed,"40,410"
158272,WY,"Casper, WY",Operating Engineers and Other Construction Equipment Operators,detailed,"47,420"
158273,WY,"Casper, WY",Electricians,detailed,"56,060"
158274,WY,"Casper, WY","Insulation Workers, Mechanical",detailed,"40,600"
158275,WY,"Casper, WY","Painters, Construction and Maintenance",detailed,"35,400"
158276,WY,"Casper, WY","Plumbers, Pipefitters, and Steamfitters",detailed,"46,890"
158277,WY,"Casper, WY",Roofers,detailed,"35,700"
