,OCC_TITLE,OCC_GROUP
2,Chief Executives,detailed
3,General and Operations Managers,detailed
4,Advertising and Promotions Managers,detailed
5,Marketing Managers,detailed
6,Sales Managers,detailed
7,Public Relations and Fundraising Managers,detailed
8,Administrative Services Managers,detailed
9,Computer and Information Systems Managers,detailed
10,Financial Managers,detailed
11,Industrial Production Managers,detailed
12,Purchasing Managers,detailed
13,"Transportation, Storage, and Distribution Managers",detailed
14,Human Resources Managers,detailed
15,Training and Development Managers,detailed
16,Construction Managers,detailed
17,"Education Administrators, Preschool and Childcare Center/Program",detailed
18,"Education Administrators, Elementary and Secondary School",detailed
19,"Education Administrators, Postsecondary",detailed
20,"Education Administrators, All Other",detailed
21,Architectural and Engineering Managers,detailed
22,Food Service Managers,detailed
23,Lodging Managers,detailed
24,Medical and Health Services Managers,detailed
25,Natural Sciences Managers,detailed
26,"Property, Real Estate, and Community Association Managers",detailed
27,Social and Community Service Managers,detailed
28,Emergency Management Directors,detailed
29,"Managers, All Other",detailed
31,"Wholesale and Retail Buyers, Except Farm Products",detailed
32,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed
33,"Claims Adjusters, Examiners, and Investigators",detailed
34,Compliance Officers,detailed
35,Cost Estimators,detailed
36,Human Resources Specialists,detailed
37,Labor Relations Specialists,detailed
38,Logisticians,detailed
39,Management Analysts,detailed
40,"Meeting, Convention, and Event Planners",detailed
41,Fundraisers,detailed
42,"Compensation, Benefits, and Job Analysis Specialists",detailed
43,Training and Development Specialists,detailed
44,Market Research Analysts and Marketing Specialists,detailed
45,"Business Operations Specialists, All Other",detailed
46,Accountants and Auditors,detailed
47,Appraisers and Assessors of Real Estate,detailed
48,Budget Analysts,detailed
49,Financial Analysts,detailed
50,Personal Financial Advisors,detailed
51,Insurance Underwriters,detailed
52,Financial Examiners,detailed
53,Loan Officers,detailed
54,"Tax Examiners and Collectors, and Revenue Agents",detailed
55,Tax Preparers,detailed
56,"Financial Specialists, All Other",detailed
58,Computer Systems Analysts,detailed
59,Information Security Analysts,detailed
60,Computer Programmers,detailed
61,"Software Developers, Applications",detailed
62,"Software Developers, Systems Software",detailed
63,Web Developers,detailed
64,Database Administrators,detailed
65,Network and Computer Systems Administrators,detailed
66,Computer Network Architects,detailed
67,Computer User Support Specialists,detailed
68,Computer Network Support Specialists,detailed
69,"Computer Occupations, All Other",detailed
70,Operations Research Analysts,detailed
72,"Architects, Except Landscape and Naval",detailed
73,Cartographers and Photogrammetrists,detailed
74,Surveyors,detailed
75,Chemical Engineers,detailed
76,Civil Engineers,detailed
77,Computer Hardware Engineers,detailed
78,Electrical Engineers,detailed
79,"Electronics Engineers, Except Computer",detailed
