,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
0,AK,11260,"Anchorage, AK",00-0000,All Occupations,total,"56,910"
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,"114,480"
2,AK,11260,"Anchorage, AK",11-1011,Chief Executives,detailed,"173,970"
3,AK,11260,"Anchorage, AK",11-1021,General and Operations Managers,detailed,"114,330"
4,AK,11260,"Anchorage, AK",11-2011,Advertising and Promotions Managers,detailed,"74,240"
5,AK,11260,"Anchorage, AK",11-2021,Marketing Managers,detailed,"107,060"
6,AK,11260,"Anchorage, AK",11-2022,Sales Managers,detailed,"100,490"
7,AK,11260,"Anchorage, AK",11-2031,Public Relations and Fundraising Managers,detailed,"112,500"
8,AK,11260,"Anchorage, AK",11-3011,Administrative Services Managers,detailed,"94,850"
9,AK,11260,"Anchorage, AK",11-3021,Computer and Information Systems Managers,detailed,"122,870"
10,AK,11260,"Anchorage, AK",11-3031,Financial Managers,detailed,"125,630"
11,AK,11260,"Anchorage, AK",11-3051,Industrial Production Managers,detailed,"114,370"
12,AK,11260,"Anchorage, AK",11-3061,Purchasing Managers,detailed,"121,900"
13,AK,11260,"Anchorage, AK",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"94,170"
14,AK,11260,"Anchorage, AK",11-3121,Human Resources Managers,detailed,"115,530"
15,AK,11260,"Anchorage, AK",11-3131,Training and Development Managers,detailed,"100,020"
16,AK,11260,"Anchorage, AK",11-9021,Construction Managers,detailed,"128,390"
17,AK,11260,"Anchorage, AK",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"58,090"
18,AK,11260,"Anchorage, AK",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"115,570"
19,AK,11260,"Anchorage, AK",11-9033,"Education Administrators, Postsecondary",detailed,"121,130"
20,AK,11260,"Anchorage, AK",11-9039,"Education Administrators, All Other",detailed,"90,390"
21,AK,11260,"Anchorage, AK",11-9041,Architectural and Engineering Managers,detailed,"166,330"
22,AK,11260,"Anchorage, AK",11-9051,Food Service Managers,detailed,"52,900"
23,AK,11260,"Anchorage, AK",11-9081,Lodging Managers,detailed,"67,040"
24,AK,11260,"Anchorage, AK",11-9111,Medical and Health Services Managers,detailed,"129,600"
25,AK,11260,"Anchorage, AK",11-9121,Natural Sciences Managers,detailed,"102,990"
26,AK,11260,"Anchorage, AK",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"69,200"
27,AK,11260,"Anchorage, AK",11-9151,Social and Community Service Managers,detailed,"79,800"
28,AK,11260,"Anchorage, AK",11-9161,Emergency Management Directors,detailed,"78,000"
29,AK,11260,"Anchorage, AK",11-9199,"Managers, All Other",detailed,"111,280"
30,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,"79,510"
31,AK,11260,"Anchorage, AK",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"61,110"
32,AK,11260,"Anchorage, AK",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"76,650"
33,AK,11260,"Anchorage, AK",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"72,320"
34,AK,11260,"Anchorage, AK",13-1041,Compliance Officers,detailed,"74,530"
35,AK,11260,"Anchorage, AK",13-1051,Cost Estimators,detailed,"94,110"
36,AK,11260,"Anchorage, AK",13-1071,Human Resources Specialists,detailed,"66,350"
37,AK,11260,"Anchorage, AK",13-1075,Labor Relations Specialists,detailed,"94,170"
38,AK,11260,"Anchorage, AK",13-1081,Logisticians,detailed,"88,460"
39,AK,11260,"Anchorage, AK",13-1111,Management Analysts,detailed,"95,740"
40,AK,11260,"Anchorage, AK",13-1121,"Meeting, Convention, and Event Planners",detailed,"59,870"
41,AK,11260,"Anchorage, AK",13-1131,Fundraisers,detailed,"60,160"
42,AK,11260,"Anchorage, AK",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"67,580"
43,AK,11260,"Anchorage, AK",13-1151,Training and Development Specialists,detailed,"89,330"
44,AK,11260,"Anchorage, AK",13-1161,Market Research Analysts and Marketing Specialists,detailed,"68,960"
45,AK,11260,"Anchorage, AK",13-1199,"Business Operations Specialists, All Other",detailed,"79,700"
46,AK,11260,"Anchorage, AK",13-2011,Accountants and Auditors,detailed,"81,760"
47,AK,11260,"Anchorage, AK",13-2021,Appraisers and Assessors of Real Estate,detailed,"81,910"
48,AK,11260,"Anchorage, AK",13-2031,Budget Analysts,detailed,"81,020"
49,AK,11260,"Anchorage, AK",13-2051,Financial Analysts,detailed,"99,220"
50,AK,11260,"Anchorage, AK",13-2052,Personal Financial Advisors,detailed,"113,270"
51,AK,11260,"Anchorage, AK",13-2053,Insurance Underwriters,detailed,"56,740"
52,AK,11260,"Anchorage, AK",13-2061,Financial Examiners,detailed,"60,770"
53,AK,11260,"Anchorage, AK",13-2072,Loan Officers,detailed,"77,120"
54,AK,11260,"Anchorage, AK",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"91,450"
55,AK,11260,"Anchorage, AK",13-2082,Tax Preparers,detailed,"54,560"
56,AK,11260,"Anchorage, AK",13-2099,"Financial Specialists, All Other",detailed,"76,280"
57,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,"85,410"
58,AK,11260,"Anchorage, AK",15-1121,Computer Systems Analysts,detailed,"82,580"
59,AK,11260,"Anchorage, AK",15-1122,Information Security Analysts,detailed,"80,210"
60,AK,11260,"Anchorage, AK",15-1131,Computer Programmers,detailed,"103,190"
61,AK,11260,"Anchorage, AK",15-1132,"Software Developers, Applications",detailed,*
62,AK,11260,"Anchorage, AK",15-1133,"Software Developers, Systems Software",detailed,"124,090"
63,AK,11260,"Anchorage, AK",15-1134,Web Developers,detailed,"55,470"
64,AK,11260,"Anchorage, AK",15-1141,Database Administrators,detailed,"88,480"
65,AK,11260,"Anchorage, AK",15-1142,Network and Computer Systems Administrators,detailed,"82,120"
66,AK,11260,"Anchorage, AK",15-1143,Computer Network Architects,detailed,"124,460"
67,AK,11260,"Anchorage, AK",15-1151,Computer User Support Specialists,detailed,"56,630"
68,AK,11260,"Anchorage, AK",15-1152,Computer Network Support Specialists,detailed,"73,780"
69,AK,11260,"Anchorage, AK",15-1199,"Computer Occupations, All Other",detailed,"86,700"
70,AK,11260,"Anchorage, AK",15-2031,Operations Research Analysts,detailed,*
71,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,"108,170"
72,AK,11260,"Anchorage, AK",17-1011,"Architects, Except Landscape and Naval",detailed,"92,150"
73,AK,11260,"Anchorage, AK",17-1021,Cartographers and Photogrammetrists,detailed,"75,260"
74,AK,11260,"Anchorage, AK",17-1022,Surveyors,detailed,"85,710"
75,AK,11260,"Anchorage, AK",17-2041,Chemical Engineers,detailed,"110,910"
76,AK,11260,"Anchorage, AK",17-2051,Civil Engineers,detailed,"113,970"
77,AK,11260,"Anchorage, AK",17-2061,Computer Hardware Engineers,detailed,"107,140"
78,AK,11260,"Anchorage, AK",17-2071,Electrical Engineers,detailed,"115,090"
79,AK,11260,"Anchorage, AK",17-2072,"Electronics Engineers, Except Computer",detailed,"99,280"
80,AK,11260,"Anchorage, AK",17-2081,Environmental Engineers,detailed,"131,750"
81,AK,11260,"Anchorage, AK",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"125,470"
82,AK,11260,"Anchorage, AK",17-2112,Industrial Engineers,detailed,"106,240"
83,AK,11260,"Anchorage, AK",17-2141,Mechanical Engineers,detailed,"133,500"
84,AK,11260,"Anchorage, AK",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"127,960"
85,AK,11260,"Anchorage, AK",17-2171,Petroleum Engineers,detailed,"158,020"
86,AK,11260,"Anchorage, AK",17-2199,"Engineers, All Other",detailed,"123,650"
87,AK,11260,"Anchorage, AK",17-3011,Architectural and Civil Drafters,detailed,"62,240"
88,AK,11260,"Anchorage, AK",17-3012,Electrical and Electronics Drafters,detailed,"66,530"
89,AK,11260,"Anchorage, AK",17-3019,"Drafters, All Other",detailed,"61,640"
90,AK,11260,"Anchorage, AK",17-3022,Civil Engineering Technicians,detailed,"69,070"
91,AK,11260,"Anchorage, AK",17-3023,Electrical and Electronics Engineering Technicians,detailed,"82,240"
92,AK,11260,"Anchorage, AK",17-3025,Environmental Engineering Technicians,detailed,"57,310"
93,AK,11260,"Anchorage, AK",17-3027,Mechanical Engineering Technicians,detailed,"74,640"
94,AK,11260,"Anchorage, AK",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"79,420"
95,AK,11260,"Anchorage, AK",17-3031,Surveying and Mapping Technicians,detailed,"58,110"
96,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,"83,240"
97,AK,11260,"Anchorage, AK",19-1023,Zoologists and Wildlife Biologists,detailed,"72,500"
98,AK,11260,"Anchorage, AK",19-1029,"Biological Scientists, All Other",detailed,"81,530"
99,AK,11260,"Anchorage, AK",19-1031,Conservation Scientists,detailed,"92,210"
100,AK,11260,"Anchorage, AK",19-1099,"Life Scientists, All Other",detailed,"60,300"
101,AK,11260,"Anchorage, AK",19-2021,Atmospheric and Space Scientists,detailed,"93,730"
102,AK,11260,"Anchorage, AK",19-2031,Chemists,detailed,"88,000"
103,AK,11260,"Anchorage, AK",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"92,280"
104,AK,11260,"Anchorage, AK",19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"125,810"
105,AK,11260,"Anchorage, AK",19-2043,Hydrologists,detailed,"104,240"
106,AK,11260,"Anchorage, AK",19-2099,"Physical Scientists, All Other",detailed,"95,030"
107,AK,11260,"Anchorage, AK",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"80,840"
108,AK,11260,"Anchorage, AK",19-3039,"Psychologists, All Other",detailed,"89,720"
109,AK,11260,"Anchorage, AK",19-3051,Urban and Regional Planners,detailed,"82,770"
110,AK,11260,"Anchorage, AK",19-3091,Anthropologists and Archeologists,detailed,"81,750"
111,AK,11260,"Anchorage, AK",19-3099,"Social Scientists and Related Workers, All Other",detailed,"75,430"
112,AK,11260,"Anchorage, AK",19-4021,Biological Technicians,detailed,"39,630"
113,AK,11260,"Anchorage, AK",19-4041,Geological and Petroleum Technicians,detailed,"67,970"
114,AK,11260,"Anchorage, AK",19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"55,300"
115,AK,11260,"Anchorage, AK",19-4093,Forest and Conservation Technicians,detailed,"43,220"
116,AK,11260,"Anchorage, AK",19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"60,430"
117,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,"52,040"
118,AK,11260,"Anchorage, AK",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"43,770"
119,AK,11260,"Anchorage, AK",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"71,430"
120,AK,11260,"Anchorage, AK",21-1014,Mental Health Counselors,detailed,"63,900"
121,AK,11260,"Anchorage, AK",21-1015,Rehabilitation Counselors,detailed,"57,150"
122,AK,11260,"Anchorage, AK",21-1019,"Counselors, All Other",detailed,"51,750"
123,AK,11260,"Anchorage, AK",21-1021,"Child, Family, and School Social Workers",detailed,"52,280"
124,AK,11260,"Anchorage, AK",21-1022,Healthcare Social Workers,detailed,"57,980"
