,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
693,AL,11500,"Anniston-Oxford-Jacksonville, AL",00-0000,All Occupations,total,"37,210"
694,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-0000,Management Occupations,major,"94,050"
695,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-1021,General and Operations Managers,detailed,"99,270"
696,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-3031,Financial Managers,detailed,"111,020"
697,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-3051,Industrial Production Managers,detailed,"96,300"
698,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"73,260"
699,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-9051,Food Service Managers,detailed,"55,900"
700,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-9111,Medical and Health Services Managers,detailed,"93,650"
701,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-9199,"Managers, All Other",detailed,*
702,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-0000,Business and Financial Operations Occupations,major,"63,190"
703,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"63,420"
704,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"61,340"
705,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1071,Human Resources Specialists,detailed,"60,460"
706,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1081,Logisticians,detailed,"68,190"
707,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1111,Management Analysts,detailed,"65,870"
708,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1161,Market Research Analysts and Marketing Specialists,detailed,"50,660"
709,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-1199,"Business Operations Specialists, All Other",detailed,"65,940"
710,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-2011,Accountants and Auditors,detailed,"62,610"
711,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-2021,Appraisers and Assessors of Real Estate,detailed,*
712,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,major,"58,270"
713,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1121,Computer Systems Analysts,detailed,"66,220"
714,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1142,Network and Computer Systems Administrators,detailed,"57,660"
715,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1151,Computer User Support Specialists,detailed,"33,640"
716,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-0000,Architecture and Engineering Occupations,major,"72,540"
717,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-2051,Civil Engineers,detailed,"82,170"
718,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-2112,Industrial Engineers,detailed,"81,840"
719,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-2141,Mechanical Engineers,detailed,"78,440"
720,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-3013,Mechanical Drafters,detailed,"45,530"
721,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-3022,Civil Engineering Technicians,detailed,"41,030"
722,AL,11500,"Anniston-Oxford-Jacksonville, AL",19-0000,"Life, Physical, and Social Science Occupations",major,"59,590"
723,AL,11500,"Anniston-Oxford-Jacksonville, AL",19-4031,Chemical Technicians,detailed,"46,480"
724,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-0000,Community and Social Service Occupations,major,"43,510"
725,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"50,500"
726,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-1021,"Child, Family, and School Social Workers",detailed,"35,300"
727,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-1022,Healthcare Social Workers,detailed,"47,800"
728,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-1023,Mental Health and Substance Abuse Social Workers,detailed,"34,420"
729,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-0000,Legal Occupations,major,"65,710"
730,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-1011,Lawyers,detailed,*
731,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-2011,Paralegals and Legal Assistants,detailed,"37,400"
732,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-0000,"Education, Training, and Library Occupations",major,"43,910"
733,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2011,"Preschool Teachers, Except Special Education",detailed,"25,660"
734,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2012,"Kindergarten Teachers, Except Special Education",detailed,"47,950"
735,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2021,"Elementary School Teachers, Except Special Education",detailed,"47,590"
736,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"47,120"
737,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"47,250"
738,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"48,350"
739,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-3021,Self-Enrichment Education Teachers,detailed,"30,850"
740,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-4021,Librarians,detailed,"53,770"
741,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-4031,Library Technicians,detailed,"30,740"
742,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-9041,Teacher Assistants,detailed,"17,460"
743,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"37,320"
744,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-1024,Graphic Designers,detailed,"39,120"
745,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-1026,Merchandise Displayers and Window Trimmers,detailed,"19,780"
746,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-2022,Coaches and Scouts,detailed,"54,720"
747,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,"63,730"
748,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1051,Pharmacists,detailed,"131,540"
749,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1069,"Physicians and Surgeons, All Other",detailed,"243,900"
