,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
4483,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",00-0000,All Occupations,total,"43,570"
4484,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-0000,Management Occupations,major,"112,640"
4485,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-1011,Chief Executives,detailed,"162,960"
4486,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-1021,General and Operations Managers,detailed,"99,060"
4487,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-1031,Legislators,detailed,"20,280"
4488,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-2011,Advertising and Promotions Managers,detailed,"84,620"
4489,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-2021,Marketing Managers,detailed,"146,960"
4490,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-2022,Sales Managers,detailed,"149,260"
4491,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-2031,Public Relations and Fundraising Managers,detailed,"140,380"
4492,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3011,Administrative Services Managers,detailed,"117,220"
4493,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3021,Computer and Information Systems Managers,detailed,"138,240"
4494,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3031,Financial Managers,detailed,"142,980"
4495,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3051,Industrial Production Managers,detailed,"80,460"
4496,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3061,Purchasing Managers,detailed,*
4497,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"130,920"
4498,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3111,Compensation and Benefits Managers,detailed,*
4499,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3121,Human Resources Managers,detailed,"115,850"
4500,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-3131,Training and Development Managers,detailed,"123,110"
4501,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9021,Construction Managers,detailed,"72,680"
4502,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"44,440"
4503,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"87,080"
4504,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9033,"Education Administrators, Postsecondary",detailed,"97,830"
4505,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9041,Architectural and Engineering Managers,detailed,"108,300"
4506,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9051,Food Service Managers,detailed,"52,980"
4507,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9081,Lodging Managers,detailed,"51,990"
4508,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9111,Medical and Health Services Managers,detailed,"76,890"
4509,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9121,Natural Sciences Managers,detailed,"85,500"
4510,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"49,700"
4511,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9151,Social and Community Service Managers,detailed,"54,620"
4512,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",11-9199,"Managers, All Other",detailed,"142,210"
4513,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-0000,Business and Financial Operations Occupations,major,"68,740"
4514,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"54,190"
4515,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"59,440"
4516,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1041,Compliance Officers,detailed,"56,660"
4517,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1051,Cost Estimators,detailed,"58,030"
4518,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1071,Human Resources Specialists,detailed,"56,860"
4519,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1081,Logisticians,detailed,"65,180"
4520,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1111,Management Analysts,detailed,"64,260"
4521,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1121,"Meeting, Convention, and Event Planners",detailed,"39,890"
4522,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1131,Fundraisers,detailed,"54,230"
4523,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"53,250"
4524,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1151,Training and Development Specialists,detailed,"53,760"
4525,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-1161,Market Research Analysts and Marketing Specialists,detailed,"72,100"
4526,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2011,Accountants and Auditors,detailed,"61,640"
4527,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2021,Appraisers and Assessors of Real Estate,detailed,"46,250"
4528,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2041,Credit Analysts,detailed,"49,630"
4529,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2051,Financial Analysts,detailed,"82,780"
4530,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2052,Personal Financial Advisors,detailed,"102,970"
4531,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2072,Loan Officers,detailed,"65,750"
4532,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"60,060"
4533,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",13-2099,"Financial Specialists, All Other",detailed,"43,460"
4534,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,major,"72,560"
4535,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1121,Computer Systems Analysts,detailed,"67,790"
4536,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1122,Information Security Analysts,detailed,"72,970"
4537,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1132,"Software Developers, Applications",detailed,"86,050"
4538,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1133,"Software Developers, Systems Software",detailed,"64,040"
4539,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1134,Web Developers,detailed,"71,620"
4540,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1141,Database Administrators,detailed,"76,870"
4541,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1142,Network and Computer Systems Administrators,detailed,"77,320"
4542,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1151,Computer User Support Specialists,detailed,"39,500"
4543,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1152,Computer Network Support Specialists,detailed,"54,950"
4544,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1199,"Computer Occupations, All Other",detailed,"67,050"
4545,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-2031,Operations Research Analysts,detailed,"77,630"
4546,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-0000,Architecture and Engineering Occupations,major,"63,180"
4547,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-1011,"Architects, Except Landscape and Naval",detailed,"65,540"
4548,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-1012,Landscape Architects,detailed,"50,560"
4549,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-1022,Surveyors,detailed,"49,110"
4550,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2041,Chemical Engineers,detailed,"73,740"
4551,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2051,Civil Engineers,detailed,"70,250"
4552,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2061,Computer Hardware Engineers,detailed,"47,230"
4553,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2071,Electrical Engineers,detailed,"79,740"
4554,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2072,"Electronics Engineers, Except Computer",detailed,"73,280"
4555,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2112,Industrial Engineers,detailed,"73,050"
4556,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2141,Mechanical Engineers,detailed,"76,540"
4557,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-2199,"Engineers, All Other",detailed,"85,100"
4558,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3011,Architectural and Civil Drafters,detailed,"49,170"
4559,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3012,Electrical and Electronics Drafters,detailed,"54,950"
4560,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3013,Mechanical Drafters,detailed,"50,990"
4561,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3022,Civil Engineering Technicians,detailed,"46,430"
4562,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3023,Electrical and Electronics Engineering Technicians,detailed,"54,490"
4563,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3027,Mechanical Engineering Technicians,detailed,"40,340"
4564,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"50,730"
4565,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",17-3031,Surveying and Mapping Technicians,detailed,"43,410"
4566,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-0000,"Life, Physical, and Social Science Occupations",major,"49,670"
4567,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-1012,Food Scientists and Technologists,detailed,"68,950"
4568,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-2031,Chemists,detailed,"77,140"
4569,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"83,670"
4570,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"59,750"
4571,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-3051,Urban and Regional Planners,detailed,"42,280"
4572,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-4011,Agricultural and Food Science Technicians,detailed,"35,870"
4573,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-4031,Chemical Technicians,detailed,"35,090"
4574,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"45,180"
4575,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-0000,Community and Social Service Occupations,major,"45,080"
4576,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"41,040"
4577,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"55,780"
4578,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1013,Marriage and Family Therapists,detailed,"58,120"
4579,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1021,"Child, Family, and School Social Workers",detailed,"39,510"
4580,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1022,Healthcare Social Workers,detailed,"48,030"
4581,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1029,"Social Workers, All Other",detailed,"53,880"
4582,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"37,570"
4583,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1093,Social and Human Service Assistants,detailed,"29,320"
4584,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-1094,Community Health Workers,detailed,"36,390"
4585,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",21-2011,Clergy,detailed,"57,270"
4586,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",23-0000,Legal Occupations,major,"94,040"
4587,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",23-1011,Lawyers,detailed,"133,050"
4588,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",23-2011,Paralegals and Legal Assistants,detailed,"39,380"
4589,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"44,360"
4590,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-0000,"Education, Training, and Library Occupations",major,"49,290"
4591,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1011,"Business Teachers, Postsecondary",detailed,"106,620"
4592,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"65,500"
4593,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1042,"Biological Science Teachers, Postsecondary",detailed,"74,760"
4594,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1052,"Chemistry Teachers, Postsecondary",detailed,"103,790"
4595,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1071,"Health Specialties Teachers, Postsecondary",detailed,"75,590"
4596,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1081,"Education Teachers, Postsecondary",detailed,"91,540"
4597,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"62,140"
4598,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1122,"Communications Teachers, Postsecondary",detailed,"79,120"
4599,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1125,"History Teachers, Postsecondary",detailed,"72,310"
4600,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"67,370"
4601,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1194,"Vocational Education Teachers, Postsecondary",detailed,"36,600"
4602,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-1199,"Postsecondary Teachers, All Other",detailed,"56,660"
4603,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",25-2011,"Preschool Teachers, Except Special Education",detailed,"40,000"
