,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
6486,AZ,22380,"Flagstaff, AZ",00-0000,All Occupations,total,"41,550"
6487,AZ,22380,"Flagstaff, AZ",11-0000,Management Occupations,major,"82,770"
6488,AZ,22380,"Flagstaff, AZ",11-1011,Chief Executives,detailed,"148,190"
6489,AZ,22380,"Flagstaff, AZ",11-1021,General and Operations Managers,detailed,"71,680"
6490,AZ,22380,"Flagstaff, AZ",11-1031,Legislators,detailed,"47,870"
6491,AZ,22380,"Flagstaff, AZ",11-2021,Marketing Managers,detailed,"48,730"
6492,AZ,22380,"Flagstaff, AZ",11-2022,Sales Managers,detailed,"77,950"
6493,AZ,22380,"Flagstaff, AZ",11-3011,Administrative Services Managers,detailed,"76,420"
6494,AZ,22380,"Flagstaff, AZ",11-3021,Computer and Information Systems Managers,detailed,"99,530"
6495,AZ,22380,"Flagstaff, AZ",11-3031,Financial Managers,detailed,"87,030"
6496,AZ,22380,"Flagstaff, AZ",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"79,360"
6497,AZ,22380,"Flagstaff, AZ",11-3121,Human Resources Managers,detailed,"102,110"
6498,AZ,22380,"Flagstaff, AZ",11-9021,Construction Managers,detailed,"68,760"
6499,AZ,22380,"Flagstaff, AZ",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"73,960"
6500,AZ,22380,"Flagstaff, AZ",11-9033,"Education Administrators, Postsecondary",detailed,"114,600"
6501,AZ,22380,"Flagstaff, AZ",11-9039,"Education Administrators, All Other",detailed,"68,180"
6502,AZ,22380,"Flagstaff, AZ",11-9051,Food Service Managers,detailed,"60,120"
6503,AZ,22380,"Flagstaff, AZ",11-9121,Natural Sciences Managers,detailed,"100,110"
6504,AZ,22380,"Flagstaff, AZ",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"38,860"
6505,AZ,22380,"Flagstaff, AZ",11-9151,Social and Community Service Managers,detailed,"64,190"
6506,AZ,22380,"Flagstaff, AZ",11-9199,"Managers, All Other",detailed,"91,310"
6507,AZ,22380,"Flagstaff, AZ",13-0000,Business and Financial Operations Occupations,major,"59,870"
6508,AZ,22380,"Flagstaff, AZ",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"58,880"
6509,AZ,22380,"Flagstaff, AZ",13-1041,Compliance Officers,detailed,"65,920"
6510,AZ,22380,"Flagstaff, AZ",13-1051,Cost Estimators,detailed,"67,020"
6511,AZ,22380,"Flagstaff, AZ",13-1071,Human Resources Specialists,detailed,"56,910"
6512,AZ,22380,"Flagstaff, AZ",13-1111,Management Analysts,detailed,"69,840"
6513,AZ,22380,"Flagstaff, AZ",13-1121,"Meeting, Convention, and Event Planners",detailed,"45,860"
6514,AZ,22380,"Flagstaff, AZ",13-1131,Fundraisers,detailed,"55,440"
6515,AZ,22380,"Flagstaff, AZ",13-1151,Training and Development Specialists,detailed,"57,440"
6516,AZ,22380,"Flagstaff, AZ",13-1161,Market Research Analysts and Marketing Specialists,detailed,"50,960"
6517,AZ,22380,"Flagstaff, AZ",13-1199,"Business Operations Specialists, All Other",detailed,"65,640"
6518,AZ,22380,"Flagstaff, AZ",13-2011,Accountants and Auditors,detailed,"55,970"
6519,AZ,22380,"Flagstaff, AZ",13-2099,"Financial Specialists, All Other",detailed,"61,610"
6520,AZ,22380,"Flagstaff, AZ",15-0000,Computer and Mathematical Occupations,major,"65,850"
6521,AZ,22380,"Flagstaff, AZ",15-1121,Computer Systems Analysts,detailed,"83,090"
6522,AZ,22380,"Flagstaff, AZ",15-1131,Computer Programmers,detailed,"82,270"
6523,AZ,22380,"Flagstaff, AZ",15-1132,"Software Developers, Applications",detailed,"77,920"
6524,AZ,22380,"Flagstaff, AZ",15-1134,Web Developers,detailed,"60,220"
6525,AZ,22380,"Flagstaff, AZ",15-1141,Database Administrators,detailed,"58,280"
6526,AZ,22380,"Flagstaff, AZ",15-1142,Network and Computer Systems Administrators,detailed,"64,790"
6527,AZ,22380,"Flagstaff, AZ",15-1143,Computer Network Architects,detailed,"94,840"
6528,AZ,22380,"Flagstaff, AZ",15-1151,Computer User Support Specialists,detailed,"44,650"
6529,AZ,22380,"Flagstaff, AZ",15-1152,Computer Network Support Specialists,detailed,"52,770"
6530,AZ,22380,"Flagstaff, AZ",15-1199,"Computer Occupations, All Other",detailed,"72,920"
6531,AZ,22380,"Flagstaff, AZ",17-0000,Architecture and Engineering Occupations,major,"72,410"
6532,AZ,22380,"Flagstaff, AZ",17-2051,Civil Engineers,detailed,"73,140"
6533,AZ,22380,"Flagstaff, AZ",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"42,210"
6534,AZ,22380,"Flagstaff, AZ",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"54,560"
6535,AZ,22380,"Flagstaff, AZ",19-0000,"Life, Physical, and Social Science Occupations",major,"53,360"
6536,AZ,22380,"Flagstaff, AZ",19-1023,Zoologists and Wildlife Biologists,detailed,"59,590"
6537,AZ,22380,"Flagstaff, AZ",19-1029,"Biological Scientists, All Other",detailed,"60,270"
6538,AZ,22380,"Flagstaff, AZ",19-1031,Conservation Scientists,detailed,"59,630"
6539,AZ,22380,"Flagstaff, AZ",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"58,210"
6540,AZ,22380,"Flagstaff, AZ",19-3031,"Clinical, Counseling, and School Psychologists",detailed,"68,860"
6541,AZ,22380,"Flagstaff, AZ",19-3051,Urban and Regional Planners,detailed,"64,080"
6542,AZ,22380,"Flagstaff, AZ",19-3091,Anthropologists and Archeologists,detailed,"66,350"
6543,AZ,22380,"Flagstaff, AZ",19-4021,Biological Technicians,detailed,"38,900"
6544,AZ,22380,"Flagstaff, AZ",19-4092,Forensic Science Technicians,detailed,"56,880"
6545,AZ,22380,"Flagstaff, AZ",21-0000,Community and Social Service Occupations,major,"41,100"
6546,AZ,22380,"Flagstaff, AZ",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,*
6547,AZ,22380,"Flagstaff, AZ",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"42,420"
6548,AZ,22380,"Flagstaff, AZ",21-1013,Marriage and Family Therapists,detailed,"49,610"
6549,AZ,22380,"Flagstaff, AZ",21-1021,"Child, Family, and School Social Workers",detailed,"34,380"
6550,AZ,22380,"Flagstaff, AZ",21-1022,Healthcare Social Workers,detailed,"61,540"
6551,AZ,22380,"Flagstaff, AZ",21-1023,Mental Health and Substance Abuse Social Workers,detailed,"42,620"
6552,AZ,22380,"Flagstaff, AZ",21-1091,Health Educators,detailed,"41,150"
6553,AZ,22380,"Flagstaff, AZ",21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"43,910"
6554,AZ,22380,"Flagstaff, AZ",21-1093,Social and Human Service Assistants,detailed,"31,930"
6555,AZ,22380,"Flagstaff, AZ",21-1099,"Community and Social Service Specialists, All Other",detailed,"43,950"
6556,AZ,22380,"Flagstaff, AZ",23-0000,Legal Occupations,major,"69,660"
6557,AZ,22380,"Flagstaff, AZ",23-1011,Lawyers,detailed,"83,240"
6558,AZ,22380,"Flagstaff, AZ",23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"93,130"
6559,AZ,22380,"Flagstaff, AZ",23-2011,Paralegals and Legal Assistants,detailed,"41,460"
6560,AZ,22380,"Flagstaff, AZ",25-0000,"Education, Training, and Library Occupations",major,"53,400"
