,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
8980,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",00-0000,All Occupations,total,"54,370"
8981,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-0000,Management Occupations,major,"127,580"
8982,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-1011,Chief Executives,detailed,"222,070"
8983,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,"137,380"
8984,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-1031,Legislators,detailed,"74,260"
8985,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,"99,080"
8986,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-2021,Marketing Managers,detailed,"135,260"
8987,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-2022,Sales Managers,detailed,"129,010"
8988,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,"137,080"
8989,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,"107,250"
8990,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,"138,710"
8991,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3031,Financial Managers,detailed,"141,950"
8992,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3051,Industrial Production Managers,detailed,"105,850"
8993,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3061,Purchasing Managers,detailed,"115,800"
8994,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"90,480"
8995,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,"148,230"
8996,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3121,Human Resources Managers,detailed,"141,120"
8997,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-3131,Training and Development Managers,detailed,"116,720"
8998,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9021,Construction Managers,detailed,"116,720"
8999,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"72,310"
9000,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"121,480"
9001,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",detailed,"108,200"
9002,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9039,"Education Administrators, All Other",detailed,"106,680"
9003,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9041,Architectural and Engineering Managers,detailed,"152,640"
9004,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9051,Food Service Managers,detailed,"54,440"
9005,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9081,Lodging Managers,detailed,"62,230"
9006,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9111,Medical and Health Services Managers,detailed,"104,140"
9007,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9121,Natural Sciences Managers,detailed,"159,490"
9008,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9131,Postmasters and Mail Superintendents,detailed,"87,340"
9009,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"76,480"
9010,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9151,Social and Community Service Managers,detailed,"68,410"
9011,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9161,Emergency Management Directors,detailed,"113,640"
9012,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",11-9199,"Managers, All Other",detailed,"130,880"
9013,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",13-0000,Business and Financial Operations Occupations,major,"80,630"
