,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
24610,CT,71950,"Bridgeport-Stamford-Norwalk, CT",00-0000,All Occupations,total,"62,610"
24611,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-0000,Management Occupations,major,"150,400"
24612,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-1011,Chief Executives,detailed,"244,790"
24613,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-1021,General and Operations Managers,detailed,"168,520"
24614,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-1031,Legislators,detailed,"66,470"
24615,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-2011,Advertising and Promotions Managers,detailed,"135,790"
24616,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-2021,Marketing Managers,detailed,"166,620"
24617,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-2022,Sales Managers,detailed,"167,360"
24618,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-2031,Public Relations and Fundraising Managers,detailed,"126,550"
24619,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3011,Administrative Services Managers,detailed,"114,540"
24620,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3021,Computer and Information Systems Managers,detailed,"154,340"
24621,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3031,Financial Managers,detailed,"157,530"
24622,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3051,Industrial Production Managers,detailed,"117,850"
24623,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3061,Purchasing Managers,detailed,"140,230"
24624,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"125,610"
24625,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3111,Compensation and Benefits Managers,detailed,"134,880"
24626,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3121,Human Resources Managers,detailed,"144,090"
24627,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-3131,Training and Development Managers,detailed,"129,920"
24628,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9021,Construction Managers,detailed,"127,150"
24629,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"89,210"
24630,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"136,570"
24631,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9033,"Education Administrators, Postsecondary",detailed,"117,400"
24632,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9039,"Education Administrators, All Other",detailed,"91,580"
24633,CT,71950,"Bridgeport-Stamford-Norwalk, CT",11-9041,Architectural and Engineering Managers,detailed,"144,660"
