,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
27192,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",00-0000,All Occupations,total,"66,790"
27193,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-0000,Management Occupations,major,"139,530"
27194,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-1011,Chief Executives,detailed,"207,090"
27195,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-1021,General and Operations Managers,detailed,"146,890"
27196,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-1031,Legislators,detailed,"44,680"
27197,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,"112,410"
27198,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-2021,Marketing Managers,detailed,"156,540"
27199,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-2022,Sales Managers,detailed,"157,910"
27200,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,"153,730"
27201,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3011,Administrative Services Managers,detailed,"107,220"
27202,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,"162,530"
27203,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3031,Financial Managers,detailed,"154,680"
27204,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3051,Industrial Production Managers,detailed,"134,250"
27205,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3061,Purchasing Managers,detailed,"134,600"
27206,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"112,700"
