,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
38406,GA,10500,"Albany, GA",00-0000,All Occupations,total,"39,290"
38407,GA,10500,"Albany, GA",11-0000,Management Occupations,major,"93,950"
38408,GA,10500,"Albany, GA",11-1011,Chief Executives,detailed,"201,430"
38409,GA,10500,"Albany, GA",11-1021,General and Operations Managers,detailed,"95,330"
38410,GA,10500,"Albany, GA",11-1031,Legislators,detailed,"18,950"
38411,GA,10500,"Albany, GA",11-2022,Sales Managers,detailed,"100,470"
38412,GA,10500,"Albany, GA",11-3011,Administrative Services Managers,detailed,"80,150"
38413,GA,10500,"Albany, GA",11-3031,Financial Managers,detailed,"93,690"
38414,GA,10500,"Albany, GA",11-3051,Industrial Production Managers,detailed,"89,210"
38415,GA,10500,"Albany, GA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"84,740"
38416,GA,10500,"Albany, GA",11-9021,Construction Managers,detailed,"89,970"
38417,GA,10500,"Albany, GA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"92,770"
38418,GA,10500,"Albany, GA",11-9033,"Education Administrators, Postsecondary",detailed,"119,680"
38419,GA,10500,"Albany, GA",11-9051,Food Service Managers,detailed,"46,640"
38420,GA,10500,"Albany, GA",11-9111,Medical and Health Services Managers,detailed,"93,680"
38421,GA,10500,"Albany, GA",11-9199,"Managers, All Other",detailed,"92,300"
38422,GA,10500,"Albany, GA",13-0000,Business and Financial Operations Occupations,major,"64,810"
38423,GA,10500,"Albany, GA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"65,190"
38424,GA,10500,"Albany, GA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"64,480"
38425,GA,10500,"Albany, GA",13-1041,Compliance Officers,detailed,"54,580"
38426,GA,10500,"Albany, GA",13-1051,Cost Estimators,detailed,"43,720"
38427,GA,10500,"Albany, GA",13-1071,Human Resources Specialists,detailed,"49,810"
38428,GA,10500,"Albany, GA",13-1081,Logisticians,detailed,"80,340"
38429,GA,10500,"Albany, GA",13-1111,Management Analysts,detailed,"66,250"
38430,GA,10500,"Albany, GA",13-1151,Training and Development Specialists,detailed,"46,800"
38431,GA,10500,"Albany, GA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"57,790"
38432,GA,10500,"Albany, GA",13-1199,"Business Operations Specialists, All Other",detailed,"70,690"
38433,GA,10500,"Albany, GA",13-2011,Accountants and Auditors,detailed,"67,310"
38434,GA,10500,"Albany, GA",13-2052,Personal Financial Advisors,detailed,"138,810"
38435,GA,10500,"Albany, GA",13-2072,Loan Officers,detailed,"52,370"
38436,GA,10500,"Albany, GA",13-2099,"Financial Specialists, All Other",detailed,"66,730"
38437,GA,10500,"Albany, GA",15-0000,Computer and Mathematical Occupations,major,"65,720"
38438,GA,10500,"Albany, GA",15-1121,Computer Systems Analysts,detailed,"68,610"
38439,GA,10500,"Albany, GA",15-1132,"Software Developers, Applications",detailed,"88,700"
38440,GA,10500,"Albany, GA",15-1133,"Software Developers, Systems Software",detailed,"95,900"
38441,GA,10500,"Albany, GA",15-1142,Network and Computer Systems Administrators,detailed,"58,830"
38442,GA,10500,"Albany, GA",15-1151,Computer User Support Specialists,detailed,"43,100"
38443,GA,10500,"Albany, GA",15-1152,Computer Network Support Specialists,detailed,"45,880"
38444,GA,10500,"Albany, GA",15-1199,"Computer Occupations, All Other",detailed,"78,100"
38445,GA,10500,"Albany, GA",17-0000,Architecture and Engineering Occupations,major,"66,940"
38446,GA,10500,"Albany, GA",17-2051,Civil Engineers,detailed,"68,270"
38447,GA,10500,"Albany, GA",17-2071,Electrical Engineers,detailed,"93,370"
38448,GA,10500,"Albany, GA",17-2112,Industrial Engineers,detailed,"82,290"
38449,GA,10500,"Albany, GA",17-3022,Civil Engineering Technicians,detailed,"41,350"
38450,GA,10500,"Albany, GA",17-3023,Electrical and Electronics Engineering Technicians,detailed,"59,350"
38451,GA,10500,"Albany, GA",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"68,640"
38452,GA,10500,"Albany, GA",19-0000,"Life, Physical, and Social Science Occupations",major,"59,970"
38453,GA,10500,"Albany, GA",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"54,620"
38454,GA,10500,"Albany, GA",21-0000,Community and Social Service Occupations,major,"37,300"
38455,GA,10500,"Albany, GA",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"53,020"
38456,GA,10500,"Albany, GA",21-1021,"Child, Family, and School Social Workers",detailed,"35,930"
38457,GA,10500,"Albany, GA",21-1022,Healthcare Social Workers,detailed,"37,050"
38458,GA,10500,"Albany, GA",21-1093,Social and Human Service Assistants,detailed,"23,690"
38459,GA,10500,"Albany, GA",23-0000,Legal Occupations,major,"72,630"
38460,GA,10500,"Albany, GA",23-1011,Lawyers,detailed,"80,310"
38461,GA,10500,"Albany, GA",25-0000,"Education, Training, and Library Occupations",major,"46,730"
38462,GA,10500,"Albany, GA",25-1011,"Business Teachers, Postsecondary",detailed,*
38463,GA,10500,"Albany, GA",25-1021,"Computer Science Teachers, Postsecondary",detailed,"78,810"
38464,GA,10500,"Albany, GA",25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"53,030"
38465,GA,10500,"Albany, GA",25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"50,470"
38466,GA,10500,"Albany, GA",25-1194,"Vocational Education Teachers, Postsecondary",detailed,"48,210"
38467,GA,10500,"Albany, GA",25-2011,"Preschool Teachers, Except Special Education",detailed,"27,770"
38468,GA,10500,"Albany, GA",25-2012,"Kindergarten Teachers, Except Special Education",detailed,"48,170"
38469,GA,10500,"Albany, GA",25-2021,"Elementary School Teachers, Except Special Education",detailed,"52,610"
38470,GA,10500,"Albany, GA",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"53,880"
38471,GA,10500,"Albany, GA",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"53,670"
38472,GA,10500,"Albany, GA",25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"52,680"
38473,GA,10500,"Albany, GA",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"50,810"
38474,GA,10500,"Albany, GA",25-2053,"Special Education Teachers, Middle School",detailed,"52,400"
38475,GA,10500,"Albany, GA",25-2054,"Special Education Teachers, Secondary School",detailed,"53,440"
38476,GA,10500,"Albany, GA",25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"37,950"
38477,GA,10500,"Albany, GA",25-3021,Self-Enrichment Education Teachers,detailed,"30,750"
38478,GA,10500,"Albany, GA",25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"50,410"
38479,GA,10500,"Albany, GA",25-3098,Substitute Teachers,detailed,"21,380"
38480,GA,10500,"Albany, GA",25-4021,Librarians,detailed,"63,720"
38481,GA,10500,"Albany, GA",25-9031,Instructional Coordinators,detailed,"67,550"
38482,GA,10500,"Albany, GA",25-9041,Teacher Assistants,detailed,"18,790"
38483,GA,10500,"Albany, GA",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"42,850"
38484,GA,10500,"Albany, GA",27-1026,Merchandise Displayers and Window Trimmers,detailed,"27,120"
38485,GA,10500,"Albany, GA",27-2022,Coaches and Scouts,detailed,"51,110"
38486,GA,10500,"Albany, GA",27-3022,Reporters and Correspondents,detailed,"41,460"
38487,GA,10500,"Albany, GA",27-3031,Public Relations Specialists,detailed,"53,510"
38488,GA,10500,"Albany, GA",29-0000,Healthcare Practitioners and Technical Occupations,major,"66,800"
38489,GA,10500,"Albany, GA",29-1021,"Dentists, General",detailed,"128,930"
38490,GA,10500,"Albany, GA",29-1031,Dietitians and Nutritionists,detailed,"53,230"
38491,GA,10500,"Albany, GA",29-1051,Pharmacists,detailed,"125,660"
38492,GA,10500,"Albany, GA",29-1062,Family and General Practitioners,detailed,*
38493,GA,10500,"Albany, GA",29-1063,"Internists, General",detailed,"258,970"
38494,GA,10500,"Albany, GA",29-1069,"Physicians and Surgeons, All Other",detailed,"250,230"
38495,GA,10500,"Albany, GA",29-1141,Registered Nurses,detailed,"58,800"
38496,GA,10500,"Albany, GA",29-1171,Nurse Practitioners,detailed,"108,490"
38497,GA,10500,"Albany, GA",29-2012,Medical and Clinical Laboratory Technicians,detailed,"29,700"
38498,GA,10500,"Albany, GA",29-2021,Dental Hygienists,detailed,"50,240"
38499,GA,10500,"Albany, GA",29-2032,Diagnostic Medical Sonographers,detailed,"52,680"
38500,GA,10500,"Albany, GA",29-2041,Emergency Medical Technicians and Paramedics,detailed,"30,490"
38501,GA,10500,"Albany, GA",29-2052,Pharmacy Technicians,detailed,"27,350"
38502,GA,10500,"Albany, GA",29-2056,Veterinary Technologists and Technicians,detailed,"26,690"
