,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
42707,HI,27980,"Kahului-Wailuku-Lahaina, HI",00-0000,All Occupations,total,"43,340"
42708,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-0000,Management Occupations,major,"81,290"
42709,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-1011,Chief Executives,detailed,"142,240"
42710,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-1021,General and Operations Managers,detailed,"88,540"
42711,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-2021,Marketing Managers,detailed,"125,210"
42712,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-2022,Sales Managers,detailed,"67,930"
42713,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-3011,Administrative Services Managers,detailed,"55,720"
42714,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-3031,Financial Managers,detailed,"87,010"
42715,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"74,930"
42716,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-3121,Human Resources Managers,detailed,"80,760"
42717,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9021,Construction Managers,detailed,"91,540"
42718,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"88,510"
42719,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9051,Food Service Managers,detailed,"61,210"
42720,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9081,Lodging Managers,detailed,"71,800"
42721,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9111,Medical and Health Services Managers,detailed,"63,160"
42722,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"64,070"
42723,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9151,Social and Community Service Managers,detailed,"70,770"
42724,HI,27980,"Kahului-Wailuku-Lahaina, HI",11-9199,"Managers, All Other",detailed,"83,480"
42725,HI,27980,"Kahului-Wailuku-Lahaina, HI",13-0000,Business and Financial Operations Occupations,major,"57,320"
42726,HI,27980,"Kahului-Wailuku-Lahaina, HI",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"39,130"
