,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
43520,IA,11180,"Ames, IA",00-0000,All Occupations,total,"46,220"
43521,IA,11180,"Ames, IA",11-0000,Management Occupations,major,"92,120"
43522,IA,11180,"Ames, IA",11-1011,Chief Executives,detailed,"176,630"
43523,IA,11180,"Ames, IA",11-1021,General and Operations Managers,detailed,"91,280"
43524,IA,11180,"Ames, IA",11-2021,Marketing Managers,detailed,"104,410"
43525,IA,11180,"Ames, IA",11-2022,Sales Managers,detailed,"94,930"
43526,IA,11180,"Ames, IA",11-3011,Administrative Services Managers,detailed,"85,930"
43527,IA,11180,"Ames, IA",11-3021,Computer and Information Systems Managers,detailed,"109,890"
43528,IA,11180,"Ames, IA",11-3031,Financial Managers,detailed,"108,360"
43529,IA,11180,"Ames, IA",11-3051,Industrial Production Managers,detailed,"95,320"
43530,IA,11180,"Ames, IA",11-9021,Construction Managers,detailed,"54,170"
43531,IA,11180,"Ames, IA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"87,100"
43532,IA,11180,"Ames, IA",11-9041,Architectural and Engineering Managers,detailed,"103,310"
43533,IA,11180,"Ames, IA",11-9051,Food Service Managers,detailed,"55,160"
43534,IA,11180,"Ames, IA",11-9111,Medical and Health Services Managers,detailed,"93,340"
43535,IA,11180,"Ames, IA",11-9121,Natural Sciences Managers,detailed,"113,680"
43536,IA,11180,"Ames, IA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"52,550"
43537,IA,11180,"Ames, IA",11-9151,Social and Community Service Managers,detailed,"54,850"
43538,IA,11180,"Ames, IA",11-9199,"Managers, All Other",detailed,"83,820"
43539,IA,11180,"Ames, IA",13-0000,Business and Financial Operations Occupations,major,"63,060"
43540,IA,11180,"Ames, IA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,800"
43541,IA,11180,"Ames, IA",13-1041,Compliance Officers,detailed,"56,100"
43542,IA,11180,"Ames, IA",13-1051,Cost Estimators,detailed,"71,610"
43543,IA,11180,"Ames, IA",13-1071,Human Resources Specialists,detailed,"51,520"
43544,IA,11180,"Ames, IA",13-1081,Logisticians,detailed,"69,860"
43545,IA,11180,"Ames, IA",13-1111,Management Analysts,detailed,"73,780"
43546,IA,11180,"Ames, IA",13-1131,Fundraisers,detailed,"65,210"
43547,IA,11180,"Ames, IA",13-1151,Training and Development Specialists,detailed,"59,420"
43548,IA,11180,"Ames, IA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"59,390"
43549,IA,11180,"Ames, IA",13-1199,"Business Operations Specialists, All Other",detailed,"57,430"
43550,IA,11180,"Ames, IA",13-2011,Accountants and Auditors,detailed,"60,560"
43551,IA,11180,"Ames, IA",13-2072,Loan Officers,detailed,"65,340"
43552,IA,11180,"Ames, IA",15-0000,Computer and Mathematical Occupations,major,"69,790"
43553,IA,11180,"Ames, IA",15-1121,Computer Systems Analysts,detailed,"75,130"
43554,IA,11180,"Ames, IA",15-1131,Computer Programmers,detailed,"57,830"
43555,IA,11180,"Ames, IA",15-1132,"Software Developers, Applications",detailed,"80,780"
43556,IA,11180,"Ames, IA",15-1133,"Software Developers, Systems Software",detailed,"86,960"
43557,IA,11180,"Ames, IA",15-1142,Network and Computer Systems Administrators,detailed,"63,140"
43558,IA,11180,"Ames, IA",15-1151,Computer User Support Specialists,detailed,"45,780"
43559,IA,11180,"Ames, IA",15-1152,Computer Network Support Specialists,detailed,"54,240"
43560,IA,11180,"Ames, IA",15-1199,"Computer Occupations, All Other",detailed,"80,860"
43561,IA,11180,"Ames, IA",17-0000,Architecture and Engineering Occupations,major,"69,550"
43562,IA,11180,"Ames, IA",17-1011,"Architects, Except Landscape and Naval",detailed,"68,330"
43563,IA,11180,"Ames, IA",17-1012,Landscape Architects,detailed,"41,940"
43564,IA,11180,"Ames, IA",17-2021,Agricultural Engineers,detailed,"87,180"
43565,IA,11180,"Ames, IA",17-2051,Civil Engineers,detailed,"79,070"
43566,IA,11180,"Ames, IA",17-2112,Industrial Engineers,detailed,"84,030"
43567,IA,11180,"Ames, IA",17-2141,Mechanical Engineers,detailed,"81,110"
43568,IA,11180,"Ames, IA",17-2199,"Engineers, All Other",detailed,"78,930"
