,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
59723,LA,10780,"Alexandria, LA",00-0000,All Occupations,total,"37,040"
59724,LA,10780,"Alexandria, LA",11-0000,Management Occupations,major,"83,380"
59725,LA,10780,"Alexandria, LA",11-1021,General and Operations Managers,detailed,"98,960"
59726,LA,10780,"Alexandria, LA",11-1031,Legislators,detailed,"19,270"
59727,LA,10780,"Alexandria, LA",11-2021,Marketing Managers,detailed,"108,460"
59728,LA,10780,"Alexandria, LA",11-2022,Sales Managers,detailed,"92,720"
59729,LA,10780,"Alexandria, LA",11-3011,Administrative Services Managers,detailed,"66,530"
59730,LA,10780,"Alexandria, LA",11-3031,Financial Managers,detailed,"93,510"
59731,LA,10780,"Alexandria, LA",11-3051,Industrial Production Managers,detailed,"90,880"
59732,LA,10780,"Alexandria, LA",11-3121,Human Resources Managers,detailed,"70,460"
59733,LA,10780,"Alexandria, LA",11-9021,Construction Managers,detailed,"76,200"
59734,LA,10780,"Alexandria, LA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"66,980"
59735,LA,10780,"Alexandria, LA",11-9033,"Education Administrators, Postsecondary",detailed,"81,910"
59736,LA,10780,"Alexandria, LA",11-9051,Food Service Managers,detailed,"56,970"
59737,LA,10780,"Alexandria, LA",11-9111,Medical and Health Services Managers,detailed,"85,380"
59738,LA,10780,"Alexandria, LA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"42,280"
59739,LA,10780,"Alexandria, LA",11-9151,Social and Community Service Managers,detailed,"66,790"
59740,LA,10780,"Alexandria, LA",11-9199,"Managers, All Other",detailed,"73,880"
59741,LA,10780,"Alexandria, LA",13-0000,Business and Financial Operations Occupations,major,"54,130"
59742,LA,10780,"Alexandria, LA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"60,150"
59743,LA,10780,"Alexandria, LA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"46,770"
59744,LA,10780,"Alexandria, LA",13-1041,Compliance Officers,detailed,"65,530"
59745,LA,10780,"Alexandria, LA",13-1051,Cost Estimators,detailed,"52,290"
59746,LA,10780,"Alexandria, LA",13-1071,Human Resources Specialists,detailed,"51,480"
59747,LA,10780,"Alexandria, LA",13-1081,Logisticians,detailed,"68,320"
59748,LA,10780,"Alexandria, LA",13-1111,Management Analysts,detailed,"76,160"
59749,LA,10780,"Alexandria, LA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"48,760"
59750,LA,10780,"Alexandria, LA",13-1151,Training and Development Specialists,detailed,"41,460"
59751,LA,10780,"Alexandria, LA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"44,600"
59752,LA,10780,"Alexandria, LA",13-1199,"Business Operations Specialists, All Other",detailed,"52,590"
59753,LA,10780,"Alexandria, LA",13-2011,Accountants and Auditors,detailed,"59,650"
59754,LA,10780,"Alexandria, LA",13-2021,Appraisers and Assessors of Real Estate,detailed,"43,740"
59755,LA,10780,"Alexandria, LA",13-2052,Personal Financial Advisors,detailed,"79,740"
59756,LA,10780,"Alexandria, LA",13-2072,Loan Officers,detailed,"43,320"
